eng,nycgov_threshold,pwgtp,cit,sporder,wkw,msp,povunit_id,agecateg,jwtr,est_eitc,est_housing
1.0,46545.484,56,1,5,,6.0,1,1,,0.0,0.0
,66553.617,159,1,11,,,1,1,,0.0,0.0
2.0,35044.0,96,4,1,1.0,2.0,1,2,4.0,0.0,0.0
2.0,22900.654,291,4,2,,1.0,1,2,,0.0,0.0
1.0,16241.6,93,4,1,1.0,6.0,1,2,10.0,0.0,0.0
,16241.6,218,1,3,1.0,2.0,2,2,4.0,0.0,3762.0
,22900.654,204,1,1,1.0,1.0,1,2,4.0,0.0,0.0
1.0,42861.836,34,1,3,1.0,2.0,1,2,4.0,0.0,7782.7041
,30845.143,109,1,3,,,1,1,,0.0,0.0
3.0,35044.0,128,5,1,1.0,1.0,1,2,1.0,4387.7686,10762.156
1.0,16241.6,43,1,1,1.0,6.0,1,2,4.0,0.0,0.0
,16241.6,56,1,3,3.0,2.0,2,2,4.0,0.0,0.0
1.0,39037.0,69,2,1,1.0,1.0,1,2,1.0,0.0,23012.434
,24508.658,167,1,1,,4.0,1,3,,0.0,0.0
,39037.0,151,1,4,,6.0,1,1,,0.0,0.0
,30845.143,146,1,2,,6.0,1,2,,0.0,0.0
,16241.6,60,1,1,,4.0,1,2,,0.0,818.32776
,35044.0,1107,1,2,,6.0,1,2,,0.0,18354.0
4.0,50108.082,135,4,3,,3.0,1,3,,0.0,11006.939
,50108.082,69,1,2,4.0,1.0,1,2,,0.0,0.0
,46545.484,128,1,5,,,1,1,,0.0,0.0
1.0,22900.654,65,3,1,1.0,6.0,1,2,4.0,0.0,0.0
,42861.836,84,1,2,,6.0,1,2,,0.0,16650.703
,30845.143,100,1,1,,1.0,1,2,,0.0,18372.945
3.0,22900.654,34,5,2,6.0,1.0,1,2,10.0,0.0,0.0
,16241.6,158,1,1,,6.0,1,2,,0.0,0.0
3.0,39037.0,39,5,2,,1.0,1,2,,0.0,0.0
,30845.143,53,1,1,1.0,1.0,1,2,4.0,0.0,0.0
,42861.836,74,1,4,,6.0,1,2,,0.0,0.0
,16241.6,158,1,2,1.0,6.0,2,2,4.0,0.0,0.0
,39037.0,111,1,3,,,1,1,,0.0,0.0
4.0,35044.0,187,4,3,,3.0,1,3,,0.0,9154.7188
,46545.484,192,1,6,,,1,1,,0.0,1695.796
2.0,56929.145,51,4,3,1.0,6.0,1,2,2.0,0.0,0.0
2.0,22900.654,148,5,2,,1.0,1,3,,0.0,1688.8021
,16241.6,105,1,1,,6.0,1,2,,0.0,4634.3276
,22900.654,135,1,1,1.0,6.0,1,2,4.0,0.0,0.0
2.0,46545.484,58,5,2,,1.0,1,2,,0.0,0.0
,16241.6,86,1,1,1.0,6.0,1,2,4.0,0.0,5786.3276
