schl,boro,off_threshold,ten,sch,pretaxincome_pu,est_povgapindex,wagp_adj,rel
16.0,2,31689,3,2,67370.953,0.0,0.0,2
1.0,2,48546,1,3,19552.771,0.5498361,0.0,2
12.0,2,19642,1,1,158549.69,0.0,151964.55,0
16.0,2,16815,1,1,22085.514,0.11874218,0.0,1
21.0,4,13064,3,1,75982.273,0.0,75982.273,0
16.0,3,13064,2,1,57746.527,0.0,37484.59,15
21.0,3,16815,3,1,148925.27,0.0,60785.82,0
19.0,2,25900,2,1,124337.4,0.0,21882.895,2
,2,20212,3,0,219335.5,0.0,0.0,2
13.0,1,25465,3,1,30392.91,0.0,27353.619,0
24.0,2,13064,3,1,73956.078,0.0,73956.078,0
17.0,4,13064,1,1,8104.7759,0.49716523,8104.7759,15
21.0,4,26324,2,1,66864.398,0.0,66864.398,0
16.0,1,17242,3,1,18144.566,0.06367512,0.0,0
13.0,1,26324,3,2,71423.336,0.0,0.0,2
17.0,4,20212,1,1,14385.978,0.57548153,0.0,2
20.0,5,13064,2,1,9320.4922,0.29059818,0.0,0
19.0,3,19642,3,2,8915.2539,0.19977018,0.0,2
9.0,2,31234,2,1,100499.22,0.0,0.0,6
16.0,2,31234,1,1,192792.36,0.0,0.0,1
5.0,1,34612,1,2,41536.977,0.12942372,0.0,2
21.0,3,16815,1,1,307981.5,0.0,161082.42,0
19.0,2,25900,3,2,241826.25,0.0,0.0,2
19.0,1,20212,2,1,50654.852,0.0,0.0,0
21.0,3,16815,3,1,118552.61,0.0,2026.194,1
21.0,3,13064,3,1,0.0,1.0,0.0,0
12.0,2,26324,3,1,129372.48,0.0,0.0,1
19.0,3,20212,1,1,92191.828,0.0,71929.891,0
19.0,4,25900,1,3,6483.8208,0.81810254,0.0,2
21.0,3,13064,3,1,75982.273,0.0,75982.273,12
1.0,2,29967,3,1,58759.625,0.0,0.0,2
21.0,2,19642,3,1,77704.539,0.0,0.0,6
,1,34612,3,0,98169.102,0.0,0.0,7
21.0,4,35925,3,1,208697.98,0.0,35458.395,5
9.0,5,15178,2,1,37281.969,0.0,0.0,1
19.0,2,13064,3,1,16412.172,0.0,0.0,0
21.0,2,16815,3,1,207684.89,0.0,75982.273,0
16.0,4,34612,1,1,126839.74,0.0,0.0,1
22.0,4,13064,2,1,175265.78,0.0,160069.33,0
11.0,2,25465,3,1,45589.363,0.0,25327.426,0
15.0,3,19642,2,1,70045.523,0.0,0.0,1
21.0,2,31234,2,3,100499.22,0.0,2026.194,10
10.0,3,20212,1,1,92191.828,0.0,0.0,2
22.0,3,20212,2,1,668644.0,0.0,0.0,1
19.0,1,31234,1,2,102728.04,0.0,52681.043,2
20.0,4,25900,3,2,36471.492,0.031028295,0.0,2
21.0,3,19642,2,1,70045.523,0.0,39510.781,0
21.0,3,29967,1,1,214776.56,0.0,50654.852,0
1.0,4,34612,1,2,126839.74,0.0,0.0,2
20.0,1,13064,3,1,60785.82,0.0,60785.82,0
21.0,4,36068,1,1,180736.5,0.0,38497.688,5
19.0,4,16815,3,1,208697.98,0.0,182357.45,1
12.0,1,20212,3,2,39612.094,0.0,0.0,2
5.0,4,16815,1,1,157637.89,0.0,0.0,10
,3,25465,2,0,668644.0,0.0,0.0,2
4.0,1,25465,3,2,10130.97,0.11385179,0.0,2
16.0,1,19642,1,1,35863.633,0.031405609,0.0,5
19.0,2,16815,3,1,73348.227,0.0,0.0,1
3.0,4,25465,1,2,85100.148,0.0,0.0,2
21.0,5,16815,3,1,100093.98,0.0,33736.129,2
16.0,2,15178,1,1,21356.084,0.14304961,0.0,1
21.0,2,16815,3,1,83073.953,0.0,70916.789,12
12.0,4,31689,3,1,94218.023,0.0,5065.4849,10
16.0,4,25900,3,1,199610.5,0.0,87126.344,1
19.0,1,12043,3,1,99891.367,0.0,67877.5,0
15.0,2,25900,1,1,183877.11,0.0,50654.852,1
22.0,3,16815,3,3,31709.936,0.0,0.0,13
1.0,4,12043,3,1,4052.3879,0.76089865,0.0,0
5.0,4,31689,3,2,94218.023,0.0,0.0,10
12.0,2,15178,3,1,13879.429,0.24000295,0.0,0
1.0,5,16815,3,1,10130.97,0.55390054,0.0,2
10.0,2,25465,1,2,86113.242,0.0,0.0,2
1.0,1,13064,1,1,1215.7164,1.0,0.0,0
16.0,2,16815,3,1,52174.496,0.0,0.0,10
