ela_level_2_1,ell_chinese,ela_level_2,female_1,total_enrollment,ela_l3_l4_1,ell_arabic
45.5%,,15,0.448,232,s,
31.8%,,47,0.324,638,s,
33.1%,,47,0.558,686,33.8%,
39.6%,,95,0.374,1200,30.0%,
42.1%,,741,0.441,8981,29.9%,
25.3%,26,25,0.391,571,s,142.0
45.4%,,357,0.462,4461,30.6%,
29.6%,16,21,0.427,433,s,68.0
34.0%,,126,0.5,2256,54.2%,
42.4%,,87,0.464,922,17.1%,
46.3%,,62,0.441,605,s,
32.4%,,702,0.438,10365,48.4%,
24.2%,s,38,0.433,1193,s,133.0
24.9%,,206,0.552,3709,62.5%,
41.0%,,448,0.438,5225,34.1%,
26.3%,s,75,0.463,1985,s,52.0
30.0%,,872,0.429,14301,52.5%,
20.8%,s,30,0.459,1464,s,45.0
33.5%,,800,0.509,11291,49.9%,
39.0%,,407,0.483,5075,33.1%,
42.2%,,645,0.512,7278,29.4%,
17.3%,s,19,0.425,838,s,62.0
46.8%,,73,0.384,623,s,
30.0%,,105,0.336,1703,s,
26.1%,s,111,0.448,2891,s,107.0
36.6%,,134,0.358,1838,s,
39.0%,,41,0.451,610,36.2%,
34.4%,,866,0.484,12145,40.6%,
37.2%,,29,0.477,681,s,
32.4%,,1227,0.488,18193,52.2%,
41.7%,,25,0.435,1076,s,
32.2%,,87,0.375,1400,s,
47.9%,,35,0.492,510,s,
45.0%,,27,0.457,304,s,
33.9%,,717,0.495,9748,50.3%,
44.1%,,49,0.496,965,33.3%,
47.5%,,29,0.414,948,s,
22.1%,1014,71,0.39,2605,s,260.0
46.5%,,112,0.427,1730,s,
