native_american,calendar_year,cd_51,cd_21,cd_36,caucasian,cd_03,cd_31,unknown_race,cd_04,cd_46,cd_28,cd_07,unknown_cd,cd_50,cd_44,cd_45
0,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2024,*,*,*,30,*,*,0,*,*,*,*,*,*,*,*
0,2025,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
0,2023,0,0,0,*,0,*,0,0,0,0,0,0,0,0,0
0,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2024,47,79,252,795,88,248,*,64,119,154,168,2447,85,102,163
0,2022,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0
0,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*,2025,*,*,*,27,*,*,0,0,*,*,*,27,*,*,*
*,2023,*,*,*,*,0,*,0,0,*,*,*,27,*,*,0
*,2022,*,13,25,73,*,22,0,*,18,*,13,279,*,*,13
62,2025,125,269,373,2397,134,360,28,46,203,298,308,1884,171,332,278
*,2022,0,*,*,20,*,*,*,0,*,*,*,25,*,*,*
0,2023,0,0,*,*,0,0,0,0,0,0,0,*,*,0,0
0,2023,0,0,0,*,0,0,0,0,0,0,0,*,0,0,0
0,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*,2022,0,*,*,*,0,0,0,0,0,*,*,15,*,*,0
*,2023,*,11,24,82,*,19,*,0,13,21,13,105,*,15,14
0,2024,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0
0,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
*,2023,*,0,*,27,*,*,0,0,*,*,*,16,*,*,*
0,2023,0,0,*,39,*,*,0,0,*,0,*,13,*,*,0
20,2023,35,59,108,675,40,103,13,*,71,75,86,791,40,78,72
0,2024,*,*,*,*,0,*,0,0,0,*,*,13,0,0,*
0,2022,0,*,*,*,0,0,0,0,0,0,*,*,0,0,0
0,2023,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0
*,2022,*,*,*,45,*,*,0,0,*,*,10,107,*,0,*
0,2022,0,0,0,*,0,0,0,0,0,0,*,*,0,0,0
0,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2022,0,0,0,*,0,0,0,0,0,0,0,*,0,*,0
0,2023,0,0,*,*,0,0,0,0,0,*,0,*,0,0,0
*,2024,0,*,0,*,0,0,0,0,*,*,0,*,0,*,0
*,2023,*,*,19,47,0,14,0,*,16,16,*,88,*,*,14
0,2024,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0
19,2024,41,61,103,700,40,89,*,19,64,80,85,761,59,68,77
*,2024,*,*,*,*,0,*,0,0,*,*,*,49,*,0,*
0,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*,2025,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
0,2023,0,0,0,*,*,0,0,0,0,0,0,0,0,0,0
0,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2023,0,0,*,14,*,*,0,*,*,0,*,24,0,0,*
0,2023,*,0,*,*,0,*,0,0,*,*,*,*,0,0,*
0,2023,0,0,0,*,0,0,0,0,0,0,*,*,0,*,0
0,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2023,0,0,0,*,0,0,0,0,0,0,0,*,0,0,0
0,2022,0,0,*,0,0,0,0,0,0,0,*,*,0,0,*
25,2023,26,73,108,748,59,99,*,15,73,86,130,826,53,86,93
0,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*,2024,0,*,*,21,0,*,*,*,*,*,*,76,*,*,*
0,2024,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0
0,2025,0,0,*,16,*,*,0,0,*,0,*,*,0,*,0
0,2023,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0
0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2024,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0
*,2024,*,20,25,76,*,35,*,*,10,15,11,231,*,15,24
0,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2024,0,0,*,*,0,*,0,0,*,*,*,*,*,*,*
*,2023,*,*,10,46,*,*,0,0,10,*,*,41,*,14,*
0,2022,0,0,0,*,*,0,0,0,0,0,0,21,0,0,0
*,2025,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0
0,2023,0,0,0,0,*,0,0,0,0,*,*,*,0,0,0
0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2023,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
*,2023,0,0,*,*,0,0,0,0,0,*,0,*,0,*,0
0,2022,0,*,0,0,0,*,0,0,0,0,0,*,0,0,0
61,2024,126,248,304,2155,119,285,49,34,203,268,269,1755,166,386,236
0,2023,0,0,0,*,*,0,0,0,0,0,0,*,0,0,0
0,2024,0,0,*,*,0,*,0,0,*,*,0,*,*,0,0
0,2023,0,*,*,*,0,*,0,*,0,0,0,*,0,0,0
*,2024,0,0,*,*,0,0,0,0,0,0,0,0,0,0,0
*,2024,13,24,41,143,11,31,0,*,23,29,14,138,12,33,30
0,2023,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0
0,2024,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0
0,2024,*,*,*,78,*,*,31,*,*,*,12,32,10,*,*
0,2022,0,0,*,0,0,0,*,0,0,0,0,*,0,0,0
13,2024,13,30,43,237,10,41,0,*,28,30,37,173,18,46,26
0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2022,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0
0,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2024,0,0,*,41,0,*,0,0,*,*,*,*,*,*,*
0,2024,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
28,2023,67,102,151,1047,70,115,16,20,104,102,138,1140,70,122,129
0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2025,0,0,*,0,0,0,0,0,0,0,0,0,*,0,0
0,2023,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
0,2023,*,*,14,81,*,*,*,*,*,*,19,24,*,*,10
0,2024,0,0,0,0,*,0,0,0,0,0,0,*,0,0,0
0,2024,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
0,2023,0,0,0,*,0,0,0,0,0,0,0,*,0,0,*
0,2024,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0
0,2022,0,0,0,*,0,*,0,0,0,*,*,10,0,0,0
17,2023,35,60,117,619,41,87,*,18,63,88,97,842,53,70,90
0,2024,0,0,0,*,0,0,0,0,*,0,0,*,0,0,*
0,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2022,11,56,45,219,*,66,0,*,28,54,39,206,18,52,27
0,2024,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0
*,2025,16,66,72,353,12,60,0,*,34,43,43,206,20,71,44
0,2024,0,0,*,*,0,0,0,0,0,0,0,*,0,0,0
0,2023,0,0,0,*,0,0,0,0,0,0,0,*,0,0,*
0,2024,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0
0,2024,0,0,0,*,*,0,0,0,0,0,0,*,*,0,0
0,2023,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0
0,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*,2023,0,0,*,*,0,*,*,0,*,*,*,21,*,0,*
0,2022,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0
*,2024,*,*,11,61,*,*,*,*,*,*,10,21,*,*,*
*,2022,*,*,*,21,*,*,*,*,*,*,0,19,*,*,*
0,2024,*,*,0,*,0,*,0,0,*,0,0,0,0,*,0
0,2024,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
0,2024,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0
0,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2025,*,*,*,12,0,*,0,0,0,*,*,16,*,0,0
*,2023,0,0,*,16,*,*,0,*,0,0,*,33,*,0,*
0,2024,0,*,*,22,*,10,*,*,*,*,*,28,*,0,*
0,2025,0,0,0,*,0,0,0,0,*,0,0,*,0,0,0
0,2023,0,0,0,*,0,0,0,0,0,0,*,0,0,*,0
0,2023,0,0,0,0,0,0,0,0,0,0,0,*,0,*,0
*,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2023,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0
0,2023,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0
0,2024,0,*,*,11,*,*,0,0,0,0,*,*,0,0,*
0,2024,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0
0,2024,0,*,0,*,*,0,0,*,0,0,0,11,0,0,*
0,2024,0,0,0,*,*,0,0,0,0,0,*,19,0,0,*
0,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2023,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0
