cd_17,cd_48,cd_19,cd_26,female,cd_11,cd_20,cd_06,cd_16,cd_23
0,0,0,0,*,0,0,0,*,0
*,*,*,0,82,0,*,0,*,*
0,0,0,0,*,0,0,0,0,0
0,0,*,0,*,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,*,0,0,0,0,0
526,71,32,116,6762,219,43,56,454,72
0,0,0,0,*,0,0,0,0,0
*,0,0,0,*,0,0,0,0,0
*,*,*,*,135,*,0,*,10,*
*,*,0,0,106,*,0,0,10,*
62,*,*,11,649,12,*,11,52,*
612,332,145,183,11010,289,242,102,602,133
18,*,*,0,241,*,0,0,18,*
0,0,0,0,*,0,0,0,*,0
0,0,0,0,*,0,0,0,0,0
0,0,0,0,*,0,0,0,0,0
*,0,0,0,28,*,*,0,0,*
30,15,*,*,534,22,*,*,40,*
0,0,0,0,*,0,0,0,0,0
0,0,0,0,*,0,0,*,0,0
*,*,*,*,134,*,*,*,*,*
*,11,*,*,77,*,*,*,*,0
193,92,31,51,2887,84,64,28,167,27
*,0,0,*,35,0,0,0,0,0
*,0,0,0,15,0,0,0,*,0
0,0,0,0,*,0,0,0,0,0
*,*,0,*,233,*,*,*,11,*
0,*,0,0,13,*,0,0,0,0
0,0,0,0,*,0,0,0,0,0
0,0,0,0,*,0,0,0,0,0
*,0,0,0,18,0,0,0,*,0
*,0,0,0,12,0,0,0,0,0
*,0,0,*,39,0,*,0,*,*
23,11,*,*,438,12,*,*,28,*
0,0,0,0,*,0,0,0,0,0
185,83,36,57,2721,92,76,30,163,36
*,0,0,*,83,*,0,*,*,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,10,*,0,*,*,0
0,0,0,0,*,0,0,0,0,0
0,0,0,0,0,0,0,*,0,0
*,*,0,*,38,*,0,0,*,*
*,*,0,*,40,*,*,0,*,*
*,0,0,0,*,0,0,0,*,0
0,0,0,0,*,0,0,0,0,0
*,*,0,0,*,0,0,0,0,0
0,0,0,0,27,0,0,*,*,0
193,124,40,53,3530,112,87,39,194,40
0,0,0,0,*,0,0,0,0,0
0,0,0,0,*,0,0,0,0,0
0,0,0,0,*,0,0,0,0,0
*,0,*,*,52,0,0,*,*,*
0,*,0,0,*,*,0,0,0,0
0,0,0,0,*,0,0,0,0,0
*,0,0,*,128,*,*,*,*,0
0,0,0,0,*,0,0,0,0,0
0,0,0,0,*,0,0,0,*,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
*,0,0,0,*,0,0,0,0,0
0,0,0,0,*,0,0,0,0,0
0,0,0,0,10,*,0,*,0,*
*,0,0,0,50,*,0,0,*,0
161,87,17,35,1737,56,29,24,150,15
0,0,0,0,*,0,0,0,0,0
*,0,0,0,*,0,0,0,*,0
*,*,0,*,233,*,*,*,19,*
0,0,0,0,0,0,0,0,*,0
0,0,0,0,*,0,0,0,0,0
0,0,0,0,*,0,0,0,0,0
*,0,0,0,*,*,0,0,0,0
14,*,*,*,236,*,*,*,14,*
0,0,0,0,*,0,0,0,0,0
0,*,0,0,*,0,0,0,0,0
*,0,0,0,10,*,0,0,*,*
*,0,*,*,113,*,0,0,*,*
*,0,0,0,28,0,0,*,*,0
0,*,0,0,*,0,0,0,*,0
*,*,*,*,71,*,0,*,*,0
*,0,0,0,*,0,0,0,*,0
*,*,*,*,75,*,*,*,*,*
0,*,0,0,*,0,0,0,0,0
*,*,0,*,66,0,*,*,*,*
0,0,0,0,*,0,0,0,0,*
*,*,0,*,29,*,0,0,*,0
*,*,0,0,61,*,*,*,*,*
27,13,*,*,522,19,10,*,31,*
0,0,0,0,*,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,*,0,0,*,0,*,0,0,0
0,0,0,0,*,*,0,0,0,0
0,0,0,0,0,0,0,0,*,0
0,*,0,0,25,0,*,0,*,*
0,0,0,0,15,0,0,0,*,0
*,0,0,0,*,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,*,0,0,0,*,0
*,*,*,0,88,*,*,*,*,*
0,0,0,*,18,0,0,0,0,0
17,0,0,*,214,*,0,*,24,*
831,355,130,204,13015,353,203,111,816,132
*,19,0,*,87,0,0,0,*,0
0,0,0,0,0,0,0,0,0,0
*,0,*,0,32,0,0,0,*,0
0,0,0,0,*,*,0,0,*,0
*,0,0,0,*,0,*,0,0,0
77,*,10,41,"1,327",27,15,*,67,10
119,35,16,22,2274,66,30,11,145,28
21,0,*,11,275,*,0,*,*,*
0,0,0,0,*,0,0,0,0,0
*,0,*,0,42,*,*,*,*,0
107,55,21,26,2080,66,38,*,113,20
0,0,0,0,0,0,0,0,0,0
0,0,0,0,*,0,0,0,*,0
0,0,0,0,0,0,0,0,0,0
605,250,94,128,10446,272,155,69,632,113
213,108,50,59,3455,95,113,43,185,56
0,0,0,0,*,0,0,0,0,0
0,*,0,0,*,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
*,*,*,*,49,*,*,*,*,*
0,0,0,0,*,0,0,0,0,0
0,0,0,0,0,0,0,0,*,0
*,0,0,0,*,0,0,0,*,0
0,0,0,0,*,0,0,*,0,0
0,0,0,0,18,0,0,0,0,0
*,*,0,0,48,*,0,0,*,0
*,0,0,0,*,0,0,0,0,0
*,13,*,0,75,*,*,0,*,*
0,0,0,0,*,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
33,*,*,*,385,18,*,*,22,*
0,0,0,0,*,0,0,0,*,0
*,0,*,0,35,*,*,*,0,0
*,0,0,0,*,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,*,0,0,0,*,0
0,0,0,0,*,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
*,0,0,0,*,0,0,0,0,0
*,0,0,0,*,0,0,0,0,0
0,0,0,*,*,0,0,0,0,0
*,0,*,*,72,*,*,*,*,0
0,0,0,0,11,0,*,0,*,0
*,0,0,0,*,0,0,0,0,0
0,*,0,0,*,0,0,0,*,0
243,68,37,78,4388,119,65,21,259,50
0,0,0,0,13,*,*,0,0,0
