cd_47,cd_01,has_reasonable_accommodation,cd_32,cd_14,cd_18,_18_24,cd_38
0,0,0,0,0,0,*,0
*,*,0,*,*,*,*,*
0,0,0,0,0,0,*,0
0,0,0,*,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
155,81,847,94,439,277,772,98
0,0,0,0,*,0,0,0
0,*,0,0,0,0,0,0
*,*,0,*,*,*,10,*
0,*,*,*,*,*,*,*
14,*,107,*,30,29,123,*
324,195,109,239,604,464,655,281
*,*,20,*,*,*,36,*
0,0,0,0,0,*,*,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,*,*,*,*,*,0
13,*,0,18,32,22,57,*
0,0,*,0,0,*,0,0
0,0,0,0,0,*,*,0
*,14,20,*,10,*,0,11
*,*,0,0,0,0,0,*
78,54,28,53,170,146,142,91
0,*,0,*,*,*,29,*
0,0,*,*,0,*,*,0
0,0,0,0,0,0,0,0
*,*,*,11,12,*,14,*
*,*,0,*,*,*,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,*,*,0
*,0,*,*,*,*,*,0
0,*,0,*,*,*,*,*
*,*,0,12,42,10,47,*
0,0,0,0,0,0,0,0
112,73,33,53,163,113,149,86
*,0,*,*,*,0,19,*
0,0,0,0,0,0,0,0
*,0,0,0,*,0,*,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
*,0,*,*,*,*,13,0
*,*,0,*,*,*,*,*
0,0,0,0,0,0,*,0
0,0,0,0,0,0,0,0
0,0,*,0,0,*,*,0
0,0,*,0,*,*,10,0
135,75,37,65,229,156,168,110
0,0,0,*,0,0,0,0
0,0,0,0,0,0,0,0
*,*,0,*,*,12,0,*
13,*,55,*,29,24,30,*
0,0,*,0,0,0,0,*
0,0,0,0,0,*,*,0
*,0,0,0,0,0,*,0
0,0,0,0,0,0,*,0
*,0,*,*,14,14,*,*
0,*,0,0,0,0,0,0
*,*,18,*,*,*,21,*
16,*,*,14,35,24,65,*
0,0,0,0,0,0,0,0
100,62,438,34,191,150,457,80
*,*,*,0,*,*,*,0
101,42,481,65,271,176,567,86
26,23,208,18,76,39,94,21
0,0,0,0,0,0,0,0
26,17,*,31,100,76,77,28
*,*,*,0,*,0,18,*
0,0,*,0,*,*,*,0
*,*,0,*,*,*,*,*
0,0,0,0,0,0,0,0
0,0,0,0,0,0,*,0
