linked_trip_id,hh_member_8,ev_charge_station,d_location_type,r_transit_egress,ev_charge_station_level_998,arrive_dow,hh_member_1,r_transit_access,o_purpose,ev_charge_station_level_4,o_cms_zone,park_pay,r_distance_miles,d_in_region,depart_hour,depart_date,num_travelers,mode_2,arrive_hour,park_type,hh_member_5,o_county
2200144001021,995,995,4,1,995,1,1,1,11,995,1,995,995,1,18,2022-10-17T00:00:00.000,1,995,18,995,995,36005
2200010501038,995,995,4,0,995,5,1,0,60,995,3,995,1,1,6,2022-10-21T00:00:00.000,1,995,6,995,995,36061
2200198901025,995,995,4,995,995,7,1,995,50,995,11,995,1,0,16,2022-10-09T00:00:00.000,2,995,16,995,995,995
2200156601019,995,995,2,995,995,1,1,995,1,995,2,995,4,1,6,2022-10-17T00:00:00.000,1,995,6,1,995,36005
2200258901033,995,995,4,1,995,1,1,1,60,995,2,995,1,1,6,2022-10-10T00:00:00.000,1,995,6,995,0,36005
2200197701001,995,995,4,1,995,7,1,1,60,995,2,995,4,1,6,2022-10-23T00:00:00.000,1,995,6,995,995,36005
2200112801029,995,995,3,1,995,2,1,0,60,995,1,995,3,1,8,2022-11-01T00:00:00.000,1,78,8,995,995,36005
2200127601007,995,995,4,995,995,4,1,995,46,995,2,1,4,1,6,2022-10-06T00:00:00.000,1,995,7,3,995,36005
2200258901014,995,995,4,1,995,5,1,1,60,995,8,995,5,1,16,2022-10-07T00:00:00.000,1,1,17,995,0,36047
2200112801013,995,995,1,1,995,5,1,1,60,995,1,995,1,1,13,2022-10-28T00:00:00.000,1,995,13,995,995,36005
2200060701047,995,995,4,1,995,3,1,1,10,995,4,995,995,1,18,2022-10-19T00:00:00.000,1,1,18,995,995,36061
2200156601021,995,995,2,995,995,1,1,995,11,995,11,995,3,1,12,2022-10-17T00:00:00.000,1,995,13,1,995,36061
2200258301028,995,995,4,995,995,2,1,995,30,995,2,995,1,1,9,2022-10-11T00:00:00.000,1,995,9,995,0,36005
