pivot-metric,pivot-value,permitid,axle2weight,totalnoofaxle,axle3loadrating,loadindescription,axle4space,loadoutheight,vehicletype,loadoutdescription,overalllength,vehicletypeother,steeringnooftires
fullapplicationno,Jac-2015102-978,4229,23000.0,3.0,6990.0,,,,Dump Truck,,23.05,,2.0
leasecompanyname,,2758,23000.0,3.0,5750.0,,,,Other Single,,34.0,tank truck,2.0
leasecompanyname,,3812,,,,Raw Bulk Milk,,11.06,,Empty,,,
leasecompanyname,,2475,,,,Bulk Raw Milk,,11.06,,Empty,,,
fullapplicationno,con-20151027-1071,4322,22500.0,3.0,5625.0,,,,Dump Truck,,34.0,,2.0
leasecompanyname,,3248,35338.0,2.0,,,,,,,41.05,,
leasecompanyname,,3356,19653.0,3.0,,,,,,,38.11,,
fullapplicationno,Cor1-2014813-825,2555,23000.0,3.0,5750.0,,,,Cement Truck,,29.01,,2.0
leasecompanyname,,3795,,,,Raw Bulk Milk,,12.03,,Empty,,,
fullapplicationno,Cra-2015122-112,3273,36700.0,2.0,,,,,,,43.07,,
leasecompanyname,,4395,23000.0,3.0,5750.0,,,,Dump Truck,,34.0,,2.0
fullapplicationno,Sup-20161229-1158,5886,22800.0,4.0,,,4.04,,,,43.1,,
leasecompanyname,,4503,,,,,,,Tractor Trailer,,,,
fullapplicationno,con-2014925-1043,2773,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
leasecompanyname,,2457,,,,Bulk Raw Milk,,12.03,,Empty,,,
leasecompanyname,,3981,,,,Bulk Raw Milk,,11.06,,Empty,,,
leasecompanyname,,3656,,,,,,,Tractor Trailer,,,,
fullapplicationno,DEF1-2015119-87,3248,35338.0,2.0,,,,,,,41.05,,
fullapplicationno,con-2015113-1228,4479,23000.0,3.0,24020.0,,,,Other Single,,34.0,UTILITY,2.0
fullapplicationno,Wor-2015317-298,3459,,,,Bulk Raw Milk,,12.03,,Empty,,,
fullapplicationno,Mon-2015123-122,3283,,,,,,,Tractor Trailer,,,,
leasecompanyname,,4460,23000.0,3.0,5750.0,,,,Other Single,,34.0,utility,2.0
leasecompanyname,,2633,23000.0,3.0,24020.0,,,,Other Single,,30.0,STAK,2.0
leasecompanyname,,4366,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
fullapplicationno,Val-201555-511,3672,29000.0,3.0,8800.0,,,,Other Single,,31.03,,2.0
fullapplicationno,Val-2015810-843,4004,29000.0,3.0,8800.0,,,,Other Single,,31.03,,2.0
fullapplicationno,A.-201569-626,3787,,,,,,,Tractor Trailer,,,,
leasecompanyname,,3016,,,,Bulk Raw Milk,,11.06,,Empty,,,
fullapplicationno,CAS1-2015831-905,4156,28640.0,3.0,28640.0,,,,Cement Truck,,33.06,,2.0
leasecompanyname,,2561,29500.0,3.0,26600.0,,,,Dump Truck,,28.0,,2.0
leasecompanyname,,4574,23291.0,4.0,,,5.05,,,,41.01,,
fullapplicationno,Val-201539-255,3416,29500.0,3.0,8800.0,,,,Other Single,,30.03,CONCRETE MIXER,2.0
leasecompanyname,,2773,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
fullapplicationno,con-2014924-1025,2755,23000.0,3.0,5750.0,,,,Other Single,,28.06,utility,2.0
leasecompanyname,,2711,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
leasecompanyname,,3133,22000.0,3.0,22000.0,,,,Dump Truck,,35.0,,2.0
fullapplicationno,con-2015113-1221,4472,23000.0,3.0,24050.0,,,,Other Single,,34.0,utility,2.0
leasecompanyname,,4328,22700.0,3.0,5675.0,,,,Other Single,,34.0,utility,2.0
fullapplicationno,SEV-201478-754,2484,29500.0,3.0,9920.0,,,,Cement Truck,,31.0,,2.0
fullapplicationno,con-2015826-880,4131,23000.0,3.0,24020.0,,,,Other Single,,34.0,UTILITY,2.0
fullapplicationno,KIN-201536-236,3397,24680.0,3.0,8170.0,,,,Other Single,,35.0,BOOM TRUCK,2.0
leasecompanyname,,4383,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
fullapplicationno,con-2015113-1216,4467,23000.0,3.0,5750.0,,,,Other Single,,34.0,vACTOR,2.0
leasecompanyname,,2784,,,,,,,Tractor Trailer,,,,
fullapplicationno,RAN-2015411-414,3575,,,,,,,Tractor Trailer,,,,
fullapplicationno,Wor-20141125-1238,2968,,,,Bulk Raw MIlk,,11.06,,Empty,,,
leasecompanyname,,2484,29500.0,3.0,9920.0,,,,Cement Truck,,31.0,,2.0
leasecompanyname,,2479,,,,Raw Bulk Milk,,11.06,,Empty,,,
leasecompanyname,,4472,23000.0,3.0,24050.0,,,,Other Single,,34.0,utility,2.0
leasecompanyname,,2451,,,,Bulk Raw Milk,,12.03,,Empty,,,
fullapplicationno,K &-2014117-1191,2921,29500.0,3.0,32400.0,,,,Dump Truck,,26.0,,2.0
fullapplicationno,J.R-20141210-1308,3038,24000.0,2.0,,,,,Dump Truck,,20.04,,2.0
fullapplicationno,Eas1-20141217-1390,3120,,,,,,,Tractor Trailer,,,,
leasecompanyname,,3827,28800.0,3.0,6900.0,,,,Dump Truck,,23.05,,2.0
fullapplicationno,Bay-20171129-767,6659,25000.0,3.0,,,,,,,23.03,,
fullapplicationno,Wor-201492-851,2581,,,,Bulk Raw Milk,,11.06,,Empty,,,
leasecompanyname,,3447,29500.0,3.0,9920.0,,,,Cement Truck,,23.09,,2.0
leasecompanyname,,3273,36700.0,2.0,,,,,,,43.07,,
leasecompanyname,,4322,22500.0,3.0,5625.0,,,,Dump Truck,,34.0,,2.0
fullapplicationno,Lon-20141210-1322,3052,10355.0,4.0,,,4.06,,,,33.06,,
fullapplicationno,NYC1-20151019-1039,4290,,,,Raw Bulk Milk,,12.03,,Empty,,,
fullapplicationno,SJ-201498-884,2614,23165.0,3.0,8800.0,,,,Other Single,,29.08,,2.0
leasecompanyname,,2943,,,,Bulk Raw Milk,,11.06,,Empty,,,
leasecompanyname,,3670,29000.0,3.0,8800.0,,,,Other Single,,31.03,CONCRETE MIXER,2.0
leasecompanyname,,3766,,,,Bulk Raw Milk,,11.06,,Empty,,,
fullapplicationno,Wor-2015318-329,3490,,,,Bulk Raw Milk,,11.06,,Empty,,,
fullapplicationno,Val-2014811-818,2548,29000.0,3.0,8800.0,,,,Other Single,,31.03,CONCRETE MIXER,2.0
fullapplicationno,EIG-2015317-286,3447,29500.0,3.0,9920.0,,,,Cement Truck,,23.09,,2.0
