legalname,total_maximum_capacity
Gan Yisroel of Crown Heights,0.0
HAWTHORNE CORNERS DAY CARE CENTER INC.,220.0
CREATIVE DISCOVERY PRE-SCHOOL INC,128.0
BEGINNINGS NURSERY SCHOOL,148.0
"A TO Z CENTER TOO, INC.",1020.0
JHELC INC.,55.0
"TUTOR TIME LEARNING CENTERS,LLC",928.0
PERRY KIDS INC.,58.0
"OUR CHILDREN FIRST, INC",60.0
HEARTSHARE HUMAN SERVICES OF NEW YORK,424.0
"BOOKS & RATTLES, INC.",264.0
UNITED LUBAVITCHER YESIVOTH,0.0
SHINING SMILES DAYCARE 1 INC,118.0
UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,312.0
"PNW ENTERPRISES, LLC",412.0
THE ROCHDALE EARLY ADVANTAGE CHARTER SCHOOL,0.0
PROSPECT PARK YESHIVA,0.0
"NORTHEAST BRONX DAY CARE CENTER, INC.",234.0
IRAS BRIARWOOD DAY CARE AND PRESCHOOL INC.,61.0
"URBAN CONCEPTS OF NEW YORK,ROUND THE CLOCK NURSERY, INC.",140.0
"BILINGUAL NEST, LLC",22.0
BSDC INC,30.0
WE R EXPLORERS LLC,118.0
ST. HELENA SCHOOL,0.0
SUNSHINE DAY CARE OF MOTT HAVEN,44.0
"CHABAD OF GRAMERCY PARK, INC.",216.0
"URBAN CONCEPTS OF NEW YORK ROUND-THE-CLOCK NURSERY, INC",300.0
LITTLE DAYDREAMERS LEARNING CENTER 3 LLC,220.0
BRONX STARBRIGHT INC.,18.0
ASSOCIATION TO BENEFIT CHILDREN,110.0
OUR LITTLE ANGELS CORP,148.0
THE HUDSON GUILD,144.0
STEPPING STONES 86 LLC,0.0
AFRO-AMERICAN PARENTS EDUCATIONAL CENTER INC.,776.0
Sunshine Center of Coney Island LLC,106.0
NYC Early Learning Company Inc,110.0
ASIAN-AMERICAN COALITION FOR EDUCATION (ACE),156.0
BRIGHT HORIZONS CHILDREN'S CENTER LLC,162.0
"PSYCHOTHERAPEUTIC EVALUATIONAL PROGRAMS, INC.",1496.0
"NEW YORK CHILD RESOURCE CENTER, INC.",103.0
WILLIAMSBURG INFANT & EARLY CHILDHOOD DEVELOPMENT CENTER,2640.0
JOY DAYCARE INC.,89.0
"SY SEIT, LLC",702.0
THE CHILD STUDY CENTER OF NEW YORK,142.0
TUTOR TIME LEARNING CENTERS LLC,176.0
BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,32.0
"3467 READY, SET, LEARN, L L C",167.0
"NORTHEAST BRONX DAY CARE CENTER,INC.",240.0
Kochavim Ktanim Child Care Inc,35.0
JACKSON CHILD DEVELOPMENT CENTER,9432.0
