contract_name,contract_name_1,funding_category,interim_spending_deadline,final_spending_deadline,total_funds_to_be_spent
TEXTBOOK,TEXTBOOK,Education,,2011-09-30,
AUDIO/VIDEO EQUIPMENT AND SERVICES,AUDIO/VIDEO EQUIPMENT AND SERVICES,Education,,2011-09-30,
ARTS EDUCATION SERVICES,ARTS EDUCATION SERVICES,Education,,2011-09-30,
TEXTBOOKS.,TEXTBOOKS.,Education,,2011-09-30,
"Chinese American Planning Council, 90770","Chinese American Planning Council, 90770",Economic and Workforce Development,2010-06-30,2011-06-30,75.0
INTERACTIVE WHITE BOARDS,INTERACTIVE WHITE BOARDS,Education,,2011-09-30,
"Union Settlement Association, 766483","Union Settlement Association, 766483",Health and Social Support,2010-09-30,2010-09-30,100.0
ERP: Repairs,ERP: Repairs,Neighborhood Stabilization,,2012-09-30,
"Rockaway Development & Revitalization Corporation, 90814","Rockaway Development & Revitalization Corporation, 90814",Economic and Workforce Development,2010-06-30,2011-06-30,150.0
Congregate Meals for the Elderly at Senior Centers,Congregate Meals for the Elderly at Senior Centers,Health and Social Support,,2010-06-30,
"Woodycrest Center For Human Development, 90827","Woodycrest Center For Human Development, 90827",Economic and Workforce Development,2010-06-30,2011-06-30,150.0
Leavitt Houses - Roofing Replacement,Leavitt Houses - Roofing Replacement,Infrastructure,2011-03-17,2012-03-17,60.0
TEACH.TXBKS,TEACH.TXBKS,Education,,2011-09-30,
EMPLOYMENT AGENCY PROFESSIONAL SERVICES,EMPLOYMENT AGENCY PROFESSIONAL SERVICES,Education,,2011-09-30,
"Mosholu Montefiore Community Center, Inc., 90269A","Mosholu Montefiore Community Center, Inc., 90269A",Economic and Workforce Development,2010-06-30,2011-06-30,75.0
INTERACTIVE WHITE BOARDS,INTERACTIVE WHITE BOARDS,Education,,2010-06-30,
"St. Nicholas Neighborhood Preservation Corporation, 90821","St. Nicholas Neighborhood Preservation Corporation, 90821",Economic and Workforce Development,2010-06-30,2011-06-30,75.0
STUDENT SUPPORT SERVICES,STUDENT SUPPORT SERVICES,Education,,2011-09-30,
"SCO Family of Services, 9975","SCO Family of Services, 9975",Economic and Workforce Development,2010-06-30,2010-09-30,100.0
INSTRUCTIONAL LEARNING MATERIALS,INSTRUCTIONAL LEARNING MATERIALS,Education,,2011-09-30,
Expansion of Elevator Remote Monitoring System at Various Locations,Expansion of Elevator Remote Monitoring System at Various Locations,Infrastructure,2011-03-17,2012-03-17,60.0
TEXTBOOKS,TEXTBOOKS,Education,,2011-09-30,
NCLB,NCLB,Education,,2011-09-30,
Energy Efficient Refrigerator Replacement at various locations,Energy Efficient Refrigerator Replacement at various locations,Infrastructure,2011-03-17,2012-03-17,23040.0
Energy Efficient Refrigerators (1),Energy Efficient Refrigerators (1),Infrastructure,2011-03-17,2012-03-17,240.0
PD IN SPECIAL ED AREAS,PD IN SPECIAL ED AREAS,Education,,2011-09-30,
TRADE BOOKS,TRADE BOOKS,Education,,2011-09-30,
"SCO Family of Services, 90815","SCO Family of Services, 90815",Economic and Workforce Development,2010-06-30,2011-06-30,75.0
"PRINTING FORMS, CARDS","PRINTING FORMS, CARDS",Education,,2011-09-30,
