school_name,number_programs,total,average,count
Herbert H. Lehman High School.,3,2059.0,2059.0,1
Pelham Lab High School,1,95.0,95.0,1
Francis Lewis High School,5,4058.0,4058.0,1
Frederick Douglass Academy VII High School,1,328.0,328.0,1
High School for Violin and Dance,1,378.0,378.0,1
Brooklyn Preparatory High School,1,489.0,489.0,1
Bronx Leadership Academy II High School,1,515.0,515.0,1
"Science, Technology and Research Early College High School at Erasmus",1,532.0,532.0,1
Validus Preparatory Academy: An Expeditionary Learning School,1,374.0,374.0,1
Thurgood Marshall Academy for Learning and Social Change,1,572.0,572.0,1
Institute for Health Professions at Cambria Heights,1,82.0,82.0,1
Richard R. Green High School of Teaching,2,593.0,593.0,1
PROGRESS High School for Professional Careers,4,1083.0,1083.0,1
Brooklyn Lab School,1,364.0,364.0,1
Fiorello H. LaGuardia High School of Music & Art and Performing Arts,6,2730.0,2730.0,1
Bronx Envision Academy,1,239.0,239.0,1
Beacon High School,1,1276.0,1276.0,1
Martin Van Buren High School,5,2096.0,2096.0,1
Mott Haven Village Preparatory High School,1,344.0,344.0,1
