ellprograms,code_prog1,total,average,count
English as a New Language;Dual Language: Spanish,K238Z,99.0,99.0,1
English as a New Language;Dual Language: Spanish;Dual Language: Haitian Creole;Transitional Bilingual Education: Spanish;Transitional Bilingual Education: Haitian Creole,K189S,83.0,83.0,1
English as a New Language,X229U,76.0,76.0,1
English as a New Language,K184U,81.0,81.0,1
English as a New Language,M054M,98.0,98.0,1
English as a New Language,M334M,100.0,100.0,1
English as a New Language;Transitional Bilingual Education: Spanish,M018U,65.0,65.0,1
English as a New Language;Transitional Bilingual Education: Spanish,X368M,84.0,84.0,1
English as a New Language,K663L,66.0,66.0,1
English as a New Language;Dual Language: Spanish;Transitional Bilingual Education: Spanish,Q061Z,92.0,92.0,1
English as a New Language;Transitional Bilingual Education: Spanish,X095Z,94.0,94.0,1
English as a New Language,X101A,97.0,97.0,1
English as a New Language,K661L,93.0,93.0,1
English as a New Language,K581L,92.0,92.0,1
English as a New Language,M224M,93.0,93.0,1
English as a New Language,Q105Z,92.0,92.0,1
English as a New Language,K586L,82.0,82.0,1
English as a New Language,X593M,,,1
English as a New Language;Dual Language: Spanish,K113M,95.0,95.0,1
English as a New Language,X308M,95.0,95.0,1
English as a New Language,X529U,96.0,96.0,1
English as a New Language,K288U,81.0,81.0,1
English as a New Language,K678L,98.0,98.0,1
