bronx_cooperatives_comparable_properties_address,latitude,longitude,bronx_cooperatives_comparable_properties_address_1,latitude_1,longitude_1,total_est_gross_income
"{'latitude': '40.825929563903', 'longitude': '-73.891991861798', 'human_address': '{""address"": ""1111 SOUTHERN BOULEVARD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.826341,-73.891926,"{'latitude': '40.825929563903', 'longitude': '-73.891991861798', 'human_address': '{""address"": ""1111 SOUTHERN BOULEVARD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.826341,-73.891926,178623.0
"{'latitude': '40.888634689386', 'longitude': '-73.903146797717', 'human_address': '{""address"": ""3875 WALDO AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.888544,-73.90316,"{'latitude': '40.888634689386', 'longitude': '-73.903146797717', 'human_address': '{""address"": ""3875 WALDO AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.888544,-73.90316,1485000.0
"{'latitude': '40.812545732512', 'longitude': '-73.902603237709', 'human_address': '{""address"": ""590 SOUTHERN BOULEVARD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.812556,-73.902624,"{'latitude': '40.812545732512', 'longitude': '-73.902603237709', 'human_address': '{""address"": ""590 SOUTHERN BOULEVARD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.812556,-73.902624,280791.0
"{'latitude': '40.879602192154', 'longitude': '-73.836663182984', 'human_address': '{""address"": ""3410 DE REIMER AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.879631,-73.836703,"{'latitude': '40.879602192154', 'longitude': '-73.836663182984', 'human_address': '{""address"": ""3410 DE REIMER AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.879631,-73.836703,2739200.0
"{'latitude': '40.816607228367', 'longitude': '-73.89665312146', 'human_address': '{""address"": ""1019 LONGWOOD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.816566,-73.896621,"{'latitude': '40.816607228367', 'longitude': '-73.89665312146', 'human_address': '{""address"": ""1019 LONGWOOD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.816566,-73.896621,184647.0
"{'latitude': '40.848609151379', 'longitude': '-73.912813102948', 'human_address': '{""address"": ""1770 DAVIDSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.848772,-73.912724,"{'latitude': '40.848609151379', 'longitude': '-73.912813102948', 'human_address': '{""address"": ""1770 DAVIDSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.848772,-73.912724,652016.0
"{'latitude': '40.834743862967', 'longitude': '-73.920728376782', 'human_address': '{""address"": ""1175 GERARD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.834706,-73.920721,"{'latitude': '40.834743862967', 'longitude': '-73.920728376782', 'human_address': '{""address"": ""1175 GERARD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.834706,-73.920721,409530.0
"{'latitude': '40.877230807923', 'longitude': '-73.917899032971', 'human_address': '{""address"": ""2500 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.877162,-73.917861,"{'latitude': '40.877230807923', 'longitude': '-73.917899032971', 'human_address': '{""address"": ""2500 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.877162,-73.917861,6063200.0
"{'latitude': '40.881142378294', 'longitude': '-73.9081399706', 'human_address': '{""address"": ""3125 TIBBETT AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.881195,-73.908042,"{'latitude': '40.881142378294', 'longitude': '-73.9081399706', 'human_address': '{""address"": ""3125 TIBBETT AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.881195,-73.908042,2398500.0
"{'latitude': '40.833798555414', 'longitude': '-73.921043810762', 'human_address': '{""address"": ""85 MC CLELLAN STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.833765,-73.92099,"{'latitude': '40.833798555414', 'longitude': '-73.921043810762', 'human_address': '{""address"": ""85 MC CLELLAN STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.833765,-73.92099,411720.0
