boroughname,permitseriesshortdesc,t2_permitnumber,permitissuedate,applicationtrackingid,total,count,average
BROOKLYN,STREET OPENING PERMIT,B012025190A75,2025-07-09 08:26:58,2025070801045400,504.0,28,18.0
BROOKLYN,STREET OPENING PERMIT,B012025190A64,2025-07-09 08:26:30,2025070801045400,378.0,21,18.0
BROOKLYN,STREET OPENING PERMIT,B012025190A49,2025-07-09 08:26:09,2025070801045400,252.0,14,18.0
BROOKLYN,STREET OPENING PERMIT,B012025190A79,2025-07-09 08:27:44,2025070801045400,126.0,7,18.0
BROOKLYN,DOT IN-HOUSE PAVING AND MILLING,B152025192A08,2025-07-11 09:18:28,2025071100214323,,4,
BROOKLYN,COMMERCIAL REFUSE CONTAINER PERMIT,B162025193A15,2025-07-12 10:21:13,2025071200079816,,2,
BROOKLYN,COMMERCIAL REFUSE CONTAINER PERMIT,B162025195A89,2025-07-14 16:33:02,2025071400901880,,1,
BROOKLYN,DOT IN-HOUSE PAVING AND MILLING,B152025195A01,2025-07-14 10:46:41,2025071400388756,,1,
BROOKLYN,DOT IN-HOUSE PAVING AND MILLING,B152025197A02,2025-07-16 08:00:57,2025071600164463,,2,
BROOKLYN,COMMERCIAL REFUSE CONTAINER PERMIT,B162025191A05,2025-07-10 07:50:23,2025071000103193,,1,
BROOKLYN,COMMERCIAL REFUSE CONTAINER PERMIT,B162025192A52,2025-07-11 10:46:17,2025071100401750,,2,
BROOKLYN,DOT IN-HOUSE PAVING AND MILLING,B152025196A13,2025-07-15 14:48:10,2025071500976823,,5,
BROOKLYN,DOT IN-HOUSE PAVING AND MILLING,B152025197A47,2025-07-16 14:59:59,2025071600925616,,18,
BROOKLYN,COMMERCIAL REFUSE CONTAINER PERMIT,B162025192A43,2025-07-11 10:06:15,2025071100300713,,1,
BROOKLYN,DOT IN-HOUSE PAVING AND MILLING,B152025196A10,2025-07-15 14:48:09,2025071500976823,,10,
