latitude,total_congressional_district,total_senate_district
40.736295,7.0,59.0
40.713559,5.0,11.0
40.672931,9.0,20.0
40.713407,5.0,11.0
40.715165,10.0,27.0
40.865275,15.0,33.0
40.693255,8.0,25.0
40.59447,33.0,69.0
40.724709,10.0,27.0
40.695649,7.0,18.0
40.66659,5.0,14.0
40.727017,10.0,27.0
40.852108,15.0,33.0
40.856453,15.0,33.0
40.69164,7.0,15.0
40.720773,7.0,59.0
40.808541,14.0,29.0
40.648279,10.0,26.0
40.680114,8.0,25.0
40.637406,22.0,46.0
40.638725,9.0,21.0
40.863083,13.0,31.0
40.693131,5.0,15.0
40.667178,8.0,19.0
40.591141,11.0,24.0
40.714443,14.0,118.0
40.770271,6.0,16.0
40.878736,15.0,36.0
40.69108,7.0,18.0
40.677737,10.0,26.0
40.733935,10.0,27.0
40.763972,7.0,59.0
40.732531,10.0,27.0
40.851499,15.0,32.0
40.53073,22.0,48.0
40.856464,15.0,33.0
40.527919,11.0,24.0
40.784856,42.0,33.0
40.687331,8.0,25.0
40.625211,11.0,23.0
40.723492,7.0,59.0
40.718866,7.0,59.0
