address_1,building_count,property_floor_area_building,latitude,longitude,latitude_1,longitude_1,national_median_energy_cost
230 West 38th Street,1,157059,40.753942,-73.989829,40.753942,-73.989829,0
82 Wall Street,1,56271,40.705415,-74.007729,40.705415,-74.007729,0
401-409 East 110th street,1,222200,40.792132,-73.938046,40.792132,-73.938046,198669.65
909 Third Avenue,1,791632,40.758744,-73.968618,40.758744,-73.968618,2789156.31
2955 W 29th Street,1,149955,40.573627,-73.995033,40.573627,-73.995033,Not Available
2612 W 2 ST PLPM,1,194870,40.585708,-73.971212,40.585708,-73.971212,Not Available
174 Hudson Street,1,51750,40.722374,-74.00815,40.722374,-74.00815,0
316 W 84 Street,1,51450,40.787832,-73.97947,40.787832,-73.97947,Not Available
730 Third Avenue,1,627731,40.753104,-73.972757,40.753104,-73.972757,0
121 EAST 24TH STREET,1,63270,40.740448,-73.984894,40.740448,-73.984894,0
175 lawrence avenue,1,105000,40.6308,-73.973311,40.6308,-73.973311,0
165 Broadway,1,2346193,40.709589,-74.010186,40.709589,-74.010186,13419748.81
1461 SHORE PKWY PLPM,1,85757,40.598335,-74.005315,40.598335,-74.005315,Not Available
845 Third Avenue,1,342387,40.756688,-73.970128,40.756688,-73.970128,0
13620 Roosevelt Ave,1,166738,40.759785,-73.829236,40.759785,-73.829236,0
150 East 52nd Street,1,297836,40.757534,-73.970965,40.757534,-73.970965,0
148-25 88th Avenue,1,50070,40.705268,-73.807754,40.705268,-73.807754,Not Available
220 Riverside Boulevard,1,795215,40.77969,-73.987882,40.77969,-73.987882,Not Available
44 West 62nd Street,1,213796,40.770755,-73.98262,40.770755,-73.98262,Not Available
84-09 35th Avenue,1,80754,40.75201,-73.882634,40.75201,-73.882634,Not Available
55 E 59th Street,1,295780,40.763336,-73.970789,40.763336,-73.970789,121341.49
220 West 19 Street,1,110032,40.742093,-73.998528,40.742093,-73.998528,458260.92
200 East 84th Street,1,137469,40.777357,-73.954614,40.777357,-73.954614,Not Available
22-24 78th Street,9,90374,40.768051,-73.89144,40.768051,-73.89144,Not Available
209 East 23rd Street,1,79965,40.738642,-73.982679,40.738642,-73.982679,Not Available
50 ARLO RD ENT,1,22033,40.619938,-74.092171,40.619938,-74.092171,Not Available
250 West 57th Street,1,601586,40.766391,-73.982119,40.766391,-73.982119,0
785 Fifth Avenue,1,184489,40.764627,-73.972745,40.764627,-73.972745,Not Available
85-09 151st Ave,1,192368,40.668248,-73.849372,40.668248,-73.849372,Not Available
1840 Grand Concourse,1,58000,40.848054,-73.907271,40.848054,-73.907271,Not Available
595 West End Ave,1,55190,40.790637,-73.976591,40.790637,-73.976591,Not Available
282 Lafayette Ave,1,136000,40.688353,-73.964511,40.688353,-73.964511,0
11 Madison Avenue,1,2613986,40.741617,-73.987449,40.741617,-73.987449,Not Available
23 ARLO RD OM,1,39667,40.619815,-74.091487,40.619815,-74.091487,Not Available
71 WEST 23RD STREET,1,372545,40.742441,-73.991667,40.742441,-73.991667,0
555 Fifth Avenue,1,244534,40.755801,-73.97874,40.755801,-73.97874,Not Available
350 E 77 Street,1,66962,40.771508,-73.95482,40.771508,-73.95482,Not Available
225 Park Ave South,1,615000,40.737366,-73.988424,40.737366,-73.988424,0
70 Little West Street,1,457771,40.70706,-74.016519,40.70706,-74.016519,Not Available
1160 Third Avenue,1,152026,40.766971,-73.962639,40.766971,-73.962639,Not Available
315 Hudson St,1,427972,40.72631,-74.00749,40.72631,-74.00749,0
320 East 43rd Street,2,287400,40.750156,-73.970935,40.750156,-73.970935,0
24-01 44th Road,2,275252,40.748206,-73.943731,40.748206,-73.943731,0
3130 Grand Concourse,1,150135,40.875123,-73.886286,40.875123,-73.886286,Not Available
250 West 24th Street,1,74545,40.745378,-73.996651,40.745378,-73.996651,Not Available
1919 Williamsbridge Road,32,85550,40.852799,-73.853325,40.852799,-73.853325,Not Available
920 Riverside Drive,1,83952,40.838824,-73.945635,40.838824,-73.945635,Not Available
327 Central Park West,1,102972,40.789792,-73.966491,40.789792,-73.966491,Not Available
257 West 86th Street,1,68821,40.788559,-73.977065,40.788559,-73.977065,Not Available
130 Jane Street,1,50820,40.738137,-74.009093,40.738137,-74.009093,Not Available
