permit_type,residential,work_type,category,count,avg_value,total_value,max_value
EW,True,MH,low volume,5,2.2,11.0,4
EW,,SD,low volume,1,3.0,3.0,3
EW,,EQ,low volume,2,1.0,2.0,1
FO,True,,low volume,4,1.0,4.0,1
EW,True,SP,low volume,1,1.0,1.0,1
NB,True,EQ,low volume,2,1.0,2.0,1
NB,True,,low volume,2,1.0,2.0,1
PL,True,PL,low volume,6,1.3333333333333333,8.0,2
AL,True,OT,low volume,1,1.0,1.0,1
EQ,True,EQ,low volume,2,1.5,3.0,2
EW,,FP,low volume,3,1.0,3.0,1
EW,,SP,low volume,1,1.0,1.0,1
EQ,True,,low volume,4,1.0,4.0,1
SG,,,low volume,1,1.0,1.0,1
EW,,OT,low volume,18,1.5555555555555556,28.0,4
EW,True,FS,low volume,1,1.0,1.0,1
AL,,OT,low volume,2,1.0,2.0,1
EW,,MH,low volume,8,1.5,12.0,4
AL,True,,low volume,1,4.0,4.0,4
EW,True,FB,low volume,2,1.0,2.0,1
EW,True,PL,low volume,3,1.0,3.0,1
EQ,,OT,low volume,3,1.0,3.0,1
PL,,PL,low volume,2,1.0,2.0,1
EQ,,EQ,low volume,24,1.1666666666666667,28.0,2
EW,True,OT,low volume,21,1.9047619047619047,40.0,5
