manhattan_condominiums_comparable_properties_neighborhood,manhattan_condominiums_comparable_properties_estimated_gross_income,manhattan_condominiums_comparable_properties_full_market_value,manhattan_condominiums_comparable_properties_total_units,manhattan_condominiums_comparable_properties_year_built,manhattan_condominiums_comparable_properties_gross_income_per_sqft
CHELSEA,4614675,27000000,197,1980.0,39.41
CHELSEA,2219713,12247999,22,2004.0,44.7
CHELSEA,1990587,10844996,69,1939.0,38.49
GREENWICH VILLAGE-WEST,7046102,33435001,184,1920.0,33.2
GREENWICH VILLAGE-WEST,3600000,16715003,122,1964.0,38.87
GREENWICH VILLAGE-WEST,723648,3513999,40,1893.0,32.66
UPPER WEST SIDE (79-96),14778636,82594009,306,1985.0,40.03
UPPER WEST SIDE (79-96),2171425,7645006,37,1913.0,36.22
UPPER WEST SIDE (79-96),1118441,4202008,30,1902.0,33.99
MURRAY HILL,10468620,57068992,191,2007.0,46.99
MURRAY HILL,1522496,8809998,40,1922.0,37.78
MURRAY HILL,1124450,4556654,29,1920.0,44.35
FLATIRON,1947023,8327000,17,1907.0,41.94
FLATIRON,1013880,5420000,15,1908.0,34.22
CLINTON,10347329,62080991,83,2007.0,61.11
ALPHABET CITY,365541,1765999,12,2001.0,31.8
MIDTOWN EAST,51500000,275918004,366,2000.0,62.38
MIDTOWN EAST,10106523,51559018,118,2003.0,46.09
MIDTOWN EAST,7724504,37252000,174,1960.0,38.99
UPPER EAST SIDE (59-79),7277543,38138999,111,1958.0,41.14
UPPER EAST SIDE (59-79),3094786,14706034,36,1928.0,39.5
UPPER EAST SIDE (59-79),900179,4995001,15,1910.0,36.73
FINANCIAL,27436591,155560004,382,1914.0,42.28
FINANCIAL,848506,4449000,29,1920.0,29.72
FINANCIAL,461000,1875000,13,1900.0,21.88
GREENWICH VILLAGE-CENTRAL,3461200,17914001,26,2006.0,40.72
GREENWICH VILLAGE-CENTRAL,480643,2044001,10,1900.0,25.88
SOHO,1461689,7447000,15,2003.0,35.38
SOHO,930028,4560000,11,2003.0,36.76
SOHO,922681,4961001,12,1920.0,37.13
TRIBECA,14329121,77801025,311,2005.0,45.58
TRIBECA,5239413,28015990,154,1986.0,41.58
TRIBECA,541208,2798000,11,1915.0,29.55
LOWER EAST SIDE,1588341,17869000,6,1950.0,35.5
MIDTOWN WEST,6858355,36282001,152,2005.0,46.22
MIDTOWN WEST,5414392,25409869,183,1963.0,38.2
MIDTOWN WEST,1706876,9745001,65,1947.0,31.23
UPPER WEST SIDE (59-79),11136641,54230013,133,1998.0,46.59
UPPER WEST SIDE (59-79),5457510,27884001,132,1928.0,39.15
UPPER WEST SIDE (59-79),1803604,9932997,23,1988.0,38.07
EAST VILLAGE,2552670,13580000,66,1920.0,37.67
EAST VILLAGE,879758,4862000,32,1991.0,37.27
EAST VILLAGE,484183,2680000,14,1900.0,33.05
