fact_column,total_dimension1,average_dimension2
485,7500.0,246.5
15,400000.0,4384.1
5786,9923.0,267.1
1260,3500.0,205.3
1756,147756.0,100.0
789,180000.0,2018.1
5495,513000.0,5448.0
5122,10000.0,267.1
424,750000.0,355.0
3307,14440.0,0.0
6801,7000.0,236.2
780,34300.0,554.6
5374,7000.0,236.2
85,20000.0,325.0
2491,853000.0,8950.0
590,30000.0,473.1
731,20000.0,400.1
2619,11500.0,0.0
1603,5850.0,225.9
15627,10000.0,267.1
1004,26953.0,442.2
803,1700000.0,325.0
3803,239000.0,100.0
1061,400000.0,2254.1
577,96000.0,1152.9
1259,10000.0,225.0
1158,37600.0,585.5
3040,220000.0,325.0
2010,85000.0,1039.6
1273,7535.8,246.5
1945,22000.0,420.7
1899,9000.0,256.8
1020,16500.0,339.2
1147,11860.0,317.7
8,22750.0,401.0
1291,13348.0,236.2
2424,11625.0,0.0
3769,72000.0,905.7
1105,225000.0,2511.6
732,30000.0,473.1
2092,142140.0,1637.0
1009,1073750.0,11226.3
266,2100000.0,100.0
429,247320.0,2748.5
1007,165400.0,1049.0
895,88000.0,1070.5
233,3250.0,205.3
1948,20000.0,225.0
570,14000.0,308.3
6701,10000.0,267.1
