globalid,location,globalid_1,buildingnumber,location_1,width,total_citycouncil
4CE94CAF-701C-4694-9BF3-09B015D08926,"{'type': 'Point', 'coordinates': [-74.11562751874507, 40.562545622841796]}",4CE94CAF-701C-4694-9BF3-09B015D08926,28,"{'type': 'Point', 'coordinates': [-74.11562751874507, 40.562545622841796]}",,150.0
8CCC1B16-3E05-4B8A-A5A2-711ECF8F6244,"{'type': 'Point', 'coordinates': [-73.88984767680486, 40.72287223776529]}",8CCC1B16-3E05-4B8A-A5A2-711ECF8F6244,59-066,"{'type': 'Point', 'coordinates': [-73.88984767680486, 40.72287223776529]}",,30.0
6F3E841D-0194-45B0-BB0F-33AE707C7BFE,"{'type': 'Point', 'coordinates': [-73.9043721242937, 40.74435840812778]}",6F3E841D-0194-45B0-BB0F-33AE707C7BFE,40-23,"{'type': 'Point', 'coordinates': [-73.9043721242937, 40.74435840812778]}",,26.0
09AC76E0-89DD-4551-8FC7-D31CEB4E46D7,"{'type': 'Point', 'coordinates': [-74.13081967432801, 40.60130273115864]}",09AC76E0-89DD-4551-8FC7-D31CEB4E46D7,294,"{'type': 'Point', 'coordinates': [-74.13081967432801, 40.60130273115864]}",,294.0
1B3A6FD3-503D-42CA-B36F-A378E304C7B9,"{'type': 'Point', 'coordinates': [-73.9476624254221, 40.788713247814194]}",1B3A6FD3-503D-42CA-B36F-A378E304C7B9,177,"{'type': 'Point', 'coordinates': [-73.9476624254221, 40.788713247814194]}",,8.0
4A17F607-63B1-4138-9BDD-475BBEF737DC,"{'type': 'Point', 'coordinates': [-74.11525904675699, 40.56151704421786]}",4A17F607-63B1-4138-9BDD-475BBEF737DC,462,"{'type': 'Point', 'coordinates': [-74.11525904675699, 40.56151704421786]}",,50.0
87B0B8DB-D1B2-42C5-ADE7-43E85808F7BE,"{'type': 'Point', 'coordinates': [-74.11364396072682, 40.56041697683005]}",87B0B8DB-D1B2-42C5-ADE7-43E85808F7BE,371,"{'type': 'Point', 'coordinates': [-74.11364396072682, 40.56041697683005]}",,50.0
F8975519-237C-4093-AA9A-9D9169B88324,"{'type': 'Point', 'coordinates': [-74.09276597429051, 40.62421737574464]}",F8975519-237C-4093-AA9A-9D9169B88324,33,"{'type': 'Point', 'coordinates': [-74.09276597429051, 40.62421737574464]}",,49.0
D5E12977-EF23-4064-ADF5-92A096E04F89,"{'type': 'Point', 'coordinates': [-74.11424909633843, 40.560785091336726]}",D5E12977-EF23-4064-ADF5-92A096E04F89,351,"{'type': 'Point', 'coordinates': [-74.11424909633843, 40.560785091336726]}",,50.0
5A0E8348-B117-493C-ABFB-C014C9CAD2EE,"{'type': 'Point', 'coordinates': [-74.07803985721192, 40.624274096545264]}",5A0E8348-B117-493C-ABFB-C014C9CAD2EE,65,"{'type': 'Point', 'coordinates': [-74.07803985721192, 40.624274096545264]}",,49.0
6D904278-B4B3-4197-A77F-0707135A8D2E,"{'type': 'Point', 'coordinates': [-74.13387034324204, 40.598860458231755]}",6D904278-B4B3-4197-A77F-0707135A8D2E,84,"{'type': 'Point', 'coordinates': [-74.13387034324204, 40.598860458231755]}",,50.0
FB52B131-EBBC-4296-BCDB-EEDEB8FD16BB,"{'type': 'Point', 'coordinates': [-74.08910665456217, 40.58224373973968]}",FB52B131-EBBC-4296-BCDB-EEDEB8FD16BB,414,"{'type': 'Point', 'coordinates': [-74.08910665456217, 40.58224373973968]}",,50.0
82AE28DC-4F22-4A7E-9EF8-8E62350C6AEF,"{'type': 'Point', 'coordinates': [-74.09222328356509, 40.62296826624403]}",82AE28DC-4F22-4A7E-9EF8-8E62350C6AEF,136,"{'type': 'Point', 'coordinates': [-74.09222328356509, 40.62296826624403]}",,98.0
A07EF9B9-2052-468A-8A6B-8BF6A6972923,"{'type': 'Point', 'coordinates': [-74.11103422602064, 40.55995928315075]}",A07EF9B9-2052-468A-8A6B-8BF6A6972923,53,"{'type': 'Point', 'coordinates': [-74.11103422602064, 40.55995928315075]}",,50.0
AD93CA1E-D205-4EC1-90B5-1A27F541D182,"{'type': 'Point', 'coordinates': [-73.96345779169222, 40.679194237035084]}",AD93CA1E-D205-4EC1-90B5-1A27F541D182,796,"{'type': 'Point', 'coordinates': [-73.96345779169222, 40.679194237035084]}",8.0,35.0
6231FD47-FA38-4ED1-AEDF-C5B73E950D5D,"{'type': 'Point', 'coordinates': [-74.11172833712516, 40.56124176331927]}",6231FD47-FA38-4ED1-AEDF-C5B73E950D5D,713,"{'type': 'Point', 'coordinates': [-74.11172833712516, 40.56124176331927]}",,50.0
2A03FB34-5BA6-40C5-9517-C9ECA1C4D142,"{'type': 'Point', 'coordinates': [-74.09007158123723, 40.582865452122995]}",2A03FB34-5BA6-40C5-9517-C9ECA1C4D142,371,"{'type': 'Point', 'coordinates': [-74.09007158123723, 40.582865452122995]}",,300.0
DA66345A-AF54-4D0A-ACCB-159B1A738909,"{'type': 'Point', 'coordinates': [-74.11121105102922, 40.55921612180123]}",DA66345A-AF54-4D0A-ACCB-159B1A738909,57,"{'type': 'Point', 'coordinates': [-74.11121105102922, 40.55921612180123]}",,50.0
BA812BBF-3439-4D74-BFD3-9B6F8850C4BA,"{'type': 'Point', 'coordinates': [-74.13065932987487, 40.63635625072266]}",BA812BBF-3439-4D74-BFD3-9B6F8850C4BA,28,"{'type': 'Point', 'coordinates': [-74.13065932987487, 40.63635625072266]}",,49.0
C3D6C60F-79B4-460F-9A12-6FEDC025A7B9,"{'type': 'Point', 'coordinates': [-74.11621350055815, 40.563660955901476]}",C3D6C60F-79B4-460F-9A12-6FEDC025A7B9,2840,"{'type': 'Point', 'coordinates': [-74.11621350055815, 40.563660955901476]}",,300.0
7E892AA9-1B50-454A-83E2-6734FCDBDC2C,"{'type': 'Point', 'coordinates': [-74.112579299232, 40.55986273088687]}",7E892AA9-1B50-454A-83E2-6734FCDBDC2C,20,"{'type': 'Point', 'coordinates': [-74.112579299232, 40.55986273088687]}",,50.0
A80837D9-68BC-4FA4-8F65-BD8168F228CA,"{'type': 'Point', 'coordinates': [-74.11647195913373, 40.56343176959949]}",A80837D9-68BC-4FA4-8F65-BD8168F228CA,2844,"{'type': 'Point', 'coordinates': [-74.11647195913373, 40.56343176959949]}",,300.0
