address_1,t3_address_1,senior_care_facility_total,current_total_ghg_emissions,senior_care_facility_workers,current_site_pdu_input_energy,office_pc_density,metering_configuration
24 Fifth Avenue,24 Fifth Avenue,,2500.63,,,2.2,No Selection Made
583-587 Broadway,583-587 Broadway,,917.54,,,,No Selection Made
635 EST 12TH ST.- CAMPUS PLAZA BLD #1,635 EST 12TH ST.- CAMPUS PLAZA BLD #1,,251.42,,,,No Selection Made
635 EST 12TH ST.- CAMPUS PLAZA BLD #1,635 EST 12TH ST.- CAMPUS PLAZA BLD #1,,251.42,,,,No Selection Made
635 EST 12TH ST.- CAMPUS PLAZA BLD #1,635 EST 12TH ST.- CAMPUS PLAZA BLD #1,,251.42,,,,No Selection Made
635 EST 12TH ST.- CAMPUS PLAZA BLD #1,635 EST 12TH ST.- CAMPUS PLAZA BLD #1,,251.42,,,,No Selection Made
16 Washington Mews,16 Washington Mews,,4.9,,,,No Selection Made
20 West St,20 West St,,1499.63,,,,No Selection Made
41 East 11th St,41 East 11th St,,1293.87,,70740.0,4.66,No Selection Made
37 West 12th Street,37 West 12th Street,,1297.37,,,,No Selection Made
780 Greenwich Street,780 Greenwich Street,,380.65,,,,Whole Facility Energy Consumption
101 Ludlow St,101 Ludlow St,,666.06,,,,No Selection Made
62 ESSEX ST - SEWARD PRK ENT BLDG 1,62 ESSEX ST - SEWARD PRK ENT BLDG 1,,3008.04,,,,No Selection Made
62 ESSEX ST - SEWARD PRK ENT BLDG 1,62 ESSEX ST - SEWARD PRK ENT BLDG 1,,3008.04,,,,No Selection Made
70 East 10th Street,70 East 10th Street,,2996.14,,,2.2,No Selection Made
200 East 5th Street,200 East 5th Street,,537.3,,,,Whole Facility Energy Consumption
409 Layfayette St.,409 Layfayette St.,,427.26,,,1.1,Whole Facility Energy Consumption
134-140 Grand Street,134-140 Grand Street,,468.2,,,,No Selection Made
530-542 W 27th St.,530-542 W 27th St.,,78.79,,,,No Selection Made
530-542 W 27th St.,530-542 W 27th St.,,78.79,,,,No Selection Made
530-542 W 27th St.,530-542 W 27th St.,,78.79,,,,No Selection Made
55 Broad Street,55 Broad Street,,4064.18,,,4.06,Whole Facility Energy Consumption
740 Broadway,740 Broadway,,2537.1,,,1.43,No Selection Made
8 Washington Mews,8 Washington Mews,,0.01,,,,No Selection Made
101 Murray St,101 Murray St,,1316.19,,,,Whole Facility Energy Consumption
555 West 23rd Street,555 West 23rd Street,,1918.8,,,0.81,No Selection Made
450 West 17th Street,450 West 17th Street,,4594.12,,,2.2,No Selection Made
21 South End Avenue,21 South End Avenue,,1398.59,,,,No Selection Made
21 South End Avenue,21 South End Avenue,,1398.59,,,2.2,No Selection Made
21 South End Avenue,21 South End Avenue,,1398.59,,,2.2,No Selection Made
584 Broadway,584 Broadway,,1347.85,,,3.54,No Selection Made
670 Broadway,670 Broadway,,484.06,,,3.65,Whole Facility Energy Consumption
100 Church Street,100 Church Street,,6495.73,,,2.07,Whole Facility Energy Consumption
303 Mercer Street,303 Mercer Street,,587.04,,,,No Selection Made
400 W. 37th St.,400 W. 37th St.,,1115.91,,,2.2,No Selection Made
80 Pine Street,80 Pine Street,,13674.36,,,2.8,Whole Facility Energy Consumption
11 Waverly Place,11 Waverly Place,,618.96,,,4.42,Whole Facility Energy Consumption
189 ALLEN STREET - HERNANDEZ HOUSES,189 ALLEN STREET - HERNANDEZ HOUSES,,1778.26,,,,No Selection Made
110 Greenwich Street,110 Greenwich Street,,261.5,,,,No Selection Made
160 East 3rd Street,160 East 3rd Street,,432.16,,,,Default energy data
175 Water Street,175 Water Street,,4485.8,,,3.31,No Selection Made
180 Varick Street,180 Varick Street,,1810.39,,,2.29,No Selection Made
53 Park Place,53 Park Place,,695.47,,,,Whole Facility Energy Consumption
535 West 23rd Street,535 West 23rd Street,,1955.08,,,,No Selection Made
718 Broadway,718 Broadway,,562.21,,,1.18,Whole Facility Energy Consumption
180 West Houston Street,180 West Houston Street,,718.03,,,,No Selection Made
345 Hudson street,345 Hudson street,,7230.74,,,2.87,No Selection Made
40 Broad St,40 Broad St,,2332.12,,,,No Selection Made
60 Washington Square South,60 Washington Square South,,619.31,,,,No Selection Made
684 Broadway,684 Broadway,,589.24,,,,No Selection Made
511-541 W 25th Street,511-541 W 25th Street,,453.2,,,2.2,No Selection Made
511-541 W 25th Street,511-541 W 25th Street,,453.2,,,2.2,No Selection Made
59 West 12 Street,59 West 12 Street,,750.09,,,2.17,No Selection Made
