previouspermitnumber,sidewalkshortdesc,applicationtrackingid,permittotalsqfeet,boroughname,permittypedesc,rank,dense_rank
B012025177B86,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B60,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B84,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B79,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B86,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B60,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B90,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B84,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B86,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B60,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B84,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B86,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B84,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B60,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B84,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B86,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B60,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B60,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B84,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B86,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B60,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B84,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B86,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B60,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B84,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B79,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B86,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B72,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B60,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B84,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B90,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B86,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B72,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B60,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B84,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B90,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B74,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B79,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B86,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B72,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B60,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B84,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B90,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B74,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B79,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B72,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B86,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B72,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B74,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B86,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B60,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B84,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B90,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B74,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B79,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B86,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B72,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B79,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B60,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B74,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B84,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B90,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B74,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B90,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B79,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B86,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B60,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B84,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B72,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
B012025177B74,,2025070801045400,5000.0,BROOKLYN,CONTRACT ROADWAY MILLING,1,1
,,2025071200031913,,QUEENS,COMMERCIAL REFUSE CONTAINER,1,1
