location_name,total_workstations,location_name_1,full_location_address,full_location_address_1
Rugby Library,20.0,Rugby Library,"1000 Utica Ave. , 11203, Brooklyn, New York, USA","1000 Utica Ave. , 11203, Brooklyn, New York, USA"
Club Holliswood Older Adult Center,0.0,Club Holliswood Older Adult Center,"86-25 Francis Lewis Boulevard, 11427, Queens, New York, USA","86-25 Francis Lewis Boulevard, 11427, Queens, New York, USA"
Melrose Mott Haven Neighborhood Senior Center,6.0,Melrose Mott Haven Neighborhood Senior Center,"372 East 152nd Street, 10455, Bronx, New York, USA","372 East 152nd Street, 10455, Bronx, New York, USA"
Independence Plaza Older Adult Center,0.0,Independence Plaza Older Adult Center,"311 Greenwich Street 2nd Floor, 10013, Manhattan, New York, USA","311 Greenwich Street 2nd Floor, 10013, Manhattan, New York, USA"
Stanley M. Isaacs Neighborhood Community Center,,Stanley M. Isaacs Neighborhood Community Center,"415 E 93rd St, 10128, Manhattan, New York, USA","415 E 93rd St, 10128, Manhattan, New York, USA"
Carver Neighborhood Older Adults Center,16.0,Carver Neighborhood Older Adults Center,"55 East 102nd Street , 10029, Manhattan, New York, USA","55 East 102nd Street , 10029, Manhattan, New York, USA"
Harry Belafonte 115th Street Library,23.0,Harry Belafonte 115th Street Library,"203 West 115th Street, 10026, Manhattan, New York, USA","203 West 115th Street, 10026, Manhattan, New York, USA"
Sue Ginsburg Older Adult Center,4.0,Sue Ginsburg Older Adult Center,"975 Waring Avenue, 10469, Bronx, New York, USA","975 Waring Avenue, 10469, Bronx, New York, USA"
Broad Channel Library,5.0,Broad Channel Library,"16-26 Cross Bay Boulevard, 11693, Queens, New York, USA","16-26 Cross Bay Boulevard, 11693, Queens, New York, USA"
Greenbelt Media Lab,9.0,Greenbelt Media Lab,"501 Brielle Avenue, 10314, Staten Island, New York, USA","501 Brielle Avenue, 10314, Staten Island, New York, USA"
South Jamaica Cornerstone Community Center,6.0,South Jamaica Cornerstone Community Center,"109-04 160th Street, 11433, Queens, New York, USA","109-04 160th Street, 11433, Queens, New York, USA"
Saint Nicholas Social Club,7.0,Saint Nicholas Social Club,"211 West 131st Street, 10027, Manhattan, New York, USA","211 West 131st Street, 10027, Manhattan, New York, USA"
North Forest Park Library,8.0,North Forest Park Library,"98-27 Metropolitan Avenue, 11375, Queens, New York, USA","98-27 Metropolitan Avenue, 11375, Queens, New York, USA"
St Charles Neighborhood Senior Center,6.0,St Charles Neighborhood Senior Center,"55 Pierrepont Street, 11201, Brooklyn, New York, USA","55 Pierrepont Street, 11201, Brooklyn, New York, USA"
High Bridge Library,31.0,High Bridge Library,"78 West 168th Street, 10452, Bronx, New York, USA","78 West 168th Street, 10452, Bronx, New York, USA"
Jacob A. Riis Neighborhood Settlement Community Center,,Jacob A. Riis Neighborhood Settlement Community Center,"10-25 41st Avenue, 11101, Queens, New York, USA","10-25 41st Avenue, 11101, Queens, New York, USA"
Scheuer House of Coney Island Older Adult Center,2.0,Scheuer House of Coney Island Older Adult Center,"3601 Surf Avenue , 11224, Brooklyn, New York, USA","3601 Surf Avenue , 11224, Brooklyn, New York, USA"
SAGE Center Harlem,3.0,SAGE Center Harlem,"221 West 143rd Street, 10030, Manhattan, New York, USA","221 West 143rd Street, 10030, Manhattan, New York, USA"
Lenox Hill Neighborhood House,12.0,Lenox Hill Neighborhood House,"332 E 70th Street, 10021, Manhattan, New York, USA","332 E 70th Street, 10021, Manhattan, New York, USA"
Coney Island Library,12.0,Coney Island Library,"1901 Mermaid Ave. (Near W. 19th St.), 11224, Brooklyn, New York, USA","1901 Mermaid Ave. (Near W. 19th St.), 11224, Brooklyn, New York, USA"
Cypress Hills Adult Social Club,0.0,Cypress Hills Adult Social Club,"476 Fountain Avenue, 11208, Brooklyn, New York, USA","476 Fountain Avenue, 11208, Brooklyn, New York, USA"
McCarren Media Lab,13.0,McCarren Media Lab,"776 Lorimer Street, 11222, Brooklyn, New York, USA","776 Lorimer Street, 11222, Brooklyn, New York, USA"
