first_priority01,third_priority03,se_services,total,count,average
Open to New York City residents,For K28N only: Fifty percent (50%) of the incoming 9th graders for this program will be English Proficient students and fifty percent (50%) Chinese (Mandarin) speaking English Language Learners,This school will provide students with disabilities the supports and services indicated on their IEPs.,8.0,1,8.0
Priority to Brooklyn students or residents,For K56B only: Open only to students whose home language is Chinese,This school will provide students with disabilities the supports and services indicated on their IEPs.,8.0,1,8.0
Priority to Bronx students or residents,For X25B and X25E only: a. Priority to Bronx students or residents who attend an information session b. Then to New York City residents who attend an information session c. Then to Bronx students or residents d. Then to New York City residents,This school will provide students with disabilities the supports and services indicated on their IEPs.,7.0,1,7.0
Open to New York City residents,,This school will provide students with disabilities the supports and services indicated on their IEPs.,6.0,1,6.0
Priority to continuing 8th graders,For K11X only: a. Priority to District 14 students or residents who attend an information session; b. Then to Brooklyn students or residents who attend an information session; c. Then to New York City residents who attend an information session; d. Then to District 14 students or residents; e. Then to Brooklyn students or residents; f. Then to New York City residents,This school will provide students with disabilities the supports and services indicated on their IEPs.,4.0,1,4.0
Priority to Bronx students or residents who attend an information session,Then to Bronx students or residents,This school will provide students with disabilities the supports and services indicated on their IEPs.,2.0,2,1.0
Priority to Queens students or residents who attend an information session,Then to Queens students or residents,This school will provide students with disabilities the supports and services indicated on their IEPs.,2.0,2,1.0
Priority to continuing 8th graders,Then to New York City residents,This school will provide students with disabilities the supports and services indicated on their IEPs.,1.0,1,1.0
Priority to Districts 24 and 30 students or residents,Then to New York City residents,This school will provide students with disabilities the supports and services indicated on their IEPs.,1.0,1,1.0
Priority to continuing 8th graders,Then to New York City residents who attend an information session,This school will provide students with disabilities the supports and services indicated on their IEPs.,1.0,1,1.0
Priority to Staten island students or residents who attend an information session,Then to Staten Island students or residents,This school will provide students with disabilities the supports and services indicated on their IEPs.,1.0,1,1.0
Priority to Bronx students or residents who attend an information session,Then to Bronx students or residents,This school will provide students with disabilities the supports and services indicated on their IEPs,1.0,1,1.0
Open only to female students,Then to Queens students or residents,This school will provide students with disabilities the supports and services indicated on their IEPs.,1.0,1,1.0
Priority to New York City residents who attend an information session,,This school will provide students with disabilities the supports and services indicated on their IEPs.,1.0,1,1.0
Priority to Brooklyn students or residents who attend an information session,Then to Brooklyn students or residents,This school will provide students with disabilities the supports and services indicated on their IEPs.,1.0,1,1.0
Priority to Manhattan students or residents,,This school will provide students with disabilities the supports and services indicated on their IEPs.,1.0,1,1.0
Open only to New York City residents living in the United States four years or fewer who are English Language Learners per New York City Department of Education guidelines scoring at the Beginner or Intermediate level on the NYSESLAT or LAB-R.,,This school will provide students with disabilities the supports and services indicated on their IEPs.,1.0,1,1.0
Priority to District 6 students or residents,Then to New York City residents,This school will provide students with disabilities the supports and services indicated on their IEPs.,1.0,1,1.0
"Priority to Mott Hall, Mott Hall II and Mott Hall III Middle School students who attend an information session","Then to Mott Hall, Mott Hall II and Mott Hall III Middle School students",This school will provide students with disabilities the supports and services indicated on their IEPs.,1.0,1,1.0
