type,coundist,name,location,ntacode,remarks
Free,7.0,mn-07-120510,219 WEST 100 STREET,MN12,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Free,6.0,mn-07-133638,2601 BROADWAY,MN12,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Free,6.0,mn-07-121315,2135 BROADWAY,MN12,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Free,1.0,New Amsterdam,9 MURRAY STREET,MN24,
Free,1.0,mn-01-137165,101 LAFAYETTE STREET,MN24,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Free,26.0,qu-01-125042,36-35 33 STREET,QN68,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Limited Free,39.0,Prospect Park,Skate Rental Area,BK99,3 free 10 min sessions
Free,40.0,bk-17-126297,3301 CHURCH AVE,BK95,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Limited Free,16.0,Claremont Park,FRNT OF BASKET BALL COURT N/O E 170TH ST,BX99,3 free 10 min sessions
Limited Free,50.0,Midland Beach and Franklin D. Roosevelt Boardwalk,Along Boardwalk and Beach,SI36,3 free 10 min sessions
Limited Free,50.0,Midland Beach and Franklin D. Roosevelt Boardwalk,Along Boardwalk and Beach,SI36,3 free 10 min sessions
Limited Free,50.0,Midland Beach and Franklin D. Roosevelt Boardwalk,Along Boardwalk and Beach,SI36,3 free 10 min sessions
Free,3.0,mn-04-122595,825 8 AVENUE,MN15,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Free,3.0,mn-04-133373,301 WEST 57 STREET,MN15,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Free,4.0,mn-05-137157,159 WEST 52 STREET,MN17,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Free,4.0,Grand Central Shuttle  - S,Times Square - 42nd Street,MN17,SN 468
Free,4.0,mn-05-134736,777 7 AVENUE,MN17,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Free,27.0,PARSONS - ARCHER (JAMAICA CENTER),IND-E-J-Z-JAMAICA CENTER - PARSONS / ARCHER,QN61,SN 278
Free,38.0,bk-07-125836,948 3 AVENUE,BK32,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Free,17.0,bx-01-118947,487 EAST 156 STREET,BX34,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Free,2.0,mn-06-121489,172 EAST 24 STREET,MN21,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Free,1.0,12,"90 Water Street, New York, NY 10005, USA",MN25,
Free,39.0,bk-06-117250,304 5 AVENUE,BK37,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Free,39.0,Park Slope - Brooklyn Public Library,431 6 AVENUE,BK37,
Free,8.0,bx-01-146053,211 ST ANN'S AVENUE,BX39,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Free,3.0,,18th between 8th and 9th,MN13,
Free,3.0,Andrew Heiskell Braille & Talking Book Library,40 WEST 20 STREET,MN13,
Free,4.0,mn-06-133439,675 3 AVENUE,MN19,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Free,33.0,,1 Dekalb Ave.,BK38,
Limited Free,6.0,Dante Park,Park Area at W63rd & Columbus,MN14,3 free 10 min sessions
Free,10.0,181 St (1),181 St (1),MN35,SN 301
Free,4.0,mn-08-134742,1330 3 AVENUE,MN40,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Free,4.0,mn-08-138320,1132 3 AVENUE,MN40,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Free,4.0,mn-08-121142,22 EAST 69 STREET,MN40,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Free,34.0,bk-01-146012,230 BERRY STREET,BK73,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Free,34.0,bk-01-146050,2 POWERS STREET,BK73,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Free,9.0,Marcus Garvey Park,Amphitheater,MN34,
Free,8.0,mn-11-120250,145 EAST 116 STREET,MN34,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Free,8.0,"116 St (6) (4, 6)",116 St (6),MN34,SN 393
Free,42.0,Cypress Hills - Brooklyn Public Library,1197 SUTTER AVENUE,BK82,
Free,9.0,mn-10-142813,2306 FREDERICK DOUGLASS BOULEVARD,MN11,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Free,9.0,,pole 18: 111NS2ELe,MN11,
Free,7.0,mn-09-137848,2943 BROADWAY,MN09,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Free,7.0,mn-09-134415,2848 BROADWAY,MN09,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Free,7.0,mn-09-120261,2939 BROADWAY,MN09,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Limited Free,28.0,"Phil ""Scooter"" Rizzuto Park",North West side of Park,QN54,3 free 10 min sessions
Free,34.0,bk-01-125630,61 AVENUE OF PUERTO RICO,BK90,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Free,9.0,,Pole 49: 126NS2E8av,MN03,
Free,2.0,mn-05-121570,101 EAST 29 STREET,MN20,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Free,2.0,mn-06-121499,359 3 AVENUE,MN20,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
Limited Free,32.0,Rockaway Beach and Boardwalk,Beach 108 - Comfort Station and Beach,QN10,3 free 10 min sessions
