base_does_business_as,fatal_crashes,top_vehicle_models_3,industry_sector,book_ahead_service,sector_average_base_safety_violations_per_vehicle,fatal_crash_details
GOTHAM CAR SERVICE,0.0,Toyota Sienna,livery,Not Reported,0.03,
LAKEVIEW CARS,0.0,Lincoln Town Car,livery,Not Reported,0.03,
V S EXPRESS LIMO AND CAR SERVICE ,0.0,,livery,Not Reported,0.03,
EUROPE LIMO SERVICE ,0.0,Chevrolet Tahoe,luxury limo,Not Reported,0.01,
FLATIRON TRANSIT ,0.0,GMC Yukon XL,black car,Not Reported,0.02,
R & R ROAD LIMO SERVICE ,0.0,Chevrolet Suburban,luxury limo,Yes,0.01,
BLS LIMO SERVICE OF NY ,0.0,Chevrolet Suburban,luxury limo,Yes,0.01,
NEW NEIGHBOR LUXURY,0.0,Cadillac Escalade,luxury limo,Not Reported,0.01,
CAR 24 TRANSPORTATION,0.0,Chrysler 300,black car,Not Reported,0.02,
COMMUNITY CAR SERVICE,0.0,Toyota Camry,livery,Not Reported,0.03,
GROUP AMERICAR TRANSPORTATION,0.0,Chrysler 300,livery,Not Reported,0.03,
GROUP AMERICAR TRANSPORTATION,0.0,Chrysler 300,black car,Yes,0.02,
BROAD DYCKMAN CAR SERVICE ,0.0,Lincoln Town Car,livery,Not Reported,0.03,
CAREY LIMO NY ,0.0,Lincoln Navigator,luxury limo,Not Reported,0.01,
LINDA & M TRANSPORTATION,0.0,,livery,Not Reported,0.03,
PASHA ENTERPRISES ,0.0,Mercedes-Benz Sprinter,luxury limo,Not Reported,0.01,
B Q N CAR SERVICE ,0.0,Lincoln Town Car,livery,Not Reported,0.03,
BAY EXPRESS ,0.0,Dodge Caravan,livery,Not Reported,0.03,
SKYLINE CREDIT RIDE,0.0,Chevrolet Tahoe,black car,Not Reported,0.02,
ZPI CORPORATION,0.0,Ford Crown Victoria,livery,Not Reported,0.03,
LAPUMA GO GREEN,0.0,,livery,Not Reported,0.03,
LAPUMA GO GREEN,0.0,,livery,Not Reported,0.03,
MIRAE CALLS ,0.0,Kia Santa Fe,black car,Not Reported,0.02,
PARTNERS DYNAMIC SECURITY TRANSPORTATION,0.0,Chevrolet Tahoe,luxury limo,Not Reported,0.01,
THE ORIGINAL DIAL CAR & LIMO,0.0,Chrysler 300,black car,Not Reported,0.02,
THE ORIGINAL DIAL CAR & LIMO,0.0,Chrysler 300,luxury limo,Not Reported,0.01,
MONACO LIMO & CAR SERVICES ,0.0,Dodge Caravan,livery,Not Reported,0.03,
SEAGULL CORPORATE TRANSPORTATION ,0.0,Toyota Avalon,livery,Not Reported,0.03,
SEAGULL CORPORATE TRANSPORTATION ,0.0,Toyota Avalon,livery,Not Reported,0.03,
SEAGULL CORPORATE TRANSPORTATION ,0.0,Toyota Avalon,livery,Not Reported,0.03,
MEXICANA CAR SERVICE ,0.0,Chrysler 300,livery,Yes,0.03,
BER LIMO,0.0,Lincoln Navigator,luxury limo,Not Reported,0.01,
DIANE CAR SERVICE,0.0,,livery,Not Reported,0.03,
MATTHEW'S LIMO ,0.0,Chrysler 300,black car,Not Reported,0.02,
MAZIN CAR & LIMO SERVICE,0.0,Chevrolet Impala,livery,Not Reported,0.03,
MOBILE #1 CAR SERVICE ,0.0,Chevrolet Trailblazer,livery,Not Reported,0.03,
UBER,0.0,Hyundai Sonata,black car,No,0.02,
UBER,0.0,Toyota Avalon,black car,No,0.02,
UBER,0.0,Hyundai Sonata,black car,No,0.02,
HARLEM CARS ,0.0,Chrysler 300,livery,Not Reported,0.03,
PARTICULAR PEOPLE CAR SERVICE ,0.0,Toyota Camry,livery,Not Reported,0.03,
SEAT & GO CAR & LIMOUSINE SERVICE ,0.0,Dodge Caravan,black car,Not Reported,0.02,
TAP & RIDE,0.0,Ford Fusion,black car,Not Reported,0.02,
