latitude,latitude_1,longitude,longitude_1,property_floor_area_building,national_median_energy_cost,total_estimated_savings
40.759785,40.759785,-73.829236,-73.829236,166738,0,0.0
40.763336,40.763336,-73.970789,-73.970789,295780,121341.49,0.0
40.753104,40.753104,-73.972757,-73.972757,627731,0,0.0
40.738137,40.738137,-74.009093,-74.009093,50820,Not Available,0.0
40.750156,40.750156,-73.970935,-73.970935,287400,0,0.0
40.852799,40.852799,-73.853325,-73.853325,85550,Not Available,0.0
40.740448,40.740448,-73.984894,-73.984894,63270,0,0.0
40.668248,40.668248,-73.849372,-73.849372,192368,Not Available,0.0
40.787832,40.787832,-73.97947,-73.97947,51450,Not Available,0.0
40.757534,40.757534,-73.970965,-73.970965,297836,0,0.0
40.619815,40.619815,-74.091487,-74.091487,39667,Not Available,0.0
40.742441,40.742441,-73.991667,-73.991667,372545,0,0.0
40.598335,40.598335,-74.005315,-74.005315,85757,Not Available,0.0
40.75201,40.75201,-73.882634,-73.882634,80754,Not Available,0.0
40.585708,40.585708,-73.971212,-73.971212,194870,Not Available,0.0
40.875123,40.875123,-73.886286,-73.886286,150135,Not Available,0.0
40.770755,40.770755,-73.98262,-73.98262,213796,Not Available,0.0
40.745378,40.745378,-73.996651,-73.996651,74545,Not Available,0.0
40.742093,40.742093,-73.998528,-73.998528,110032,458260.92,0.0
40.758744,40.758744,-73.968618,-73.968618,791632,2789156.31,0.0
40.737366,40.737366,-73.988424,-73.988424,615000,0,0.0
40.705268,40.705268,-73.807754,-73.807754,50070,Not Available,0.0
40.756688,40.756688,-73.970128,-73.970128,342387,0,0.0
40.766391,40.766391,-73.982119,-73.982119,601586,0,0.0
40.748206,40.748206,-73.943731,-73.943731,275252,0,0.0
40.705415,40.705415,-74.007729,-74.007729,56271,0,0.0
40.722374,40.722374,-74.00815,-74.00815,51750,0,0.0
40.6308,40.6308,-73.973311,-73.973311,105000,0,0.0
40.848054,40.848054,-73.907271,-73.907271,58000,Not Available,0.0
40.573627,40.573627,-73.995033,-73.995033,149955,Not Available,0.0
40.741617,40.741617,-73.987449,-73.987449,2613986,Not Available,0.0
40.788559,40.788559,-73.977065,-73.977065,68821,Not Available,0.0
40.688353,40.688353,-73.964511,-73.964511,136000,0,0.0
40.792132,40.792132,-73.938046,-73.938046,222200,198669.65,0.0
40.72631,40.72631,-74.00749,-74.00749,427972,0,0.0
40.755801,40.755801,-73.97874,-73.97874,244534,Not Available,0.0
40.766971,40.766971,-73.962639,-73.962639,152026,Not Available,0.0
40.789792,40.789792,-73.966491,-73.966491,102972,Not Available,0.0
40.777357,40.777357,-73.954614,-73.954614,137469,Not Available,0.0
40.768051,40.768051,-73.89144,-73.89144,90374,Not Available,0.0
40.77969,40.77969,-73.987882,-73.987882,795215,Not Available,0.0
40.753942,40.753942,-73.989829,-73.989829,157059,0,0.0
40.790637,40.790637,-73.976591,-73.976591,55190,Not Available,0.0
40.838824,40.838824,-73.945635,-73.945635,83952,Not Available,0.0
40.764627,40.764627,-73.972745,-73.972745,184489,Not Available,0.0
40.771508,40.771508,-73.95482,-73.95482,66962,Not Available,0.0
40.738642,40.738642,-73.982679,-73.982679,79965,Not Available,0.0
40.709589,40.709589,-74.010186,-74.010186,2346193,13419748.81,0.0
40.70706,40.70706,-74.016519,-74.016519,457771,Not Available,0.0
40.619938,40.619938,-74.092171,-74.092171,22033,Not Available,0.0
