trailerstate,endzipcode,truckyear,totalgrossweight,applicationdate,endcity,overallwidth
AL,22222,2018,57000,2021-07-20 06:33:24+08:00,,8.06
NY,10001,2011,65100,2023-04-25 00:48:25+08:00,New York,8.05
NY,22222,2016,35000,2023-04-07 01:11:02+08:00,,8.06
NY,10475,2006,55000,2022-10-20 22:16:08+08:00,Bronx,8.0
NY,22222,2015,49000,2022-10-04 01:37:40+08:00,,10.0
NY,11111,2006,41950,2022-03-22 02:27:03+08:00,,10.07
PA,11111,1996,49000,2023-04-28 23:01:31+08:00,,8.06
PA,11222,1996,53080,2023-03-20 20:14:36+08:00,Brooklyn,8.07
PA,11111,2023,32000,2022-11-29 18:50:30+08:00,,8.06
PA,11111,2021,70000,2022-10-11 23:59:11+08:00,,12.07
PA,22222,2018,42000,2022-06-24 23:21:46+08:00,,8.06
GA,10018,2016,75000,2023-01-24 21:23:31+08:00,MANHATTAN,8.06
GA,11222,2016,47000,2022-07-09 00:16:54+08:00,Brooklyn,8.06
GA,11105,2021,34900,2022-04-19 21:06:12+08:00,Queens,8.0
GA,11206,2015,56834,2021-12-02 16:46:23+08:00,BROOKLYN,8.06
GA,10128,2014,24350,2021-08-02 15:40:54+08:00,New York,8.06
NJ,22222,2000,35000,2023-12-05 23:25:51+08:00,,8.06
NJ,22222,2015,74500,2023-11-16 22:35:49+08:00,,11.1
NJ,10017,2020,117950,2023-09-22 00:35:15+08:00,MANHATTAN,11.06
NJ,10017,2007,110800,2023-09-12 21:52:51+08:00,MANHATTAN,11.02
NJ,22222,2012,98566,2023-04-29 01:35:32+08:00,,9.08
ME,22222,2007,164380,2023-09-29 19:26:09+08:00,MANHATTAN,10.0
ME,10455,2023,119000,2023-04-28 00:13:58+08:00,THE BRONX,9.11
ME,11111,2019,41000,2023-02-03 03:26:53+08:00,,8.06
ME,11232,2020,79000,2023-01-17 23:59:04+08:00,BROOKLYN,9.06
ME,11378,2007,63300,2022-12-08 02:55:03+08:00,MASPETH,10.06
ON,22222,2016,33000,2022-05-05 03:52:55+08:00,,8.06
,22222,2019,158400,2023-05-18 00:35:24+08:00,MANHATTAN,9.1
,10459,2018,27500,2022-11-05 07:01:51+08:00,Bronx,8.05
,22222,2020,156664,2022-09-28 23:45:33+08:00,BROOKLYN,9.1
,10002,2011,158400,2022-05-31 17:40:08+08:00,MANHATTAN,9.1
NH,11111,2016,45000,2021-11-15 21:23:03+08:00,,8.06
WA,20000,2022,36500,2023-03-01 02:03:23+08:00,,8.06
