dbn,bn,total_programs
05M304,M304,1.0
02M419,M419,1.0
06M463,M463,1.0
20K445,K445,8.0
31R064,R064,1.0
29Q248,Q248,1.0
31R600,R600,6.0
14K071,K071,4.0
07X334,X334,1.0
10X565,X565,1.0
11X455,X455,7.0
21K540,K540,8.0
28Q896,Q896,1.0
14K558,K558,1.0
30Q258,Q258,1.0
09X260,X260,1.0
16K393,K393,1.0
29Q283,Q283,1.0
19K618,K618,1.0
24Q520,Q520,1.0
11X508,X508,1.0
