geseats_prog4,weekendprogram,selectioncriteria5_prog1,ellprograms,code_prog1,activities,rank,dense_rank
.,Yes–Saturday program for academic support and enrichment.,,English as a New Language,Q008U,"Achieve 3000; ARISTA/NJHS; Band; Chorus; Dance; Drumline; English as a New Language After-School/Saturday Programs; Field Trips: High Schools, Colleges, Washington, DC; Flocabulary; Girls Empowered and Motivated for Success; Junior Deans Program; Program Partners: UFT, Teacher Center, Sports & Arts in Schools Foundation; Project BOOST; Student Government; Substance Abuse Prevention and Intervention; Young Men’s Initiative",1,1
.,No,,English as a New Language,M108U,Art; Band; Book Clubs; Boys Basketball; Chorus; Community Service; Cooking; Double Dutch; Flag Football; GOAL Program; Girls Basketball; Music; Robotics; Soccer; Step Team; Student Government; Technology/Movie Making; Thurgood Marshall Mock Trial Program; Urban Advantage; Digital Storytelling; Young Runners’ Club,1,1
.,No,Entrance Assessment: Writing,English as a New Language,M224M,"Flag Football, Soccer, and Basketball through Asphalt Green; Global Kids After-School Program; Nature’s Classroom; Queens College Honor Band; Rooftop Gardening with the NY Horticultural Society",1,1
.,No,,English as a New Language,M408M,"Free After-School Program in partnership with Manhattan Youth, including classes in STEM, Visual Arts, Physical Activity, and Sports.",1,1
,Yes–Saturday program for certain students,Writing Assignment,English as a New Language,X128S,After-School Enrichment Academy; Drama; Future City Competition; MH3 Chess Team; MH3 Chorus; MH3 Dance Team; MH3 Rock Stars; Photography; Prep 9; Specialized High School Prep; Student Government; TEAK; The Oliver Program; Trips to Colleges and Universities in the Tri-State Area,1,1
.,No,,"English as a New Language, Transitional Bilingual Education: Spanish",X211U,"Award-Winning Dancing Classrooms Program; Creative Writing; ELL Academy; Encores! New York City Center Program’s Annual Museum & Theater Trips (NYC, New Jersey, and Massachusetts); Extended Day Program; Grow NYC ; New York Common Pantry; School Marching Band (including: Drum Line, Brass Section, and Baton Twirling); Spring Recess Program; Studio in a School; Technology; Trip to Plimoth Plantation for seventh graders and Holiday Hills for eighth grade graduates",1,1
.,No,,English as a New Language,Q128Z,Academic Field Trips; Dance; National Junior Honor Society; Robotics; Theater,1,1
,Yes–Saturday program for academic support and enrichment.,,"English as a New Language, Dual Language: Spanish",M311M,"Field Day; Ice Skating Trip; LANG Program; Lang Youth Medical Program; NYC ROW; Prep for Prep; Senior Trip to Washington, DC; Specialized High School Admission Test Prep Program",1,1
.,Yes,,English as a New Language,Q194U,Boys and Girls Basketball; Chess Club Friends of Rachel; Citizen Science Club; Culture Club; Dance Team; Film Club; Jazz Band; LEGO Robotics; Math Team; Peer Tutoring; Ukulele Club; Volleyball; Yearbook Club,1,1
.,No,,English as a New Language,M054M,"Art Portfolio; Camera Club; Coding; Community Service Club; Dance; Homework Help; Interactive Boards; Internet Access; JV Basketball; Jazz Ensemble; Laptop Carts; Math Team; Model UN; Musicals; Painting; School Library (29,000 items in collection & full-time librarian); School Musical; School-Wide Computer Network; SHSAT Preparation; Small-Group Academic Support; Student Council; Talent Show; Two Computer Labs",1,1
