dobrundate,assigned,total_construction_floor_area,paid,job_status_descrp,existing_occupancy,total_est__fee,site_fill
06/04/2023 00:00:00,2004-12-23,6515,2004-11-18,PLAN EXAM - DISAPPROVED,RES,$1810.45,NONE
06/04/2023 00:00:00,2004-11-15,3604,2004-11-12,SIGNED OFF,RES,$954.83,NONE
06/04/2023 00:00:00,2005-11-29,2082,2004-03-23,SIGNED OFF,RES,$654.88,NONE
05/04/2022 00:00:00,2000-05-25,0,2000-05-24,PERMIT ISSUED - PARTIAL JOB,RES,$191.50,NONE
06/28/2022 00:00:00,,0,2019-07-12,PERMIT ISSUED - ENTIRE JOB/WORK,RES,$470.60,NOT APPLICABLE
12/16/2022 00:00:00,2005-04-12,4930,2004-03-15,SIGNED OFF,,$833.35,ON-SITE
12/16/2022 00:00:00,2004-10-28,4738,2004-10-27,SIGNED OFF,,$808.02,ON-SITE
05/04/2021 00:00:00,,0,2019-08-15,PERMIT ISSUED - ENTIRE JOB/WORK,,$0.00,
11/19/2025 00:00:00,2023-01-13,0,2018-12-18,SIGNED OFF,,$0.00,
06/12/2021 00:00:00,2021-06-10,0,2021-05-04,PLAN EXAM - DISAPPROVED,,$1992.00,
11/19/2025 00:00:00,,0,2018-10-09,SIGNED OFF,E,$1399.20,NOT APPLICABLE
06/04/2023 00:00:00,2004-08-30,0,2004-07-30,SIGNED OFF,E,$100.00,NONE
03/09/2022 00:00:00,2009-02-23,0,2009-02-20,PERMIT ISSUED - ENTIRE JOB/WORK,J-1,$346.00,NOT APPLICABLE
06/04/2023 00:00:00,,0,2004-10-04,PERMIT ISSUED - ENTIRE JOB/WORK,F-4,$100.00,NONE
06/04/2023 00:00:00,,0,2004-07-02,SIGNED OFF,COM,$253.30,NONE
05/03/2022 00:00:00,2018-05-01,0,2018-05-01,SIGNED OFF,COM,$256.80,
06/04/2023 00:00:00,,0,2004-10-20,SIGNED OFF,COM,$170.90,NONE
06/04/2023 00:00:00,2004-07-16,0,2004-07-16,PERMIT ISSUED - ENTIRE JOB/WORK,COM,$150.00,NONE
06/04/2023 00:00:00,,0,2004-07-26,SIGNED OFF,COM,$140.00,NONE
06/04/2023 00:00:00,,0,2004-06-18,SIGNED OFF,J-0,$250.60,NONE
05/04/2022 00:00:00,2022-04-11,0,2022-04-08,PLAN EXAM - DISAPPROVED,R-3,$223.60,NOT APPLICABLE
08/31/2021 00:00:00,2021-08-23,0,2021-08-23,PERMIT ISSUED - ENTIRE JOB/WORK,R-3,$166.40,NOT APPLICABLE
06/29/2021 00:00:00,2021-05-05,0,2021-05-03,SIGNED OFF,R-3,$309.40,NOT APPLICABLE
01/25/2022 00:00:00,2021-08-23,0,2021-08-23,PERMIT ISSUED - ENTIRE JOB/WORK,R-3,$156.00,NOT APPLICABLE
10/31/2023 00:00:00,2003-07-11,2230,2003-07-09,SIGNED OFF,J-3,$286.35,NONE
06/04/2023 00:00:00,2004-03-22,0,2004-03-22,PLAN EXAM - APPROVED,J-3,$562.14,NONE
