facname,facgroup,t4_latitude,t4_longitude,schooldist,category,count,avg_value,total_value,max_value
SUNSHINE LEARNING CENTER,DAY CARE AND PRE-KINDERGARTEN,40.8149617726,-73.9087768364,7.0,Low,1,7.0,7.0,7.0
BROOKLYN CENTER FOR PSYCHOTHERAPY INC.,HEALTH CARE,40.6780107005,-73.9734287511,13.0,Low,1,13.0,13.0,13.0
OFFICE BLDG,"OFFICES, TRAINING, AND TESTING",40.693609,-73.990862,13.0,Low,1,13.0,13.0,13.0
NIA COMMUNITY SERVICES NETWORK INC,YOUTH SERVICES,40.6349675557,-73.9822191676,20.0,Medium,4,20.0,80.0,20.0
EMERSON PLAYGROUND,CHILD SERVICES AND WELFARE,40.8728550589,-73.9305900174,6.0,Low,1,6.0,6.0,6.0
INDOOR PARKING GARAGE,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",40.830136,-73.845255,8.0,Low,1,8.0,8.0,8.0
BUSHWICK CENTER FOR REHABILITATION AND HEALTH CARE,HEALTH CARE,40.704689,-73.900902,24.0,Medium,1,24.0,24.0,24.0
THE CORNER SCHOOL,DAY CARE AND PRE-KINDERGARTEN,40.7717573443,-73.8155863412,25.0,Medium,1,25.0,25.0,25.0
PS 14 ANNEX,CHILD SERVICES AND WELFARE,40.7427348866,-73.8767080353,24.0,Medium,1,24.0,24.0,24.0
60TH STORAGE CORP.,TRANSPORTATION,40.761617,-73.965386,2.0,Low,1,2.0,2.0,2.0
G.V.C. LTD. (B2192),TRANSPORTATION,40.8382717188,-73.8415246987,11.0,Low,1,11.0,11.0,11.0
QUEENS CENTRAL REPAIR SHOP,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",40.735168,-73.909116,24.0,Medium,1,24.0,24.0,24.0
CLINTON,HUMAN SERVICES,40.7949335872,-73.9452804674,4.0,Low,1,4.0,4.0,4.0
ST. MARY'S PARK,PARKS AND PLAZAS,40.6757855782,-73.9975404994,15.0,Low,1,15.0,15.0,15.0
P.S. 174 WILLIAM SIDNEY MOUNT,SCHOOLS (K-12),40.7204986232,-73.8606467212,28.0,High,1,28.0,28.0,28.0
LITTLE ONES,DAY CARE AND PRE-KINDERGARTEN,40.7443305688,-73.9569566783,30.0,High,1,30.0,30.0,30.0
BRONX TREATMENT CENTER,HEALTH CARE,40.8121114662,-73.9050057302,7.0,Low,1,7.0,7.0,7.0
BAY RIDGE SUNSET PARK DIALYSIS CENTER,HEALTH CARE,40.6455077087,-74.0238996982,20.0,Medium,1,20.0,20.0,20.0
DREAMYARD PROJECT INC,YOUTH SERVICES,40.8282056722,-73.9090901612,9.0,Low,1,9.0,9.0,9.0
CARIBBEING,CULTURAL INSTITUTIONS,40.6415729416,-73.9536441401,22.0,Medium,1,22.0,22.0,22.0
IC BUS INC.,TRANSPORTATION,40.6094004742,-74.1883371186,31.0,High,1,31.0,31.0,31.0
SUPERIOR PARKING LLC,TRANSPORTATION,40.771028,-73.948828,2.0,Low,1,2.0,2.0,2.0
COMMUNITY ASSOCIATION OF PROGRESSIVE DOMINICIANS INC,YOUTH SERVICES,40.8486044377,-73.9088552414,9.0,Low,1,9.0,9.0,9.0
"TENDER YEAR CHILDCARE, INC.",DAY CARE AND PRE-KINDERGARTEN,40.8379049668,-73.8343703648,8.0,Low,1,8.0,8.0,8.0
JEWISH INSTITUTE OF QUEENS,YOUTH SERVICES,40.7312218126,-73.8709582177,28.0,High,1,28.0,28.0,28.0
THE YOUNG MENS AND YOUNG WOMENS HEBREW ASSOCIATION,YOUTH SERVICES,40.7828763067,-73.9526290076,2.0,Low,1,2.0,2.0,2.0
LOUIS HEATON PINK (5),CHILD SERVICES AND WELFARE,40.6687691274,-73.8645659985,19.0,Medium,1,19.0,19.0,19.0
"CREATE, INC. RR",HEALTH CARE,40.8006793134,-73.9511172353,3.0,Low,1,3.0,3.0,3.0
