globalid,total_sidewalk_length
{22CA7F2F-9A0A-45AB-8676-D5BDF29C701D},27.0
33c98c02-fda5-4366-8b3a-2f8a4845e37d,50.0
24e91288-b49c-4ea5-850c-378a7779d72d,20.0
{A213525C-A6BC-420A-8A5B-99DD28ADEEC8},18.0
{C88A09A9-9F8C-4043-88FB-74720843B3F7},36.0
{B64B6B2E-304F-4312-8149-86CED505B008},20.0
50e6ec3b-fb79-4ffa-851f-d6503432b455,25.0
{3F2B4026-DF96-4366-88CB-3D10DC67D8D6},19.0
{E160C2CA-FB1F-4065-8277-F790AF64FD0C},40.0
{D4CC700E-963F-4A3F-89EC-0896E0CA0AFE},420.0
{FE63E11B-1E7A-437F-820E-B4FA74C8E009},40.0
{653C3C43-0A1F-46FE-8169-9ABC472500F8},45.0
{C42FEC0F-0B4B-4EDD-821C-F21A06BB5F76},15.0
{A2641570-9B32-46EC-8080-D9F1EBE40C59},28.0
{5A0F9168-3D6D-4179-89A6-5FDD32EB850C},36.0
{2CAF71B0-636A-4279-8B68-BC091CAA4669},
{4DA0FA7B-DAAD-4D0D-840E-764611D01EFE},40.0
{DFF5C0D6-07E8-4028-88BC-7EB7FBD24D55},15.0
{55E1297F-3A71-4902-822C-69FB043C0B58},20.0
{238E0C84-0AD1-43E0-8A41-1CA6B17E329C},43.0
{7EA632D4-F01B-46CF-8295-3378F4C8CA6C},
{9D8FA13C-DF64-42FE-819A-B8461874DB4D},30.0
{346C0704-1DC5-4081-85AF-84A0E76AF01E},34.0
{3B6348D5-4FA5-477B-8590-1BE221D52BD7},25.0
5be2bf16-1d12-4a3b-8a48-e9b931e8bf6d,20.0
{01184FC8-DE42-4D05-85A1-0D757B339B81},42.0
{46F009AC-1DF9-4F39-8973-01E407466B67},
{B2380BF7-7318-4CC5-8B3E-0A945616C75C},20.0
8e70838c-e737-47f0-87e8-f062d915a8dd,50.0
{595E6DAF-2D64-408A-8267-E12CC39C1C19},30.0
444b8588-85bc-44fd-8c2a-855bb5aa3cb8,30.0
{53991CB4-082F-4D87-8985-74CD3ACB71DA},
ed43d70c-12db-484f-814e-fa009684ba6b,20.0
{BA34B317-FCC5-41E2-889F-539C361E3A84},50.0
{F78EBF30-27EA-4D7B-87BA-EB8F7126F882},95.0
{BD45D158-9EF2-45CA-828F-49420616FA34},
{ABA9D22F-D002-4D7F-8B1C-DFC1BC784FEE},44.0
{DA48265D-7730-416F-8E1C-EBC8C8ACE2C2},
{125A71BA-6C13-43EC-847E-C1D45A082D44},19.0
{101126BA-B696-4B06-855A-1E87CCF47B3E},87.0
{D3545387-9321-498A-8EC0-903D4FDE7704},
{AF0E6C9E-5607-4377-8DF5-7D895659767B},56.0
cf1c71e2-79cc-4dc6-89f1-9246e3e82c32,
{2DDC7213-5F11-4534-883A-8622D0AA67E8},65.0
{25D28DF5-DAFF-4AB8-887A-9BEEFB006853},100.0
{F916872C-A8F1-4150-8A20-2307EA416D99},
{1511AF75-228B-4EAF-8AD6-847AE505019A},25.0
{9D3B1993-13AF-4378-8585-0C16A563CA66},16.0
{3E25AAA3-D232-4C1B-803D-4C0EFDA2B91F},20.0
a323f70c-c586-42a7-8f87-53b230fb1a95,34.0
