work_on_floor,issued_date,job_description,filing_reason,estimated_job_costs,permit_status,house_no,applicant_business_name
Floor Number(s) 2 through 2,2025-04-29,Interior renovation as per plans filed herewith.,Initial Permit,700000.0,Signed-off,1250,ATRIUM INDUSTRIES CORP
Floor Number(s) 2 through 2,2025-04-29,Interior renovation as per plans filed herewith.,Renewal Permit Without Changes,700000.0,Signed-off,1250,ATRIUM INDUSTRIES CORP
Floor Number(s) 001 through 037,2025-12-09,"REPAIRS CONSISTING OF BRICK REPLACEMENT REPOINTING CORNER REBUILD, SPANDREL BEAM REPAIRS, LIMESTONE REPOINTING, REPAIR,REPLACEMENT,  GRANITE REPAIRS, WINDOW REPLACEMENT, WINDOWSILL REPLACEMENT & SEALANT REPLACEMENT. NO CHANGE IN USE EGRESS OR OCCUPANCY",Initial Permit,435350.0,Signed-off,63,4 STAR CONTRACTING INC
"Basement/Sub-basement, Cellar, Floor Number(s) 1 through 2, Roof",2024-12-11,HORIZONTAL ENLARGEMENT TO EXISTING 3 STORY BUILDING. BUILDING REMAINS  TWO FAMILY DWELLING.  IN CONJUNCTION WITH  ALT-1 (NO WORK)  # 321756293,Renewal Permit Without Changes,350000.0,Permit Issued,477,KD ONE CONSTRUCTION INC
"Basement/Sub-basement, Cellar, Floor Number(s) 1 through 2, Roof",2024-12-11,HORIZONTAL ENLARGEMENT TO EXISTING 3 STORY BUILDING. BUILDING REMAINS  TWO FAMILY DWELLING.  IN CONJUNCTION WITH  ALT-1 (NO WORK)  # 321756293,Renewal Permit Without Changes,350000.0,Permit Issued,477,KD ONE CONSTRUCTION INC
"Basement/Sub-basement, Cellar, Floor Number(s) 1 through 2, Roof",2024-12-11,HORIZONTAL ENLARGEMENT TO EXISTING 3 STORY BUILDING. BUILDING REMAINS  TWO FAMILY DWELLING.  IN CONJUNCTION WITH  ALT-1 (NO WORK)  # 321756293,Renewal Permit Without Changes,350000.0,Permit Issued,477,KD ONE CONSTRUCTION INC
