name,code_prog1,t3_name,t4_code_prog1,ellprograms,telephone,category,count,avg_value,total_value,max_value
In-Tech Academy (M.S. / High School 368) (10X368),X368M,In-Tech Academy (M.S. / High School 368) (10X368),X368M,English as a New Language;Transitional Bilingual Education: Spanish,718-432-4300,Medium,1,84.0,84.0,84.0
P.S. 238 Anne Sullivan (21K238),K238Z,P.S. 238 Anne Sullivan (21K238),K238Z,English as a New Language;Dual Language: Spanish,718-339-4355,High,1,99.0,99.0,99.0
Vista Academy (19K661),K661L,Vista Academy (19K661),K661L,English as a New Language,718-647-0913,High,1,93.0,93.0,93.0
One World Middle School at Edenwald (11X529),X529U,One World Middle School at Edenwald (11X529),X529U,English as a New Language,718-515-6780,High,1,96.0,96.0,96.0
P.S. 288 The Shirley Tanyhill (21K288),K288U,P.S. 288 The Shirley Tanyhill (21K288),K288U,English as a New Language,718-382-2100,Medium,1,81.0,81.0,81.0
East New York Middle School of Excellence (19K678),K678L,East New York Middle School of Excellence (19K678),K678L,English as a New Language,718-257-4061,High,1,98.0,98.0,98.0
I.S. 061 Leonardo Da Vinci (24Q061),Q061Z,I.S. 061 Leonardo Da Vinci (24Q061),Q061Z,English as a New Language;Dual Language: Spanish;Transitional Bilingual Education: Spanish,718-760-3233,High,1,92.0,92.0,92.0
The Anderson School (03M334),M334M,The Anderson School (03M334),M334M,English as a New Language,212-595-7193,High,1,100.0,100.0,100.0
Bronx Dance Academy School (10X308),X308M,Bronx Dance Academy School (10X308),X308M,English as a New Language,718-515-0410,High,1,95.0,95.0,95.0
I.S. 229 Roland Patterson (09X229),X229U,I.S. 229 Roland Patterson (09X229),X229U,English as a New Language,718-583-6266,Medium,1,76.0,76.0,76.0
School of the Future Brooklyn (19K663),K663L,School of the Future Brooklyn (19K663),K663L,English as a New Language,718-345-5190,Low,1,66.0,66.0,66.0
M.S. 113 Ronald Edmonds Learning Center (13K113),K113M,M.S. 113 Ronald Edmonds Learning Center (13K113),K113M,English as a New Language;Dual Language: Spanish,718-834-6734,High,1,95.0,95.0,95.0
J.H.S. 054 Booker T. Washington (03M054),M054M,J.H.S. 054 Booker T. Washington (03M054),M054M,English as a New Language,212-678-2861,High,1,98.0,98.0,98.0
P.S. 095 Sheila Mencher (10X095),X095Z,P.S. 095 Sheila Mencher (10X095),X095Z,English as a New Language;Transitional Bilingual Education: Spanish,718-796-9200,High,1,94.0,94.0,94.0
Lyons Community School (14K586),K586L,Lyons Community School (14K586),K586L,English as a New Language,718-782-0918,Medium,1,82.0,82.0,82.0
East Flatbush Community Research School (18K581),K581L,East Flatbush Community Research School (18K581),K581L,English as a New Language,718-773-3059,High,1,92.0,92.0,92.0
P.S. 189 The Bilingual Center (17K189),K189S,P.S. 189 The Bilingual Center (17K189),K189S,English as a New Language;Dual Language: Spanish;Dual Language: Haitian Creole;Transitional Bilingual Education: Spanish;Transitional Bilingual Education: Haitian Creole,718-756-0210,Medium,1,83.0,83.0,83.0
P.S. 184 Newport (23K184),K184U,P.S. 184 Newport (23K184),K184U,English as a New Language,718-495-7776,Medium,1,81.0,81.0,81.0
M.S. 224 Manhattan East School for Arts & Academics (04M224),M224M,M.S. 224 Manhattan East School for Arts & Academics (04M224),M224M,English as a New Language,212-860-6047,High,1,93.0,93.0,93.0
P.S. 105 The Bay School (27Q105),Q105Z,P.S. 105 The Bay School (27Q105),Q105Z,English as a New Language,718-474-8615,High,1,92.0,92.0,92.0
P.S. 018 Park Terrace (06M018),M018U,P.S. 018 Park Terrace (06M018),M018U,English as a New Language;Transitional Bilingual Education: Spanish,917-521-2220,Low,1,65.0,65.0,65.0
M.S. X101 Edward R. Byrne (08X101),X101A,M.S. X101 Edward R. Byrne (08X101),X101A,English as a New Language,718-829-6372,High,1,97.0,97.0,97.0
