building_manager,building_manager_1,dep_boiler_application,total_gallons_high,city_council_district,total_units,of_res_units,total_fuel_usage
ELO EQUITIES LLC,ELO EQUITIES LLC,CB185502M,24500,3,2,0,24500.0
DEZER PROPERTIES,DEZER PROPERTIES,CB008208H,33375,3,1,0,33375.0
110 W.40 JOINT VENTURE,110 W.40 JOINT VENTURE,CA128097P,57720,3,114,0,57720.0
LEE KWAN CHAH,LEE KWAN CHAH,CA214789R,14800,3,25,0,14800.0
55 PARK TENANTS CORP.,55 PARK TENANTS CORP.,CA037584Z,32850,3,33,32,32850.0
JENEL MANAGMENT,JENEL MANAGMENT,CA010192J,50820,3,18,0,50820.0
CAPITAL BUILDING LOFT CORP.,CAPITAL BUILDING LOFT CORP.,CA298992N,33600,3,43,0,33600.0
MOCAL ENTERPRISES INC.,MOCAL ENTERPRISES INC.,CA282473P,81304,3,100,0,81304.0
R.G.A. AGENT/38 WEST 32 ASSOCIATES,R.G.A. AGENT/38 WEST 32 ASSOCIATES,CA119780P,66000,3,76,0,66000.0
PR 30 LLC,PR 30 LLC,CB161703X,21681,3,12,12,21681.0
MARTIN BAUMRIND,MARTIN BAUMRIND,CB157908X,26953,3,10,10,26953.0
MOSHE GLICKMAN,MOSHE GLICKMAN,CA007870M,59447,6,37,37,59447.0
WEST 63 EMPIRE ASSOCIATES LLC,WEST 63 EMPIRE ASSOCIATES LLC,CB126407J,93294,6,7,0,93294.0
CHARLES H. GREENTHAL,CHARLES H. GREENTHAL,CA065176H,269969,6,376,376,269969.0
CHARLES STREET ASSOCIATES,CHARLES STREET ASSOCIATES,CA066265Y,23360,3,19,18,23360.0
"CHELSEA 25, LLC","CHELSEA 25, LLC",CA166189J,44457,3,69,69,44457.0
T.U.C. MANAGEMENT CO.INC.,T.U.C. MANAGEMENT CO.INC.,CA065885K,14746,4,31,31,14746.0
ENF. 11/20/92,ENF. 11/20/92,CA475970R,26280,1,6,0,26280.0
162 ASSOCIATES LLCC/O MUTRRY HILL,162 ASSOCIATES LLCC/O MUTRRY HILL,CA265489P,49056,3,7,0,49056.0
227 TENANTS CORP.,227 TENANTS CORP.,CA330388Y,19856,6,22,22,19856.0
REAL ESTATE INDUSTRIAL INC.,REAL ESTATE INDUSTRIAL INC.,CA223793Y,78840,3,3,0,78840.0
HUNTER COLLEGE,HUNTER COLLEGE,CA444369Y,0,3,0,0,0.0
ESTATE OF EDWIN S. LOWE/CHASE MAN,ESTATE OF EDWIN S. LOWE/CHASE MAN,CA269084P,82125,3,22,0,82125.0
ONE HUDSON PARK INC,ONE HUDSON PARK INC,CA028979Z,75555,1,33,25,75555.0
ONE FIFTH AVE APT/INSIGNIA RESIDENT,ONE FIFTH AVE APT/INSIGNIA RESIDENT,CB053902X,164250,1,200,198,328500.0
MARTY MYERS/EDWIN,MARTY MYERS/EDWIN,CA215582Y,21000,3,23,22,21000.0
12 E 12 STREET CONDO,12 E 12 STREET CONDO,CA309988L,38115,2,27,26,38115.0
"LEIST,FRED","LEIST,FRED",CA528585R,21079,14,67,67,21079.0
119 FIFTH AVE.CORP.,119 FIFTH AVE.CORP.,CA342190R,29740,2,9,2,29740.0
"TUR,JOSE","TUR,JOSE",CA007490K,21900,10,30,30,21900.0
CONCOURSE MGMT/BLDG MGMT INC.,CONCOURSE MGMT/BLDG MGMT INC.,CA293873H,29200,3,0,0,29200.0
HELMSLEY SPEAR INC.,HELMSLEY SPEAR INC.,CA086251L,120085,3,19,0,120085.0
PARISH OF TRINITY CHURCH,PARISH OF TRINITY CHURCH,CA313686H,41063,3,0,0,41063.0
130 WEST 57 STREET CO,130 WEST 57 STREET CO,CA306493X,45990,4,85,10,45990.0
CARL S YOUNG,CARL S YOUNG,CA377586N,54896,10,72,72,54896.0
CHURCH MANAGEMENT,CHURCH MANAGEMENT,CA037577K,168356,3,229,224,168356.0
MIRANDA REALTY ASSOC.,MIRANDA REALTY ASSOC.,CA271072K,86140,3,46,7,86140.0
MURRAY HILL OWNERS CO.,MURRAY HILL OWNERS CO.,CA060877H,57232,3,35,35,57232.0
GVA WILLIAMS REAL ESTATE CO.,GVA WILLIAMS REAL ESTATE CO.,CA580586R,16470,3,13,0,16470.0
29 W. 36TH ST. LLC % BERSTEIN R.E. CO.,29 W. 36TH ST. LLC % BERSTEIN R.E. CO.,CB134107L,25800,3,14,0,25800.0
OUR LADY OF POMPEI R.C.CHURCH,OUR LADY OF POMPEI R.C.CHURCH,CA271292M,37800,3,4,0,37800.0
WASSERSTEIN BROS,WASSERSTEIN BROS,CA349787L,52871,3,28,0,52871.0
JEFFREY MANAGEMENT,JEFFREY MANAGEMENT,CA213972K,205312,1,68,0,205312.0
77 PARK AVE. CONDOMINIUM,77 PARK AVE. CONDOMINIUM,CA112793M,168356,4,106,106,168356.0
MANCHESTER WEST 36 LLC,MANCHESTER WEST 36 LLC,CA256970R,56575,3,15,0,56575.0
THREE O REALTY LLC,THREE O REALTY LLC,CA198998X,40824,3,58,0,40824.0
RANDAL HSE. OWNERS % AKAM ASSOC.,RANDAL HSE. OWNERS % AKAM ASSOC.,CB195606X,82125,2,235,229,82125.0
BROCROS REALTY,BROCROS REALTY,CA020979M,14500,1,24,0,14500.0
NEW BEDFORD MGMT,NEW BEDFORD MGMT,CA030378X,54604,3,133,130,54604.0
470P.A.ASSOC/S.L.GREEN MG,470P.A.ASSOC/S.L.GREEN MG,CA199594Y,73913,2,31,0,73913.0
