violation_description,issuing_agency,total,average,count
,U,0.0,0.0,1
,4,0.0,0.0,1
,Y,0.0,0.0,10
,N,0.0,0.0,2
,Q,0.0,0.0,1
,T,0.0,0.0,3
,P,0.0,0.0,43
,M,0.0,0.0,2
,R,0.0,0.0,1
,K,0.0,0.0,9
,C,0.0,0.0,4
