program_highlights,partner_nonprofit,se_services,partner_cbo,priority01,priority02,priority03
"Students take Philosophy, Engineering, Spanish, Creative Arts and an Elective; Math, Science and Engineering program; Humanities sequence includes Philosophy coursework; Electives in the Sciences and Creative arts including Environmental Science, Genetics, Science Fiction Film, Current Events, Web Design; Focus on sustainability and community service; Students have access to Columbia University facilities and may participate in early college study on campus",,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Double Discovery, Harlem Tutorial Program,Urban Advantage Science",Priority to continuing 8th graders,Then to New York City residents,
"Classical Education Model, Classics-based Curriculum, Dream Real Advisory Program, Success Development Plans, Success Coaches, Projects-based Learning, Socratic Seminar, Etymology Study for SAT, College and Career Counseling, Youth Leadership and Character Development, Test Prep and Academic Support, Local, National and International Travel, Mentorships, Internships, Apprenticeships, Work-Study, Family Partnership Program",,This school will provide students with disabilities the supports and services indicated on their IEPs.,,Priority to Bronx students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Bronx students or residents
"Paul Hastings Law Institute, Deloitte, Mock Trial, Debate, Introduction to Law, International Law, Criminal and Constitutional Law, Participation in Government, Studio Art, Modern Dance, Orchestra, Credit-Bearing Online Courses, CUNY College Now",,This school will provide students with disabilities the supports and services indicated on their IEPs.,Project Reach Youth,Priority to District 15 students or residents,Then to Brooklyn students or residents,Then to New York City residents
"Intensive Chinese Language Program for all students, Honors and Advanced Placement (AP) Classes, Advisory, Interdisciplinary Support",YMCA,This school will provide students with disabilities the supports and services indicated on their IEPs.,"The United Nations Association of the United States of America (UNA-USA) Global Classrooms, United Nations, Chinese Language Teachers Association of Greater New York PENCIL",Priority to Manhattan students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Manhattan students or residents
"El Puente, CUNY College Now courses, Public Service Learning, Honors Classes, Drama, Arts",,This school will provide students with disabilities the supports and services indicated on their IEPs.,"East Brooklyn Congregations, Youth Services Opportunities",Priority to District 32 students or residents,"Then to Districts 13, 19 and 23 students or residents",Then to Brooklyn students or residents
"All high school students take Regents-level English, mathematics, social studies, science and language courses. They also take physical education, music, art and elective classes as needed to meet or exceed state standards for graduation. Qualified students are enrolled in honors or Advanced Placement (AP) courses","Riverdale Mental Health Association, Health Corps",This school will provide students with disabilities the supports and services indicated on their IEPs.,"Riverdale Community Center, Kingsbridge-Riverdale-Van Cortlandt Development Corp.",Eligibility: Open only to Bronx students or residents a. Priority to continuing 8th graders b. Then to students residing in the geographical catchment area c. Then to Bronx students or residents,,
"Business and Computer Models, Accounting, Virtual Enterprise, Hospitality and Tourism, Journalism, CUNY College Now, Peer Mentoring, Big Brothers Big Sisters, Writing Classes, Read 180, Mathematics Lab support classes, PLATO Learning, Kaplan, Junior Achievement, Math Peer Tutoring, Exploration, Upward Bound; TOPs: This program, run by the Department of Education, gives special education students job shadowing practice to develop job skills and provide career and study options; Cents Ability: Each spring, this organization provides workshops on financial literacy, including managing checking and savings accounts, financing for college, creating a budget, and investing in the stock market.","National Academy Foundation (NAF), Junior Achievement, The Posse Foundation, New York Opportunity Network (NYON), Virtual Enterprise Center, The National Center on Addiction and Substance Abuse at Columbia University's Learning Effective Approaches to Prevention (CASALEAP), Inwood House, The Door, Futures and Options, Sponsors for Educational Opportunity (SEO), Upward Bound, Urban Dove, Fertile Grounds, THAAKAT Foundation, CARE Financial Awareness Program at Columbia University",This school will provide students with disabilities the supports and services indicated on their IEPs.,"College Success Program, Hunter College, Virtual Enterprises International, National Academy Foundation, Roundabout Theatre, NYC Mentoring Program, NYC School Volunteers, Learning Leaders, College Now Program w/ City College of New York, Bottom Line, Upward Bound Program, and the NY Academy of Art, The Teen Choice Program, Inwood House, Intrepid LIFTT Program, Junior Achievement, Opportunity Network, Big Brothers/Big Sisters of NYC, 92nd Street Y-Teensgiving",Open to New York City residents,,
"Advisory, Mentoring, College Awareness Program; Theater Introduction, Beginning, Intermediate and Advanced Acting, Playwriting, Stage Management and Production, Dance and Movement for Actors, Musical and Classical Theatre, Senior Production Lab, Stagecraft Workshop, National Honor Society, Advanced Research, Honors Courses, PSAT & SAT Prep, CUNY College Now (Hunter College), Learning Through Expanded Arts Playwriting program (LeAp), August Wilson Monologue Competition, Young People’s Chorus of New York City, Roundabout Theatre Company (Playwriting, IATSE Career Days, Student Production Workshop), Shakespeare Society Competition",Peter Jay Sharp Foundation,This school will provide students with disabilities the supports and services indicated on their IEPs.,,Open to New York City residents,,
"Students may receive CTE endorsement in the following areas: Automotive Technician, A+ Computer Repair, Culinary Arts, Automotive Technology, Construction Technology (which includes the areas of electrical installation, plumbing, heating, air conditioning, and refrigeration), Health Professions; To receive an endorsed CTE Diploma, students at William E. Grady CTE High School are required to successfully complete a sequence of CTE classes, an internship, and pass an industry-based exam in the CTE field of their choice.",Friends of Kaiser Park,This school will provide students with disabilities the supports and services indicated on their IEPs.,Counseling in Schools,Open to New York City residents,,
"Mid-year Animation & Movie Institute where students develop film projects, shoot on location, and work with prominent resident and guest artists; Four-year Cinema Studies curriculum in filmmaking, storytelling, and media criticism; Studio art class offered; Partnership with CUNY College Now at Lehman College",,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Ghetto Film School, our partner organization, based in the South Bronx community, has been nationally recognized for their achievement in providing young people a gateway into the professional world of media arts and for helping to mold the next generation of story tellers.",Open to New York City residents,,
