alphabetic_name_long,alphabetic_name_long_1,progcount,program_highlights,type,se_services,advanced_placement_courses,rank,dense_rank
Juan Morel Campos Secondary School,Juan Morel Campos Secondary School,4,"4-year sequence of talent courses culminating in an Arts Endorsed Diploma opportunity, Advanced Placement courses, college readiness counseling provided by College Bound Initiative counselor, CUNY At Home In College English and math courses, blended/online learning for credit through APEX/AVENTA, mentoring with working professionals through iMentor, art installations in local galleries through partnerships with BRIC Rotunda and NURTUREart, technology courses",School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Chemistry, English Language and Composition, English Literature and Composition, Government and Politics: United States, Spanish Language",5,2
Ralph R. McKee Career and Technical Education High School,Ralph R. McKee Career and Technical Education High School,6,"Scholars Institute: Honors Courses; Advancement Via Individual Determination (AVID), Project Lead The Way, Work-based Learning, State & Industry Certifications, McKee Advertising Design Enterprise (MADE); Italian, Art, Precalculus, Calculus, College Now, After-school Tutoring",School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Biology, English Language and Composition",4,3
Harry S Truman High School,Harry S Truman High School,7,"Pre-Engineering, Law and Legal Studies/Law Enforcement Academy, Computer Technology, Culinary Arts, Multimedia Communication, Air Force Junior Reserve Officers' Training Corps (AFJROTC), Summer Internship, Sports and Arts, GEAR UP, Four-year program allowing students to graduate with a high school diploma as well as an Associate degree from Mercy College.",School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Biology, Calculus AB, Calculus BC, English Literature and Composition, Spanish Language, Statistics, United States History",3,4
John Dewey High School,John Dewey High School,8,"Computer Science Institute, Medical & Health Professions, Academy of Finance (NAF), FIRST Robotics, Pre-Engineering, Bilingual Chinese, Marine Science, Space Science Academy, HTML Web Design, Computer Graphic Design, Fashion Design, Performing Arts & Dance, Photography, Computer Graphics & Visual Arts, Ceramics, College Now, Culinary ACE Cafe, Saturday & After-school English Language Learners (ELL) Academy",School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Art History, Biology, Calculus AB, Calculus BC, Chemistry, Chinese Language and Culture, Computer Science A, Economics: Macro, Economics: Micro, English Language and Composition, English Literature and Composition, European History, Government and Politics: United States, Physics B, Psychology, Spanish Language, Statistics, United States History, World History",1,5
New Utrecht High School,New Utrecht High School,8,"Academic Honors Academy, Medical & Health Careers, Business and Technology, Academy of Hospitality and Tourism, Academy of Legal Studies, Small Business Operations, College Now",School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Art History, Biology, Calculus AB, Calculus BC, Chemistry, Economics: Macro, Economics: Micro, English Language and Composition, Human Geography, Physics B, United States History, World History",1,5
