project_id,house_number,prevailing_wage_status,category,count,avg_value,total_value,max_value
77145,29-05A,Non Prevailing Wage,medium,1,63.0,63.0,63
76408,1305,Non Prevailing Wage,small,1,8.0,8.0,8
75173,3455,Non Prevailing Wage,small,30,10.933333333333334,328.0,15
75421,55,Non Prevailing Wage,medium,2,122.0,244.0,122
75421,59,Non Prevailing Wage,medium,2,122.0,244.0,122
75173,3458,Non Prevailing Wage,small,30,10.933333333333334,328.0,15
75421,123,Non Prevailing Wage,small,10,1.0,10.0,1
75173,3475,Non Prevailing Wage,small,30,10.933333333333334,328.0,15
77170,2013,Non Prevailing Wage,medium,1,56.0,56.0,56
77028,256,Non Prevailing Wage,small,1,42.0,42.0,42
74974,51,Non Prevailing Wage,large,1,219.0,219.0,219
75173,3474,Non Prevailing Wage,small,30,10.933333333333334,328.0,15
74488,125,Non Prevailing Wage,small,2,14.5,29.0,19
55080,635,Non Prevailing Wage,small,1,8.0,8.0,8
75421,123,Non Prevailing Wage,medium,2,122.0,244.0,122
75421,55,Non Prevailing Wage,small,10,1.0,10.0,1
75421,59,Non Prevailing Wage,small,10,1.0,10.0,1
71989,6,Non Prevailing Wage,small,3,5.666666666666667,17.0,8
74296,2185,Non Prevailing Wage,small,1,48.0,48.0,48
77185,27-19,Non Prevailing Wage,small,1,34.0,34.0,34
76728,131,Non Prevailing Wage,medium,1,73.0,73.0,73
75173,3438,Non Prevailing Wage,small,60,10.933333333333334,656.0,15
47863,390,Non Prevailing Wage,small,2,32.0,64.0,42
75173,3439,Non Prevailing Wage,small,60,10.933333333333334,656.0,15
75421,29,Non Prevailing Wage,medium,2,122.0,244.0,122
74483,1581,Non Prevailing Wage,small,7,25.571428571428573,179.0,48
77134,153,Non Prevailing Wage,small,1,9.0,9.0,9
75421,33,Non Prevailing Wage,small,10,1.0,10.0,1
74488,123,Non Prevailing Wage,small,2,14.5,29.0,19
76431,1644,Non Prevailing Wage,small,1,36.0,36.0,36
75421,119,Non Prevailing Wage,small,10,1.0,10.0,1
77143,21-07,Non Prevailing Wage,medium,1,68.0,68.0,68
74737,1011,Non Prevailing Wage,medium,2,138.0,276.0,169
75421,119,Non Prevailing Wage,medium,2,122.0,244.0,122
65412,303,Non Prevailing Wage,small,3,4.0,12.0,4
77034,130,Non Prevailing Wage,medium,1,75.0,75.0,75
76333,2040,Non Prevailing Wage,small,1,24.0,24.0,24
72943,1806,Non Prevailing Wage,medium,1,111.0,111.0,111
76321,22-25,Non Prevailing Wage,small,1,26.0,26.0,26
73316,1129,Non Prevailing Wage,small,2,8.0,16.0,11
75421,33,Non Prevailing Wage,medium,2,122.0,244.0,122
76302,633,Non Prevailing Wage,small,1,25.0,25.0,25
75173,3472,Non Prevailing Wage,small,30,10.933333333333334,328.0,15
76097,1450,Non Prevailing Wage,medium,1,98.0,98.0,98
75729,670,Non Prevailing Wage,small,3,6.0,18.0,8
75421,29,Non Prevailing Wage,small,10,1.0,10.0,1
76413,2769,Non Prevailing Wage,small,1,44.0,44.0,44
76341,23-10,Non Prevailing Wage,large,1,240.0,240.0,240
75729,219,Non Prevailing Wage,small,3,6.0,18.0,8
76710,180,Non Prevailing Wage,small,1,50.0,50.0,50
