fact_column,total_dimension1,average_dimension2
Education,1531264.510000025,0.0
Health and Social Support,34445.1,0.0
Infrastructure,11299754.479999935,0.0
Economic and Workforce Development,74135.52999999998,0.0
Neighborhood Stabilization,8650.0,0.0
