naics_sector,mailingstate,mailingcity,vendor_dba,total_count,total_amount
Administrative and Support and Waste Management and Remediation Services,New York,Deer Park,,1,80000.0
"Professional, Scientific, and Technical Services",New York,Buffalo,,1,48314.0
Wholesale Trade,New York,Belle Harbor,,1,2900000.0
"Professional, Scientific, and Technical Services",New York,Saratoga Springs,Airosmith Development,1,5000000.0
"Professional, Scientific, and Technical Services",New York,Flushing,,1,9000.0
"Professional, Scientific, and Technical Services",New York,Jackson Heights,Alexis Covo Studio NYC,1,
"Professional, Scientific, and Technical Services",New York,Great Neck,,1,
"Professional, Scientific, and Technical Services",New York,Manlius,,1,45000.0
Accommodation and Food Services,New York,Valley Stream,Adamah Gallery Seafood,1,
Construction,New York,New York,,3,226000.0
Construction,New York,RICHMOND HILL,,1,9990.0
Wholesale Trade,New York,Orangeburg,American Power Electrical Supply Co.,1,962572.0
"Professional, Scientific, and Technical Services",New York,new york,,1,140000.0
Administrative and Support and Waste Management and Remediation Services,New York,Franklin Sq,Blue Line Security Group,1,19579.0
"Professional, Scientific, and Technical Services",New York,New York,,3,522142.0
Retail Trade,New York,New York,Barefoot Sunday,1,200.4
"Professional, Scientific, and Technical Services",New York,Coram,,1,130000.0
Administrative and Support and Waste Management and Remediation Services,New York,New Hyde Park,Acqua Treat,1,16784.0
"Professional, Scientific, and Technical Services",New York,Laurelton,,1,
"Professional, Scientific, and Technical Services",Pennsylvania,Staten Island,,1,
Information,New York,Smithtown,,1,18830.0
Utilities,New York,Saint Albans,,1,57000.0
Educational Services,New York,Brooklyn,,1,
Construction,New Jersey,Holmdel,,1,65000.0
"Professional, Scientific, and Technical Services",New York,Bronx,,2,16677811.0
Accommodation and Food Services,New York,New York,Acumen GMAT LLC,1,8462.0
Construction,New York,Patchogue,,1,352703.0
Health Care and Social Assistance,New York,Staten Island,,1,250392.0
Health Care and Social Assistance,New York,Brooklyn,,2,3015.0
Construction,New York,Williston Park,,1,32800.0
Information,New Jersey,Forked River,,1,
Retail Trade,New York,Brooklyn,,1,
Wholesale Trade,New York,Yonkers,,1,10005.0
Retail Trade,New York,Staten Island,JAG Heating,1,2690.0
Accommodation and Food Services,New York,BRONX,Los Amigos Restaurant,1,
Educational Services,New York,Astoria,,1,120000.0
"Arts, Entertainment, and Recreation",New York,Brooklyn,,1,4890.0
Accommodation and Food Services,New York,New York,,1,266.25
Administrative and Support and Waste Management and Remediation Services,New York,Brooklyn,,1,
"Professional, Scientific, and Technical Services",New Jersey,North Brunswick,,1,235000.0
"Arts, Entertainment, and Recreation",New York,New York,,1,7500.0
"Professional, Scientific, and Technical Services",New York,Brooklyn,,1,55224.0
Manufacturing,New Jersey,Edison,Absolute Green,1,
Accommodation and Food Services,New York,Amityville,Mr. Smiths's Seafood and More II,1,5500.0
