code1,program_count,program1,academicopportunities1,method1
X30A,1,Bronx Aerospace High School,The Aviation program teaches the engineering and aerodynamics involved in flying aircrafts to complete Ground School and pass the FAA Written Exam,Ed. Opt.
M28A,1,The Urban Assembly School for Emergency Management,"Emergency Medicine Pathway: free CUNY college credit and Emergency Medical Technician (EMT) certification, driver's training program, and preferential hiring with a hospital partner and the FDNY",Ed. Opt.
X20B,1,Instrumental Music,"Chancellor's Endorsed Diploma in Five Arts Studios- Drama, Dance (including hip hop), Instrumental Music (Jazz at Lincoln Center curriculum), Vocal Music, & Visual Arts",Audition
Q65A,1,Epic High School - North,Culturally relevant practices; Blended instruction with both teacher-led classes and use of digital resources; Real-world problem-based learning,Ed. Opt.
Y28A,1,Bronx Studio School for Writers and Artists,"Character Development: advisory, career development/occupational studies, leadership elevate, peer group connection (PGC Leaders), global leadership",Ed. Opt.
K97R,1,Sport Management,"Sports Management Executive Leadership, Business of Sport Journal, Student Leadership Council, Event Planning of PSAL Sporting Events.",Ed. Opt.
K69B,1,Computer Forensic Science and Technology,"FRC/FTC, Robotics, Justice Resource Center (JRC) partnership provides course pathways in Law Enforcement, AVID college- and career-readiness program",Ed. Opt.
Q38K,1,STEM Institute for Science Research,Our Pre-Med students take a rigorous slate of Honors and AP STEM classes while interning at prestigious universities and health facilities,Screened
X85R,1,The Bronxwood Preparatory Academy,"Saturday academy for tutoring, program for expanded online coursework and self-paced learning",Ed. Opt.
M64A,1,The Clinton School,"""IB for All""-11th and 12th grade Clintonians take three higher level and three standard level International Baccalaureate courses.",Screened
X93A,1,Academy for Excellence,Saturday Regents prep; PM school; Saturday school; PSAT/SAT Prep Courses; Academic Lunch Club,Ed. Opt.
L74A,1,Metropolitan Diploma Plus High School,The Learning to Work partner for Metropolitan Diploma Plus High School is New York City Mission Society.,Transfer
X42A,1,College and University Transitional Seminar,Academic programs are humanities-based and aligned to Common Core standards which ensure that students are prepared for college and university life.,Screened
Y56A,1,Digital Media/Recording Entertainment Technology,Students graduate with Career and Technical Education Diploma,Screened: Language
Y27A,1,Comprehensive Model School Project (CMSP),After-School and Saturday Tutoring,Open
Y42A,1,The Cinema School,Four-Year cinema studies curriculum in narrative filmmaking,Screened
L61A,1,Khalil Gibran International Academy,iLearnNYC: Program for expanded online coursework and self-paced learning,Ed. Opt.
R19A,1,Software Engineering Institute,International Baccalaureate (IB): Curtis HS is authorized by the IB Organization to offer the Diploma Programme.,Open
Q46A,1,Hillside Arts & Letters Academy,"Art, Music, Writing, Advisory Classes, Lifeguard Certification, College/Career Counseling, SAT Prep, CUNY College Now, & Regents Prep",Ed. Opt.
M12A,1,Arts & Technology,Spanish-LOTE,Ed. Opt.
Q20A,1,Jacob K. Javits Law Institute,iLearnNYC: Program for expanded online coursework and self-paced learning,Ed. Opt.
