project_name,total_project_units
2040 MCGRAW AVE APARTMENTS,24.0
37-42 30TH STREET,63.0
CLAREMONT PARK APARTMENTS.YR15.FY25,98.0
UPS. 1806 ANTHONY AVE,111.0
1644 NEW YORK AVENUE,36.0
2769 CRESTON AVENUE,44.0
MORNINGSIDE HEIGHTS III. HPO.FY25,58.0
1305 SHAKESPEARE AVENUE,8.0
JERICHO HOUSE,56.0
22-25 NEW HAVEN AVENUE APARTMENTS,26.0
21-07 ASTORIA BLVD APARTMENTS,68.0
TIMPSON PLACE HDFC.GHPP.FY25,64.0
NEW PENN DEVELOPMENT,12.0
GRAND & ROGERS CLUSTER (INCREASE).MPLP.FY25,16.0
EASTCHESTER HEIGHTS HDFC.HPO.FY25,2952.0
131 CONCORD STREET APARTMENTS,73.0
SOUTH BUSHWICK NEIGHBORHOOD HOMES (SBNH),8.0
23-10 42ND ROAD APARTMENTS,240.0
MASARYK TOWERS.HRP.FY25,219.0
CROTONA PARK WEST HDFC.HPO.FY24,179.0
THE TRIO APARTMENTS,34.0
FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE II),36.0
130 EAST 165TH STREET APARTMENTS,75.0
153 EAST 51 STREET,9.0
SALEM HOUSE.YR15.FY25,48.0
B&R.YR15.FY25,17.0
633 EAST 230 STREET,25.0
180 PENNSYLVANIA AVE APARTMENTS,50.0
WEST FARMS.HUDMF.FY25,276.0
256 MT HOPE PLACE_HPS,42.0
NORTH SHORE PLAZA.YR15.FY25,1524.0
