building_id_espm,address_1,building_id_espm_1,facility_name,address_1_1,facility_name_1,total_dimension1,average_dimension2
2640847,584 Broadway,2640847,584 Broadway LLC,584 Broadway,584 Broadway LLC,1347.85,
2806001,400 W. 37th St.,2806001,Hudson Crossing,400 W. 37th St.,Hudson Crossing,1115.91,
2717837,718 Broadway,2717837,718 Broadw,718 Broadway,718 Broadw,562.21,
2669668,583-587 Broadway,2669668,583-587 Broadway,583-587 Broadway,583-587 Broadway,917.54,
2825722,60 Washington Square South,2825722,Kimmel Center,60 Washington Square South,Kimmel Center,619.31,
2614197,40 Wall Street,2614197,40 Wall Street,40 Wall Street,40 Wall Street,,
2712491,100 Church Street,2712491,SL Green Realty Corporation 100 Church Street,100 Church Street,SL Green Realty Corporation 100 Church Street,6495.73,
2830982,635 EST 12TH ST.- CAMPUS PLAZA BLD #1,2830982,CAMPOS PLA,635 EST 12TH ST.- CAMPUS PLAZA BLD #1,CAMPOS PLA,1005.68,
2650518,555 West 23rd Street,2650518,555 West 23rd Street,555 West 23rd Street,555 West 23rd Street,1918.8,
2831236,636 WATER ST. ETAL / VLADECK HSES,2831236,VLADECK,636 WATER ST. ETAL / VLADECK HSES,VLADECK,,
2815137,101 Murray St,2815137,Manhattan,101 Murray St,Manhattan,1316.19,
3119603,530-542 W 27th St.,3119603,West 27th Street,530-542 W 27th St.,West 27th Street,236.37,
2831187,62 ESSEX ST - SEWARD PRK ENT BLDG 1,2831187,SEWARD PAR,62 ESSEX ST - SEWARD PRK ENT BLDG 1,SEWARD PAR,6016.08,
2685844,70 East 10th Street,2685844,DEPM 1802 - 70 East 10th St,70 East 10th Street,DEPM 1802 - 70 East 10th St,2996.14,
2921875,110 Greenwich Street,2921875,110 Greenwich Street,110 Greenwich Street,110 Greenwich Street,261.5,
2921358,16 Washington Mews,2921358,La Maison Francaise,16 Washington Mews,La Maison Francaise,4.9,
2684802,11 Waverly Place,2684802,11 Waverly Place,11 Waverly Place,11 Waverly Place,618.96,
2715852,270 Broadway (80 Chambers St.),2715852,The Tower 270 Condominium,270 Broadway (80 Chambers St.),The Tower 270 Condominium,,
2736217,53 Park Place,2736217,53 Park Place - Lionshead 53 Dev. LLC,53 Park Place,53 Park Place - Lionshead 53 Dev. LLC,695.47,
2676431,20 West St,2676431,(7406) - The Downtown Club Condominium,20 West St,(7406) - The Downtown Club Condominium,1499.63,
2921353,8 Washington Mews,2921353,8 Washington Mews,8 Washington Mews,8 Washington Mews,0.01,
2660336,41 East 11th St,2660336,41 East 11th St,41 East 11th St,41 East 11th St,1293.87,70740.0
2379262,345 Hudson street,2379262,Trinity -,345 Hudson street,Trinity -,7230.74,
3002051,27 East 13th Street,3002051,27 East 13,27 East 13th Street,27 East 13,,
2704587,37 West 12th Street,2704587,DEPM 2934,37 West 12th Street,DEPM 2934,1297.37,
3129002,40 Broad St,3129002,(7554) - The Setai,40 Broad St,(7554) - The Setai,2332.12,
2787039,303 Mercer Street,2787039,Snug Harbo,303 Mercer Street,Snug Harbo,587.04,
3114290,511-541 W 25th Street,3114290,25th Stree,511-541 W 25th Street,25th Stree,906.4,
2811083,409 Layfayette St.,2811083,409 Lafaye,409 Layfayette St.,409 Lafaye,427.26,
3114461,450 West 17th Street,3114461,The Caledo,450 West 17th Street,The Caledo,4594.12,
2660516,200 East 5th Street,2660516,Cooper Squ,200 East 5th Street,Cooper Squ,537.3,
2975793,134-140 Grand Street,2975793,Ironclad A,134-140 Grand Street,Ironclad A,468.2,
2640841,180 Varick Street,2640841,180 Varick LLC,180 Varick Street,180 Varick LLC,1810.39,
2921365,10 Washington Mews,2921365,10 Washington Mews,10 Washington Mews,10 Washington Mews,,
1423560,55 Broad Street,1423560,55 Broad S,55 Broad Street,55 Broad S,4064.18,
3128193,180 West Houston Street,3128193,Houston St,180 West Houston Street,Houston St,718.03,
2809195,780 Greenwich Street,2809195,780 Greenwich Street,780 Greenwich Street,780 Greenwich Street,380.65,
1423089,80 Pine Street,1423089,80 Pine St,80 Pine Street,80 Pine St,13674.36,
3115614,684 Broadway,3115614,684 Broadw,684 Broadway,684 Broadw,589.24,
2831030,427 WEST 26TH STREET - ELLIOT HOUSE,2831030,ELLIOTT,427 WEST 26TH STREET - ELLIOT HOUSE,ELLIOTT,,
2817542,740 Broadway,2817542,740 Broadw,740 Broadway,740 Broadw,2537.1,
2682647,59 West 12 Street,2682647,(8084) - 59 West 12 Street,59 West 12 Street,(8084) - 59 West 12 Street,750.09,
2732119,670 Broadway,2732119,670 Broadw,670 Broadway,670 Broadw,484.06,
2704649,24 Fifth Avenue,2704649,DEPM 2964,24 Fifth Avenue,DEPM 2964,2500.63,
1413685,175 Water Street,1413685,175 Water,175 Water Street,175 Water,4485.8,
3114446,535 West 23rd Street,3114446,Tate,535 West 23rd Street,Tate,1955.08,
2654417,21 South End Avenue,2654417,Milstein -,21 South End Avenue,Milstein -,4195.7699999999995,
2641248,160 East 3rd Street,2641248,156-168 Ea,160 East 3rd Street,156-168 Ea,432.16,
2425340,101 Ludlow St,2425340,101 Ludlow,101 Ludlow St,101 Ludlow,666.06,
2831062,189 ALLEN STREET - HERNANDEZ HOUSES,2831062,HERNANDEZ,189 ALLEN STREET - HERNANDEZ HOUSES,HERNANDEZ,1778.26,
