green_power_onsite_and_offsite,indoor_water_use_intensity,alert_energy_meter_has_less,indirect_ghg_emissions,electricity_use_grid_purchase_3,water_use_intensity_all_water,alert_energy_no_meters
0,12.82,Ok,1.5,778240,12.82,Ok
0,155.88,Ok,2.3,890400.1,155.88,Ok
0,160.11,Ok,1.3,527360,160.11,Ok
0,194.09,Ok,1.3,518800,194.09,Ok
0,67.21,Ok,1.2,452320,67.21,Ok
0,79.24,Ok,1.6,340320,79.24,Ok
3702250,14.2,Ok,3.9,3702250,14.2,Ok
0,14.23,Ok,1.3,547600,14.23,Ok
0,6.67,Ok,5.1,2951108,6.67,Ok
0,88.12,Ok,1.0,354240,88.12,Ok
0,0.81,Ok,1.4,358560,0.81,Ok
0,19.02,Ok,7.2,5145090,19.02,Ok
190717.3,222.27,Ok,1.0,856317.3,222.27,Ok
0,23056.02,Ok,1.5,957600,23056.02,Ok
0,4.78,Ok,5.3,10320540,4.78,Ok
0,10.9,Ok,1.3,475600,10.9,Ok
0,13.89,Ok,5.4,14617310,13.89,Ok
0,78.61,Ok,2.7,1166800,78.61,Ok
0,41.17,Ok,1.1,562800,41.17,Ok
0,69.37,Ok,2.2,1087200,69.37,Ok
0,72.25,Ok,1.3,517600,72.25,Ok
0,0.04,Ok,1.1,395760,0.04,Ok
0,51.92,Ok,1.0,349440,51.92,Ok
0,Not Available,Ok,5.7,17703040,Not Available,Ok
0,Not Available,Ok,4.0,7478831,Not Available,Ok
0,Not Available,Ok,3.0,450400,Not Available,Ok
0,Not Available,Ok,2.0,1256800,Not Available,Ok
0,Not Available,Ok,1.5,591400,Not Available,Ok
0,0,Ok,2.2,288960,0,Ok
0,0,Ok,1.2,477600,0,Ok
0,125.74,Ok,1.4,224160,125.74,Ok
0,136.94,Ok,1.2,3160000,136.94,Ok
0,139.22,Ok,3.6,833200,139.22,Ok
0,157.39,Ok,4.9,2468400,157.39,Ok
0,48.4,Ok,2.1,507360,48.4,Ok
0,278.45,Ok,1.4,457920,278.45,Ok
0,51.67,Ok,1.3,486800,51.67,Ok
0,56.88,Ok,1.3,697600,56.88,Ok
0,85.03,Ok,1.3,605600,85.03,Ok
