t1_job__,t2_job__,t1_bin__,t3_bin__,sign_advertising,job_status,latest_action_date,record_count,total_amount,avg_amount,max_amount,min_amount
421561937,421561937,4111794,4111794,BUSINESS,D,08/24/2017 00:00:00,6,600.0,100.0,100.0,100.0
421541317,421541317,4146186,4146186,BUSINESS,D,08/25/2017 00:00:00,6,600.0,100.0,100.0,100.0
421541317,421541317,4146186,4146186,BUSINESS,D,08/24/2017 00:00:00,9,900.0,100.0,100.0,100.0
421541317,421541317,4146186,4146186,BUSINESS,D,10/05/2017 00:00:00,6,600.0,100.0,100.0,100.0
321567327,321567327,3128805,3128805,BUSINESS,R,10/11/2017 00:00:00,10,1000.0,100.0,100.0,100.0
421554026,421554026,4223565,4223565,BUSINESS,D,09/14/2017 00:00:00,6,600.0,100.0,100.0,100.0
123334980,123334980,1088870,1088870,BUSINESS,R,09/12/2017 00:00:00,24,2400.0,100.0,100.0,100.0
421541317,421541317,4146186,4146186,BUSINESS,D,08/16/2017 00:00:00,6,600.0,100.0,100.0,100.0
123334944,123334944,1088870,1088870,BUSINESS,R,10/03/2017 00:00:00,6,600.0,100.0,100.0,100.0
123334944,123334944,1088870,1088870,BUSINESS,R,09/12/2017 00:00:00,24,2400.0,100.0,100.0,100.0
421554026,421554026,4223565,4223565,BUSINESS,D,08/24/2017 00:00:00,6,600.0,100.0,100.0,100.0
220614725,220614725,2057273,2057273,BUSINESS,D,08/16/2017 00:00:00,6,600.0,100.0,100.0,100.0
220614725,220614725,2057273,2057273,BUSINESS,D,09/14/2017 00:00:00,9,900.0,100.0,100.0,100.0
123334944,123334944,1088870,1088870,BUSINESS,R,10/04/2017 00:00:00,12,1200.0,100.0,100.0,100.0
421560787,421560787,4208831,4208831,BUSINESS,R,09/12/2017 00:00:00,8,800.0,100.0,100.0,100.0
123334980,123334980,1088870,1088870,BUSINESS,R,10/03/2017 00:00:00,6,600.0,100.0,100.0,100.0
520309498,520309498,5155571,5155571,BUSINESS,R,08/30/2017 00:00:00,6,600.0,100.0,100.0,100.0
421561937,421561937,4111794,4111794,BUSINESS,D,09/14/2017 00:00:00,6,600.0,100.0,100.0,100.0
421541317,421541317,4146186,4146186,BUSINESS,D,09/14/2017 00:00:00,9,900.0,100.0,100.0,100.0
220614725,220614725,2057273,2057273,BUSINESS,D,08/25/2017 00:00:00,6,600.0,100.0,100.0,100.0
220614725,220614725,2057273,2057273,BUSINESS,D,08/24/2017 00:00:00,9,900.0,100.0,100.0,100.0
123334980,123334980,1088870,1088870,BUSINESS,R,10/04/2017 00:00:00,12,1200.0,100.0,100.0,100.0
321609648,321609648,3414141,3414141,BUSINESS,R,10/11/2017 00:00:00,8,800.0,100.0,100.0,100.0
220614725,220614725,2057273,2057273,BUSINESS,D,10/05/2017 00:00:00,6,600.0,100.0,100.0,100.0
123035919,123035919,1035053,1035053,BUSINESS,P,07/28/2017 00:00:00,6,600.0,100.0,100.0,100.0
