brooklyn_cooperatives_comparable_properties_boro_block_lot,total_est_gross_income
3-00238-0035,2959961.0
3-01091-0035,5302340.0
3-05279-0019,5302340.0
3-08669-0068,560032.0
3-00238-0061,945868.0
3-05064-0029,809150.0
3-01106-0019,5302340.0
3-01106-0016,5302340.0
3-07674-0021,362021.0
3-01433-0060,188850.0
3-01173-0040,312541.0
3-07440-0028,803275.0
3-02715-0005,324883.0
3-02338-0023,470925.0
3-06462-0040,1495679.0
3-07158-0063,1067573.0
3-05597-0061,186400.0
3-05268-0033,1442516.0
3-05988-0045,1054771.0
3-01106-0014,5302340.0
3-01066-0063,167092.0
3-01059-0055,1263228.0
3-05424-0001,1488930.0
3-01165-0011,184055.0
3-00235-0044,515292.0
3-05257-0045,5302340.0
3-05209-0022,132897.0
3-06296-0046,642575.0
3-05060-0008,898270.0
3-01943-0006,1713866.0
3-05329-0062,372376.0
3-01073-0041,5302340.0
3-00236-0018,878834.0
3-07464-0035,2137345.0
3-06111-0001,2071843.0
3-06503-0020,1271555.0
3-01179-0066,631008.0
3-06681-0415,1776890.0
3-00217-0001,8500147.0
3-01107-0009,5302340.0
3-05611-0044,296600.0
3-00261-0018,630134.0
3-05375-0049,1057200.0
3-00208-0331,2013897.0
3-01208-0038,197921.0
3-01083-0045,5302340.0
