boroughname,permittypedesc,total,average,count
BROOKLYN,DOT IN-HOUSE MILLING,,,67
BROOKLYN,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV,,,2
BROOKLYN,"TEST PITS, CORES OR BORING - PROTECTED",300.0,300.0,1
BROOKLYN,COMMERCIAL REFUSE CONTAINER CRITICAL STS,,,3
BROOKLYN,DOT IN-HOUSE PAVING,,,71
BROOKLYN,TEMPORARY PEDESTRIAN WALK,,,2
BROOKLYN,CONTRACT ROADWAY MILLING,369600.0,5280.0,70
BROOKLYN,COMMERCIAL REFUSE CONTAINER,,,45
BROOKLYN,DOT USE ONLY-FULL ROADWAY CLOSURE APPL'S,,,1
QUEENS,COMMERCIAL REFUSE CONTAINER,,,1
MANHATTAN,UTILITY MANHOLE EMBARGO PERMIT,,,16
