incident_address,incident_address_1,incident_zip,intersection_street_1,intersection_street_2,location_type,total_y_coordinate_state_plane
1249 SUTTER AVENUE,1249 SUTTER AVENUE,11208,DOSCHER STREET,EUCLID AVENUE,Street/Sidewalk,184414.0
1503 85 STREET,1503 85 STREET,11228,15 AVENUE,16 AVENUE,Street/Sidewalk,162170.0
623 WEST 170 STREET,623 WEST 170 STREET,10032,BROADWAY,FORT WASHINGTON AVENUE,Street/Sidewalk,246312.0
611 GREENWOOD AVENUE,611 GREENWOOD AVENUE,11218,GREENWOOD AVENUE PEDESTRIAN OVPS,EAST 7 STREET,Street/Sidewalk,176644.0
117-06 NASHVILLE BOULEVARD,117-06 NASHVILLE BOULEVARD,11411,LINDEN BOULEVARD,118 AVENUE,Street/Sidewalk,192977.0
99 CHESTNUT STREET,99 CHESTNUT STREET,11208,ETNA STREET,RIDGEWOOD AVENUE,Street/Sidewalk,189056.0
101-01 35 AVENUE,101-01 35 AVENUE,11368,101 STREET,102 STREET,Street/Sidewalk,214152.0
22 WEST 48 STREET,22 WEST 48 STREET,10036,5 AVENUE,ROCKEFELLER PLAZA,Street/Sidewalk,215325.0
499 BERGEN STREET,499 BERGEN STREET,11217,6 AVENUE,CARLTON AVENUE,Street/Sidewalk,187213.0
200 BROOME STREET,200 BROOME STREET,10002,SUFFOLK STREET,NORFOLK STREET,Street/Sidewalk,200591.0
329 LINDEN STREET,329 LINDEN STREET,11237,IRVING AVENUE,MYRTLE AVENUE,Street/Sidewalk,193921.0
5-47 50 AVENUE,5-47 50 AVENUE,11101,5 STREET,VERNON BOULEVARD,Street/Sidewalk,403232640.0
493 DEAN STREET,493 DEAN STREET,11217,6 AVENUE,CARLTON AVENUE,Street/Sidewalk,187523.0
149 GELSTON AVENUE,149 GELSTON AVENUE,11209,90 STREET,92 STREET,Street/Sidewalk,328688.0
1 BOWLING GREEN,1 BOWLING GREEN,10004,STONE STREET,BEAVER STREET,Street/Sidewalk,783480.0
1265 WARD AVENUE,1265 WARD AVENUE,10472,WESTCHESTER AVENUE,EAST172 STREET,Street/Sidewalk,241955.0
2548 EAST 27 STREET,2548 EAST 27 STREET,11235,AVENUE Y,AVENUE Z,Street/Sidewalk,154351.0
510 FLATBUSH AVENUE,510 FLATBUSH AVENUE,11225,EMPIRE BOULEVARD,LEFFERTS AVENUE,Street/Sidewalk,180403.0
83-72 VIETOR AVENUE,83-72 VIETOR AVENUE,11373,BROADWAY,JUDGE STREET,Street/Sidewalk,419772.0
40-49 74 STREET,40-49 74 STREET,11373,BROADWAY,41 AVENUE,Street/Sidewalk,210860.0
33-08 169 STREET,33-08 169 STREET,11358,33 AVENUE,35 AVENUE,Street/Sidewalk,218801.0
807 44 STREET,807 44 STREET,11220,8 AVENUE,9 AVENUE,Street/Sidewalk,348056.0
500 WEST 30 STREET,500 WEST 30 STREET,10001,HIGH LINE,HIGH LINE,Street/Sidewalk,426592.0
60-14 55 DRIVE,60-14 55 DRIVE,11378,60 STREET,BORDEN AVENUE,Street/Sidewalk,203732.0
71-01 PARSONS BOULEVARD,71-01 PARSONS BOULEVARD,11365,71 AVENUE,72 AVENUE,Street/Sidewalk,129356640.0
1522 GREENE AVENUE,1522 GREENE AVENUE,11237,WYCKOFF AVENUE,ST NICHOLAS AVENUE,Street/Sidewalk,195430.0
2860 KINGSBRIDGE TERRACE,2860 KINGSBRIDGE TERRACE,10463,WEST 229 STREET,WEST230 STREET,Street/Sidewalk,773421.0
140-17 84 DRIVE,140-17 84 DRIVE,11435,BURDEN CRESCENT,85 ROAD,Street/Sidewalk,395746.0
14-18 117 STREET,14-18 117 STREET,11356,14 AVENUE,14 ROAD,Street/Sidewalk,225382.0
142-15 110 AVENUE,142-15 110 AVENUE,11435,111 AVENUE,143 STREET,Street/Sidewalk,189285.0
898 LEXINGTON AVENUE,898 LEXINGTON AVENUE,10065,EAST 66 STREET,EAST 67 STREET,Street/Sidewalk,218770.0
275 GLENMORE AVENUE,275 GLENMORE AVENUE,11207,HINSDALE STREET,WILLIAMS AVENUE,Street/Sidewalk,4423464.0
514 79 STREET,514 79 STREET,11209,5 AVENUE,6 AVENUE,Street/Sidewalk,669740.0
23-15 39 AVENUE,23-15 39 AVENUE,11101,23 STREET,24 STREET,Street/Sidewalk,429038.0
576 5 AVENUE,576 5 AVENUE,10036,EAST 46 STREET,EAST 47 STREET,Street/Sidewalk,214894.0
100 MESEROLE AVENUE,100 MESEROLE AVENUE,11222,LORIMER STREET,MANHATTAN AVENUE,Street/Sidewalk,81657200.0
1569 WEST TENTH STREET,1569 WEST TENTH STREET,11204,AVENUE O,AVENUE P,Street/Sidewalk,161004.0
2871E EAST 194 STREET,2871E EAST 194 STREET,10461,MAYFLOWER AVENUE,HOBART AVENUE,Street/Sidewalk,249903.0
34-25 109 STREET,34-25 109 STREET,11368,34 AVENUE,35 AVENUE,Street/Sidewalk,429556.0
EAST 170 STREET,EAST 170 STREET,10456,EAST 170 STREET,PARK AVENUE,Street/Sidewalk,243768.0
168-01 UNION TURNPIKE,168-01 UNION TURNPIKE,11366,168 STREET,169 STREET,Street/Sidewalk,535246800.0
37-69 WARREN STREET,37-69 WARREN STREET,11372,37 AVENUE,ROOSEVELT AVENUE,Street/Sidewalk,212870.0
35-63 95 STREET,35-63 95 STREET,11372,35 AVENUE,37 AVENUE,Street/Sidewalk,213549.0
