doing_business_as_dba,qualify_alcohol,total,average,count
Carra LLC,True,65.0,65.0,1
R &amp; J LOUNGE,True,36.0,36.0,1
Paris Oven Inc,False,20.0,20.0,1
EAST COAST BURGERS,True,28.0,28.0,1
Springbone Kitchen,False,19.0,19.0,1
"Laguna Azul 1910, Inc.",True,42.0,42.0,1
SAN MARZANO,True,87.0,87.0,1
ROW HOUSE,True,,,1
Tito Murphys,True,34.0,34.0,1
RedFarm,True,34.0,34.0,1
PEE DEE STEAK,False,,,1
Sunrise Mart Inc.,True,27.0,27.0,1
Affys Premium Grill,False,20.0,20.0,1
Il Brigante Restaurant,True,,,1
LA TRONCALENA RESTAURANT,True,25.0,25.0,1
81 PEARL STREET V ENTURE LTD,True,,,1
Fleming By Le Bilboquet,True,36.0,36.0,1
Xochil Pizza Corp,False,,,1
absurd conclave,False,50.0,50.0,1
MCDONALD'S,False,45.0,45.0,1
Fresh Sub 168 Inc,False,30.0,30.0,1
Noree Thai Bazaar,True,20.0,20.0,1
la villa pizza,True,40.0,40.0,1
Sweet Polly,True,20.0,20.0,1
Kitsby Cafe Inc,False,16.0,16.0,1
Basta Pasta,True,40.0,40.0,1
MALA PROJECT,True,,,1
KEUR COUMBA RESTAURANT,False,44.0,44.0,1
TOSOCCHON,True,43.0,43.0,1
Le Pain Quotidien,False,65.0,32.5,2
THE DUPLEX,True,95.0,95.0,1
Healthy Joe's,False,20.0,20.0,1
P J Horgan's,True,,,1
pasiones sport bar,True,18.0,18.0,1
SWEETGREEN,False,420.0,35.0,12
GULSHAN TERRACE,True,100.0,100.0,1
LOS CAFETALES RESTAURANT CORP,False,56.0,14.0,4
HOU YI HOT POT,True,15.0,15.0,1
Kobe 1 Inc.,True,19.0,19.0,1
Gerizim Burger Factory,False,30.0,15.0,2
Thai Farm Kitchen Seaport,True,30.0,30.0,1
Graziella's Restaurant,True,50.0,50.0,1
jaya 888,True,50.0,50.0,1
CHINESE RESTAURANT,False,,,1
TROPILYZ B RESTAURANT INC,False,15.0,15.0,1
Asian Kabab and Curry Inc,False,20.0,20.0,1
The Wilky,True,,,1
1974,False,20.0,20.0,1
THE IZAKAYA,False,25.0,25.0,1
