program_name,site_id,program_name_1,site_id_1,total_instructional_support
P.S. 126 Jacob August Riis,02M126,P.S. 126 Jacob August Riis,02M126,2.1
P.S. 153 Maspeth Elem,Z064,P.S. 153 Maspeth Elem,Z064,3.0
P.S. 36 J. C. Drumgoole,30Q017,P.S. 36 J. C. Drumgoole,30Q017,7.4
P.S. 174 William Sidney Mount,27Q097,P.S. 174 William Sidney Mount,27Q097,3.8
P.S. 221 The North Hills School,25Q107,P.S. 221 The North Hills School,25Q107,
P.S. 192 - The Magnet School for Math and Science Inquiry,19K273,P.S. 192 - The Magnet School for Math and Science Inquiry,19K273,
Yeshiva Jesode Hatorah,31R056,Yeshiva Jesode Hatorah,31R056,2.3
P.S. 111 Adolph S. Ochs,02M111,P.S. 111 Adolph S. Ochs,02M111,3.2
P.S. 101 School in the Gardens,27Q051,P.S. 101 School in the Gardens,27Q051,5.0
P.S. 129 Patricia Larkin,23K599,P.S. 129 Patricia Larkin,23K599,3.9
Saint Marks,KAXC,Saint Marks,KAXC,8.7
Tiferes Bnos,KBJP,Tiferes Bnos,KBJP,7.6
P.S. 136 Roy Wilkins,27Q316,P.S. 136 Roy Wilkins,27Q316,2.9
P.S. 34 Oliver H. Perry,13K133,P.S. 34 Oliver H. Perry,13K133,
P.S. 102 Bayview,22K361,P.S. 102 Bayview,22K361,3.4
P.S. 178 Saint Clair Mckelway,22K194,P.S. 178 Saint Clair Mckelway,22K194,
P.S. 42 Eltingville,30Q078,P.S. 42 Eltingville,30Q078,10.6
P.S. 169 Bay Terrace,24Q081,P.S. 169 Bay Terrace,24Q081,
P.S. 115 Daniel Mucatel School,17K191,P.S. 115 Daniel Mucatel School,17K191,9.3
P.S. 23 The New Children's School,09X236,P.S. 23 The New Children's School,09X236,17.2
KESHET LEARNING CENTER,KBPL,KESHET LEARNING CENTER,KBPL,5.4
The STAR Academy - P.S. 63,01M063,The STAR Academy - P.S. 63,01M063,
Urban Scholars Community School,12X067,Urban Scholars Community School,12X067,11.100000000000001
All My Children Day Care 10,KBAZ,All My Children Day Care 10,KBAZ,7.5
Stuyvesant Heights Day Care/New Vision One,MACU,Stuyvesant Heights Day Care/New Vision One,MACU,6.2
Wave Preparatory Elementary School,26Q213,Wave Preparatory Elementary School,26Q213,
P.S. 193 Gil Hodges,21K100,P.S. 193 Gil Hodges,21K100,3.2
P.S. 234,29Q037,P.S. 234,29Q037,3.1
Barkai Yeshivah,31R057,Barkai Yeshivah,31R057,9.0
P.S. 244 Richard R. Green,17K375,P.S. 244 Richard R. Green,17K375,17.2
ACE Early Childhood Center,KBKJ,ACE Early Childhood Center,KBKJ,14.7
P.S. 73 Bronx,08X392,P.S. 73 Bronx,08X392,2.3
The Maurice Sendak Community School,14K297,The Maurice Sendak Community School,14K297,23.799999999999997
"Al Madinah School, Inc.",KBWQ,"Al Madinah School, Inc.",KBWQ,15.399999999999999
P.S. 130 Hernando De Soto,02M130,P.S. 130 Hernando De Soto,02M130,6.2
P.S. 175 Henry H Garnet,05M092,P.S. 175 Henry H Garnet,05M092,2.7
Brite Adventure Center (30th Avenue),QBGI,Brite Adventure Center (30th Avenue),QBGI,2.1
P.S. 31 Samuel F. Dupont,13K093,P.S. 31 Samuel F. Dupont,13K093,
Small World Preschool,XAIF,Small World Preschool,XAIF,2.9
Bushwick United HDFC 2,KBQF,Bushwick United HDFC 2,KBQF,11.6
P.S. 230 Doris L. Cohen,15K024,P.S. 230 Doris L. Cohen,15K024,8.4
Smart Start Early Childhood Center,KBON,Smart Start Early Childhood Center,KBON,11.2
Boulevard Nursery School,KBMU,Boulevard Nursery School,KBMU,12.0
Riverdale Avenue Community School,22K217,Riverdale Avenue Community School,22K217,8.4
P.S. 75 Mayda Cortiella,Z070,P.S. 75 Mayda Cortiella,Z070,13.2
"PHEBEANA PRESCHOOL, INC.",KBMB,"PHEBEANA PRESCHOOL, INC.",KBMB,12.600000000000001
Kathy's Day Care,RACL,Kathy's Day Care,RACL,3.0
P.S. 6 Corporal Allan F. Kivlehan School,29Q134,P.S. 6 Corporal Allan F. Kivlehan School,29Q134,6.2
P.S. 146 Ann M. Short,04M072,P.S. 146 Ann M. Short,04M072,4.2
P.S. 155 William Paca,04M083,P.S. 155 William Paca,04M083,4.5
