type,ntacode,total,average,count
Free,MN40,12.0,4.0,3
Free,MN03,9.0,9.0,1
Free,MN20,4.0,2.0,2
Limited Free,BX99,16.0,16.0,1
Free,BK90,34.0,34.0,1
Limited Free,SI36,150.0,50.0,3
Free,BK38,33.0,33.0,1
Free,MN35,10.0,10.0,1
Free,BK95,40.0,40.0,1
Limited Free,QN10,32.0,32.0,1
Free,MN12,19.0,6.333333333333333,3
Free,MN24,2.0,1.0,2
Free,QN68,26.0,26.0,1
Free,BK82,42.0,42.0,1
Free,MN11,18.0,9.0,2
Limited Free,MN14,6.0,6.0,1
Free,MN25,1.0,1.0,1
Free,BX34,17.0,17.0,1
Free,MN21,2.0,2.0,1
Free,BK32,38.0,38.0,1
Limited Free,QN54,28.0,28.0,1
Free,BK73,68.0,34.0,2
Free,MN15,6.0,3.0,2
Free,QN61,27.0,27.0,1
Free,MN17,12.0,4.0,3
Free,MN09,27.0,6.75,4
Limited Free,BK99,39.0,39.0,1
Free,MN19,4.0,4.0,1
Free,MN13,6.0,3.0,2
Free,BX39,8.0,8.0,1
Free,BK37,78.0,39.0,2
Free,MN34,25.0,8.333333333333334,3
