sitename,total_ifridayopen,providername,building,building_1
Our Lady of Pompeii Sr. Center,,AARP Tax Aide,238,238
East Flatbush Kings County Hospital NYC Health+Hospitals,11.0,Grow Brooklyn,451,451
Northern Manhattan Improvement Corporation,9.0,Food Bank For New York City,45,45
Tremont Library,10.0,Food Bank For New York City,1866,1866
"""NYCHA Armstrong I & II, Marcy & Lafayette Houses - Bedford Stuyvesant Restoration Corporation- Flushing """,9.5,Food Bank For New York City,630,630
Sunnyside,,Urban Upbound,43-31,43-31
NYCHA Brooklyn Community Service Farragut Cornerstone,11.0,Food Bank For New York City,228,228
Office of Council Member Deutsch,,Grow Brooklyn,2401,2401
EDENWALD,,MMCC,1150,1150
