staddr,t5_staddr,valtype,taxclass,owner,period,total,count,average
HENRY STREET,HENRY STREET,AC-TR,4,DCAS,FINAL,5475600.0,12,456300.0
EAST 109 STREET,EAST 109 STREET,AC-TR,4,PARKS AND RECREATION,FINAL,2535300.0,9,281700.0
MAJ WM DEEGAN BLVD,MAJ WM DEEGAN BLVD,AC-TR,4,NYC DOT,FINAL,36000.0,200,180.0
MAJ WM DEEGAN BLVD,MAJ WM DEEGAN BLVD,AC-TR,3,NYC DOT,FINAL,27000.0,150,180.0
HOPKINSON AVENUE,HOPKINSON AVENUE,AC-TR,1B,PARKS AND RECREATION,FINAL,19395.0,9,2155.0
CO-OP CITY BOULEVARD,CO-OP CITY BOULEVARD,AC-TR,1B,NYC DOT,FINAL,14020.0,5,2804.0
PELHAM PARKWAY,PELHAM PARKWAY,AC-TR,4,DCAS,FINAL,5400.0,12,450.0
EAST 175 STREET,EAST 175 STREET,AC-TR,1B,DCAS,FINAL,720.0,12,60.0
GATES AVENUE,GATES AVENUE,AC-TR,1B,DCAS,FINAL,720.0,12,60.0
HUNT AVENUE,HUNT AVENUE,AC-TR,1B,DCAS,FINAL,720.0,12,60.0
HUNTS POINT AVENUE,HUNTS POINT AVENUE,AC-TR,4,EAST HARLEM UNITY COM,FINAL,450.0,3,150.0
ST MARKS AVENUE,ST MARKS AVENUE,AC-TR,4,363 PROSPECT PLACE LL,FINAL,60.0,2,30.0
