location_code,total_avg_property_incidents,location_name,rangea,school_year
K738,,New Visions Charter High School for Advanced Math,1-250,2016 - 17
K455,,1700 FULTON STREET CONSOLIDATED LOCATION,251-500,2016 - 17
K012,1.26,430 HOWARD AVENUE CONSOLIDATED LOCATION,251-500,2016 - 17
K179,0.63,P.S. 179 Kensington,251-500,2016 - 17
M158,1.26,P.S. 158 Bayard Taylor,251-500,2016 - 17
K366,0.63,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,251-500,2016 - 17
M212,2.04,P.S. 212 Midtown West,1-250,2016 - 17
M408,,Professional Performing Arts High School,251-500,2016 - 17
M084,3.92,P.S. 084 Lillian Weber,751-1000,2016 - 17
K630,,Professional Pathways High School,251-500,2016 - 17
X368,,In-Tech Academy (M.S. / High School 368),251-500,2016 - 17
K031,0.75,P.S. 031 Samuel F. Dupont,501-750,2016 - 17
K405,2.55,Midwood High School,1751-2000,2016 - 17
X377,,Bronx Community High School,251-500,2016 - 17
K078,,J.H.S. 078 Roy H. Mann,501-750,2016 - 17
X434,3.63,Belmont Preparatory High School,2001-2500,2016 - 17
M149,0.63,34 WEST 118 STREET,251-500,2016 - 17
M234,,P.S. 234 Independence School,251-500,2016 - 17
K223,,4200 16 AVENUE CONSOLIDATED LOCATION,1001-1250,2016 - 17
M047,,223 EAST 23 STREET CONSOLIDATED LOCATION,1-250,2016 - 17
K373,,P.S. 373 - Brooklyn Transition Center,251-500,2016 - 17
K147,2.25,P.S. 147 Isaac Remsen,501-750,2016 - 17
K553,1.96,Brooklyn Academy High School,751-1000,2016 - 17
M194,,P.S. 194 Countee Cullen,251-500,2016 - 17
K674,,"City Polytechnic High School of Engineering, Archi",501-750,2016 - 17
Q014,1.39,P.S. 014 Fairview,1001-1250,2016 - 17
K041,0.63,P.S. 041 Francis White,251-500,2016 - 17
Q008,2.55,108-35 167 STREET CONSOLIDATED LOCATION,1751-2000,2016 - 17
K414,0.75,325 SOUTH  3 STREET CONSOLIDATED LOCATION,501-750,2016 - 17
K301,0.63,Satellite East Middle School,251-500,2016 - 17
K670,0.75,Benjamin Banneker Academy,501-750,2016 - 17
K712,,EXCELLENCE GIRLS CHARTER SCHOOL(BN),1-250,2016 - 17
K580,,105 TECH PLACE CONSOLIDATED LOCATION,251-500,2016 - 17
M223,,The Mott Hall School,501-750,2016 - 17
K628,,Brooklyn Brownstone School,1-250,2016 - 17
K195,0.75,P.S. 195 Manhattan Beach,501-750,2016 - 17
M084,3.92,32 WEST  92 STREET CONSOLIDATED LOCATION,1-250,2016 - 17
K420,,999 JAMAICA AVENUE CONSOLIDATED LOCATION,1-250,2016 - 17
Q176,0.98,P.S. 176 Cambria Heights,751-1000,2016 - 17
M452,,P.S. 452,501-750,2016 - 17
M042,0.75,P.S. 042 Benjamin Altman,501-750,2016 - 17
M079,0.75,P.S. M079 - Horan School,501-750,2016 - 17
K243,0.51,P.S. 243K- The Weeksville School,1-250,2016 - 17
M539,0.75,"New Explorations into Science, Technology and Math",501-750,2016 - 17
K104,1.72,P.S./I.S. 104 The Fort Hamilton School,1251-1500,2016 - 17
X600,,333 EAST 151 STREET CONSOLIDATED LOCATION,,2016 - 17
K284,0.98,P.S. 284 Lew Wallace,751-1000,2016 - 17
K285,0.63,I.S. 285 Meyer Levin,251-500,2016 - 17
R021,0.75,P.S. 21 Margaret Emery-Elm Park,501-750,2016 - 17
M094,2.25,P.S. M094,501-750,2016 - 17
