facility_name,facility_name_t4,address_1,category,count,avg_value,total_value,max_value
584 Broadway LLC,584 Broadway LLC,584 Broadway,Low Emissions,1,1347.85,1347.85,1347.85
Hudson Crossing,Hudson Crossing,400 W. 37th St.,Low Emissions,1,1115.91,1115.91,1115.91
La Maison Francaise,La Maison Francaise,16 Washington Mews,Low Emissions,1,4.9,4.9,4.9
Tate,Tate,535 West 23rd Street,Low Emissions,1,1955.08,1955.08,1955.08
409 Lafaye,409 Lafaye,409 Layfayette St.,Low Emissions,1,427.26,427.26,427.26
Milstein -,Milstein -,21 South End Avenue,Low Emissions,3,1398.59,4195.7699999999995,1398.59
Houston St,Houston St,180 West Houston Street,Low Emissions,1,718.03,718.03,718.03
DEPM 1802 - 70 East 10th St,DEPM 1802 - 70 East 10th St,70 East 10th Street,Low Emissions,1,2996.14,2996.14,2996.14
41 East 11th St,41 East 11th St,41 East 11th St,Low Emissions,1,1293.87,1293.87,1293.87
156-168 Ea,156-168 Ea,160 East 3rd Street,Low Emissions,1,432.16,432.16,432.16
684 Broadw,684 Broadw,684 Broadway,Low Emissions,1,589.24,589.24,589.24
CAMPOS PLA,CAMPOS PLA,635 EST 12TH ST.- CAMPUS PLAZA BLD #1,Low Emissions,4,251.42,1005.68,251.42
Trinity -,Trinity -,345 Hudson street,Medium Emissions,1,7230.74,7230.74,7230.74
780 Greenwich Street,780 Greenwich Street,780 Greenwich Street,Low Emissions,1,380.65,380.65,380.65
80 Pine St,80 Pine St,80 Pine Street,High Emissions,1,13674.36,13674.36,13674.36
Kimmel Center,Kimmel Center,60 Washington Square South,Low Emissions,1,619.31,619.31,619.31
HERNANDEZ,HERNANDEZ,189 ALLEN STREET - HERNANDEZ HOUSES,Low Emissions,1,1778.26,1778.26,1778.26
SL Green Realty Corporation 100 Church Street,SL Green Realty Corporation 100 Church Street,100 Church Street,Medium Emissions,1,6495.73,6495.73,6495.73
Manhattan,Manhattan,101 Murray St,Low Emissions,1,1316.19,1316.19,1316.19
Snug Harbo,Snug Harbo,303 Mercer Street,Low Emissions,1,587.04,587.04,587.04
The Caledo,The Caledo,450 West 17th Street,Low Emissions,1,4594.12,4594.12,4594.12
110 Greenwich Street,110 Greenwich Street,110 Greenwich Street,Low Emissions,1,261.5,261.5,261.5
Cooper Squ,Cooper Squ,200 East 5th Street,Low Emissions,1,537.3,537.3,537.3
(7554) - The Setai,(7554) - The Setai,40 Broad St,Low Emissions,1,2332.12,2332.12,2332.12
25th Stree,25th Stree,511-541 W 25th Street,Low Emissions,2,453.2,906.4,453.2
SEWARD PAR,SEWARD PAR,62 ESSEX ST - SEWARD PRK ENT BLDG 1,Low Emissions,2,3008.04,6016.08,3008.04
583-587 Broadway,583-587 Broadway,583-587 Broadway,Low Emissions,1,917.54,917.54,917.54
8 Washington Mews,8 Washington Mews,8 Washington Mews,Low Emissions,1,0.01,0.01,0.01
11 Waverly Place,11 Waverly Place,11 Waverly Place,Low Emissions,1,618.96,618.96,618.96
DEPM 2934,DEPM 2934,37 West 12th Street,Low Emissions,1,1297.37,1297.37,1297.37
740 Broadw,740 Broadw,740 Broadway,Low Emissions,1,2537.1,2537.1,2537.1
718 Broadw,718 Broadw,718 Broadway,Low Emissions,1,562.21,562.21,562.21
(7406) - The Downtown Club Condominium,(7406) - The Downtown Club Condominium,20 West St,Low Emissions,1,1499.63,1499.63,1499.63
670 Broadw,670 Broadw,670 Broadway,Low Emissions,1,484.06,484.06,484.06
101 Ludlow,101 Ludlow,101 Ludlow St,Low Emissions,1,666.06,666.06,666.06
555 West 23rd Street,555 West 23rd Street,555 West 23rd Street,Low Emissions,1,1918.8,1918.8,1918.8
West 27th Street,West 27th Street,530-542 W 27th St.,Low Emissions,3,78.79,236.37,78.79
175 Water,175 Water,175 Water Street,Low Emissions,1,4485.8,4485.8,4485.8
55 Broad S,55 Broad S,55 Broad Street,Low Emissions,1,4064.18,4064.18,4064.18
(8084) - 59 West 12 Street,(8084) - 59 West 12 Street,59 West 12 Street,Low Emissions,1,750.09,750.09,750.09
53 Park Place - Lionshead 53 Dev. LLC,53 Park Place - Lionshead 53 Dev. LLC,53 Park Place,Low Emissions,1,695.47,695.47,695.47
180 Varick LLC,180 Varick LLC,180 Varick Street,Low Emissions,1,1810.39,1810.39,1810.39
DEPM 2964,DEPM 2964,24 Fifth Avenue,Low Emissions,1,2500.63,2500.63,2500.63
Ironclad A,Ironclad A,134-140 Grand Street,Low Emissions,1,468.2,468.2,468.2
