intersection_street_2,y_coordinate_state_plane,closed_date,address_type,location_type,latitude,longitude,rank,dense_rank
WEST230 STREET,257807,2025-12-16 17:27:23,ADDRESS,Street/Sidewalk,40.874268,-73.90236,1,32
WEST230 STREET,257807,2025-12-16 17:27:23,ADDRESS,Street/Sidewalk,40.874268,-73.90236,1,32
WEST230 STREET,257807,2025-12-16 17:27:23,ADDRESS,Street/Sidewalk,40.874268,-73.90236,1,32
FORT WASHINGTON AVENUE,246312,2025-12-21 11:56:30,ADDRESS,Street/Sidewalk,40.84313,-73.940272,5,54
HOBART AVENUE,249903,2025-12-13 02:55:23,ADDRESS,Street/Sidewalk,40.852479,-73.832172,4,14
