queens_condominium_property_neighborhood,category,count,avg_value,total_value,max_value
BRIARWOOD,High value,1,12300000.0,12300000.0,12300000
LONG ISLAND CITY,Low value,1,2689999.0,2689999.0,2689999
REGO PARK,Low value,1,2890006.0,2890006.0,2890006
ELMHURST,High value,1,12700000.0,12700000.0,12700000
COLLEGE POINT,Low value,1,2640005.0,2640005.0,2640005
FLUSHING-NORTH,Medium value,2,5989991.0,11979982.0,6839985
HOWARD BEACH,Low value,1,2570000.0,2570000.0,2570000
FLUSHING-NORTH,Low value,3,2583340.0,7750020.0,4170003
ELMHURST,Medium value,1,8819997.0,8819997.0,8819997
WOODSIDE,Low value,1,1019998.0,1019998.0,1019998
BRIARWOOD,Low value,1,963997.0,963997.0,963997
ELMHURST,Low value,1,553001.0,553001.0,553001
CORONA,Low value,1,1280000.0,1280000.0,1280000
