project_start_date,total_all_counted_units
2024-12-20,36.0
2024-09-05,14.0
2025-06-26,219.0
2025-05-29,8.0
2024-12-19,3210.0
2025-03-27,50.0
2024-10-07,43.0
2025-03-12,22.0
2025-04-25,119.0
2024-12-23,11.0
2024-08-19,72.0
2025-06-13,9.0
2024-12-30,12.0
2025-05-14,3.0
2024-08-27,11.0
2025-06-27,10.0
2025-04-22,19.0
2025-06-30,215.0
2024-09-19,338.0
2025-01-30,48.0
2024-10-10,7.0
2025-03-31,1641.0
2025-01-01,56.0
2024-07-01,23.0
2024-06-28,322.0
2024-07-11,25.0
