dbn,unnamed_column,school_name,principal,engagement_score,record_count,total_amount,avg_amount,max_amount,min_amount
09X329,X329,DreamYard Preparatory School,Rod Bowen,6.4,1,6.4,6.4,6.4,6.4
02M416,M416,Eleanor Roosevelt High School,Dimitri Saliani,7.2,1,7.2,7.2,7.2,7.2
11X544,X544,High School for Contemporary Arts,Francisco Sanchez,7.4,1,7.4,7.4,7.4,7.4
10X696,X696,High School of American Studies at Lehman College,Alessandro Weiss,7.9,1,7.9,7.9,7.9,7.9
23K643,K643,Brooklyn Democracy Academy,Thomas Mckenna,7.6,1,7.6,7.6,7.6,7.6
84M707,M707,John V. Lindsay Wildcat Academy Charter School,Ron Tabano & Marc Donald,7.7,1,7.7,7.7,7.7,7.7
06M457,M457,George Washington Educational Campus YABC,Nicholas Politis,7.8,2,15.6,7.8,7.8,7.8
31R072,R072,I.S. 072 Rocco Laurie,Peter Macellari,6.9,1,6.9,6.9,6.9,6.9
05M133,M133,P.S. 133 Fred R Moore,Pamela Craig,7.2,1,7.2,7.2,7.2,7.2
14K632,K632,Frances Perkins Academy,Javier Guzman,6.1,1,6.1,6.1,6.1,6.1
16K455,K455,Boys and Girls High School,Spencer Holder,6.9,1,6.9,6.9,6.9,6.9
21K098,K098,I.S. 98 Bay Academy,Mrs. Marian Nagler,7.1,1,7.1,7.1,7.1,7.1
22K207,K207,P.S. 207 Elizabeth G. Leary,Mary Bosco,7.8,1,7.8,7.8,7.8,7.8
03M299,M299,"High School for Arts, Imagination and Inquiry",Stephen Noonan,6.0,1,6.0,6.0,6.0,6.0
02M425,M425,Leadership and Public Service High School,Lawrence Pendergast,6.6,1,6.6,6.6,6.6,6.6
04M825,M825,Isaac Newton Middle School for Math & Science,Lisa Nelson,7.7,1,7.7,7.7,7.7,7.7
29Q492,Q492,"Mathematics, Science Research and Technology Magnet High School",Andrea G. Holt,6.1,1,6.1,6.1,6.1,6.1
01M137,M137,P.S. 137 John L. Bernstein,Melissa Rodriguez,7.6,1,7.6,7.6,7.6,7.6
21K411,K411,Abraham Lincoln YABC,Ari Hoogenboom,7.2,1,7.2,7.2,7.2,7.2
28Q690,Q690,High School for Law Enforcement and Public Safety,Diahann E. Malcolm,6.4,1,6.4,6.4,6.4,6.4
10X390,X390,M.S. 390,Robert Mercedes,7.1,1,7.1,7.1,7.1,7.1
09X263,X263,Validus Preparatory Academy: An Expeditionary Learning School,Brady Smith,7.3,1,7.3,7.3,7.3,7.3
07X223,X223,M.S. 223 The Laboratory School of Finance and Technology,Ramon Gonzalez,7.5,1,7.5,7.5,7.5,7.5
32K384,K384,P.S. /I.S. 384 Frances E. Carter,Brunhilda Perez-Ortiz,7.4,1,7.4,7.4,7.4,7.4
02M580,M580,Richard R. Green High School of Teaching,David Raubvogel,6.5,1,6.5,6.5,6.5,6.5
17K539,K539,High School for Service & Learning at Erasmus,Leonard Kassan,7.4,1,7.4,7.4,7.4,7.4
03M243,M243,M.S. 243 Center School,Elaine Schwartz,8.6,1,8.6,8.6,8.6,8.6
10X660,X660,Grace Dodge Career and Technical Education High School,Roberto Hernandez,6.4,2,12.8,6.4,6.4,6.4
05M161,M161,P.S. 161 Pedro Albizu Campos,Barbara D. Freeman,7.8,1,7.8,7.8,7.8,7.8
12X682,X682,Fannie Lou Hamer Freedom High School,Nancy Mann,7.3,1,7.3,7.3,7.3,7.3
08X305,X305,Pablo Neruda Academy for Architecture and World Studies,Ivan Cohen,6.0,1,6.0,6.0,6.0,6.0
31R445,R445,Port Richmond High School,Timothy M. Gannon,6.6,1,6.6,6.6,6.6,6.6
03M044,M044,J.H.S. M044 William J. O'Shea,Liza Ortiz,6.6,1,6.6,6.6,6.6,6.6
04M037,M037,River East Elementary,Alison Mckenzie,7.7,1,7.7,7.7,7.7,7.7
04M101,M101,P.S. 101 Andrew Draper,Alexander Castillo,6.8,1,6.8,6.8,6.8,6.8
22K014,K014,J.H.S. 014 Shell Bank,Anne Tully,7.2,1,7.2,7.2,7.2,7.2
02M051,M051,P.S. 051 Elias Howe,Nancy Sing Bock,8.5,1,8.5,8.5,8.5,8.5
31R003,R003,P.S. 003 The Margaret Gioiosa School,Donna Gioello,7.6,1,7.6,7.6,7.6,7.6
19K583,K583,Multicultural High School,Altagracia Liciaga,6.1,1,6.1,6.1,6.1,6.1
20K505,K505,Franklin Delano Roosevelt High School,Geraldine Maione,6.6,1,6.6,6.6,6.6,6.6
12X267,X267,Bronx Latin,Leticia Pineiro,6.7,1,6.7,6.7,6.7,6.7
05M046,M046,P.S. 046 Arthur Tappan,George Young,7.9,1,7.9,7.9,7.9,7.9
28Q687,Q687,Queens High School for the Sciences at York College,Jie Zhang,7.1,1,7.1,7.1,7.1,7.1
08X366,X366,Urban Assembly Academy of Civic Engagement,Cameron Berube,7.5,1,7.5,7.5,7.5,7.5
06M210,M210,P.S./I.S. 210 - 21st Century Academy for Community Leadership,Evelyn Linares,8.1,1,8.1,8.1,8.1,8.1
01M448,M448,University Neighborhood High School,Robert Miller,6.1,1,6.1,6.1,6.1,6.1
04M224,M224,M.S. 224 Manhattan East School for Arts & Academics,Liliana Sarro,7.4,1,7.4,7.4,7.4,7.4
24Q600,Q600,Queens Vocational and Technical High School,Denise Vittor,6.3,1,6.3,6.3,6.3,6.3
07X379,X379,Jill Chaifetz Transfer High School,Anne Fennelly,6.5,1,6.5,6.5,6.5,6.5
16K534,K534,Upper School @ P.S. 25,William Cooper,6.5,1,6.5,6.5,6.5,6.5
