bin,tr6_no,t2_tr6_no,block,t5_block,t4_bin,filing_type,owner_bus_street_name,current_status,rank,dense_rank
1081126,TR6-804125-8C-A1,TR6-804125-8C-A1,1262,1262,1081126,Amended,15 WEST 39TH STREET,UNSAFE,1,1
1030378,TR6-903595-9C-I1,TR6-903595-9C-I1,1162,1162,1030378,Initial,230 WEST 41ST STREET,SWARMP,1,1
1024811,TR6-903183-9C-N1,TR6-903183-9C-N1,1022,1022,1024811,Auto-Generated,,SWARMP,1,1
1090448,TR6-914907-9A-N1,TR6-914907-9A-N1,699,699,1090448,Auto-Generated,,SAFE,1,1
1045287,TR6-905305-9A-N1,TR6-905305-9A-N1,1456,1456,1045287,Auto-Generated,,SAFE,1,1
1090180,TR6-917408-9A-N1,TR6-917408-9A-N1,1029,1029,1090180,Auto-Generated,,No Report Filed,2,1
1090180,TR6-917408-9A-N1,TR6-917408-9A-N1,1029,1029,1090180,Auto-Generated,,SAFE,1,1
1083461,TR6-806053-8A-N1,TR6-806053-8A-N1,1649,1649,1083461,Auto-Generated,,SAFE,1,1
1090668,TR6-913422-9B-N1,TR6-913422-9B-N1,797,797,1090668,Auto-Generated,,SAFE,2,1
3002548,TR6-809148-8A-N1,TR6-809148-8A-N1,265,265,3002548,Auto-Generated,,SWARMP,1,1
2003060,TR6-807611-8A-N1,TR6-807611-8A-N1,2505,2505,2003060,Auto-Generated,,SAFE,1,1
3154983,TR6-814253-8B-N1,TR6-814253-8B-N1,6100,6100,3154983,Auto-Generated,,SAFE,1,1
4430798,TR6-810603-8B-N1,TR6-810603-8B-N1,490,490,4430798,Auto-Generated,,SWARMP,1,1
1079356,TR6-806361-8A-N1,TR6-806361-8A-N1,1855,1855,1079356,Auto-Generated,,SAFE,1,1
1087266,TR6-913694-9C-N1,TR6-913694-9C-N1,1152,1152,1087266,Auto-Generated,,SAFE,1,1
2092911,TR6-808368-8A-N1,TR6-808368-8A-N1,3886,3886,2092911,Auto-Generated,,SAFE,1,1
2091966,TR6-807710-8A-N1,TR6-807710-8A-N1,2639,2639,2091966,Auto-Generated,,UNSAFE,1,1
2091966,TR6-807710-8A-N1,TR6-807710-8A-N1,2639,2639,2091966,Auto-Generated,,UNSAFE,1,1
2091966,TR6-807710-8A-N1,TR6-807710-8A-N1,2639,2639,2091966,Auto-Generated,,UNSAFE,1,1
2091966,TR6-807710-8A-N1,TR6-807710-8A-N1,2639,2639,2091966,Auto-Generated,,UNSAFE,1,1
1013553,TR6-901536-9B-N1,TR6-901536-9B-N1,757,757,1013553,Auto-Generated,,SAFE,1,1
1023750,TR6-903127-9C-N1,TR6-903127-9C-N1,1011,1011,1023750,Auto-Generated,,UNSAFE,1,1
1090668,TR6-913422-9B-N1,TR6-913422-9B-N1,797,797,1090668,Auto-Generated,,SAFE,1,1
2084073,TR6-908880-9A-N1,TR6-908880-9A-N1,5785,5785,2084073,Auto-Generated,,SAFE,1,2
2002852,TR6-913996-9A-N1,TR6-913996-9A-N1,2465,2465,2002852,Auto-Generated,,SAFE,2,2
2002852,TR6-913996-9A-N1,TR6-913996-9A-N1,2465,2465,2002852,Auto-Generated,,SAFE,1,2
1017588,TR6-802530-8A-N1,TR6-802530-8A-N1,869,869,1017588,Auto-Generated,,SAFE,1,2
1033133,TR6-903894-9C-N1,TR6-903894-9C-N1,1233,1233,1033133,Auto-Generated,,UNSAFE,1,2
1048574,TR6-805723-8B-N1,TR6-805723-8B-N1,1527,1527,1048574,Auto-Generated,,SWARMP,1,2
4536854,TR6-814345-8A-N1,TR6-814345-8A-N1,4959,4959,4536854,Auto-Generated,,SAFE,1,2
3338423,TR6-809632-8B-N1,TR6-809632-8B-N1,3078,3078,3338423,Auto-Generated,,UNSAFE,1,3
2015481,TR6-808096-8C-N1,TR6-808096-8C-N1,3252,3252,2015481,Auto-Generated,,SAFE,1,4
2015403,TR6-908087-9B-N1,TR6-908087-9B-N1,3250,3250,2015403,Auto-Generated,,UNSAFE,1,4
2015481,TR6-808096-8C-N1,TR6-808096-8C-N1,3252,3252,2015481,Auto-Generated,,SWARMP,1,4
1087637,TR6-703475-7C-N1,TR6-703475-7C-N1,1131,1131,1087637,Auto-Generated,,SAFE,1,4
3001482,TR6-909067-9B-N1,TR6-909067-9B-N1,208,208,3001482,Auto-Generated,,SWARMP,1,4
2015581,TR6-908104-9C-N1,TR6-908104-9C-N1,3253,3253,2015581,Auto-Generated,,SAFE,1,4
2114693,TR6-813925-8C-N1,TR6-813925-8C-N1,2703,2703,2114693,Auto-Generated,,SWARMP,1,4
