applicationdate,applicationdate_1,trailerstate,totalgrossweight,loadlength,overallwidth,total_loadheight
2023-12-05 23:25:51+08:00,2023-12-05 23:25:51+08:00,NJ,35000,53.0,8.06,2.0
2022-01-10 21:05:05+08:00,2022-01-10 21:05:05+08:00,PA,67000,53.0,8.06,8.0
2022-04-05 18:40:17+08:00,2022-04-05 18:40:17+08:00,NJ,78520,38.0,12.02,4.06
2023-04-06 23:21:32+08:00,2023-04-06 23:21:32+08:00,NJ,50000,50.0,8.06,2.0
2023-09-22 00:35:15+08:00,2023-09-22 00:35:15+08:00,NJ,117950,40.0,11.06,10.0
2022-10-20 22:16:08+08:00,2022-10-20 22:16:08+08:00,NY,55000,50.0,8.0,1.06
2022-10-04 01:37:40+08:00,2022-10-04 01:37:40+08:00,NY,49000,48.0,10.0,13.06
2022-12-08 02:55:03+08:00,2022-12-08 02:55:03+08:00,ME,63300,19.02,10.06,10.06
2023-04-25 00:48:25+08:00,2023-04-25 00:48:25+08:00,NY,65100,48.0,8.05,13.04
2022-03-19 00:19:24+08:00,2022-03-19 00:19:24+08:00,NJ,40000,48.0,8.06,3.0
2021-09-27 18:53:18+08:00,2021-09-27 18:53:18+08:00,PA,53080,53.0,8.07,13.06
2023-02-03 03:26:53+08:00,2023-02-03 03:26:53+08:00,ME,41000,53.0,8.06,3.0
2022-03-17 20:12:58+08:00,2022-03-17 20:12:58+08:00,PA,46500,40.03,8.0,13.06
2022-05-05 03:52:55+08:00,2022-05-05 03:52:55+08:00,ON,33000,53.0,8.06,3.0
2022-09-28 23:45:33+08:00,2022-09-28 23:45:33+08:00,,156664,65.07,9.1,12.08
2022-05-10 16:06:33+08:00,2022-05-10 16:06:33+08:00,NJ,110800,55.0,11.02,4.09
2023-04-29 01:35:32+08:00,2023-04-29 01:35:32+08:00,NJ,98566,32.05,9.08,10.05
2023-03-01 02:03:23+08:00,2023-03-01 02:03:23+08:00,WA,36500,53.0,8.06,5.0
2022-11-05 07:01:51+08:00,2022-11-05 07:01:51+08:00,,27500,40.0,8.05,13.0
2022-07-09 00:16:54+08:00,2022-07-09 00:16:54+08:00,GA,47000,44.0,8.06,12.06
2023-03-15 02:26:02+08:00,2023-03-15 02:26:02+08:00,NJ,78000,60.0,8.06,6.0
2021-07-20 06:33:24+08:00,2021-07-20 06:33:24+08:00,AL,57000,55.0,8.06,5.0
2022-04-19 21:06:12+08:00,2022-04-19 21:06:12+08:00,GA,34900,45.0,8.0,13.06
2022-06-24 23:21:46+08:00,2022-06-24 23:21:46+08:00,PA,42000,48.0,8.06,3.0
2022-09-29 16:38:26+08:00,2022-09-29 16:38:26+08:00,NJ,117950,40.0,11.06,10.0
2022-12-13 23:00:51+08:00,2022-12-13 23:00:51+08:00,NJ,151400,40.0,13.08,10.0
2023-04-28 23:01:31+08:00,2023-04-28 23:01:31+08:00,PA,49000,53.0,8.06,2.0
2023-03-15 22:33:39+08:00,2023-03-15 22:33:39+08:00,NJ,58000,48.0,8.06,4.0
2022-10-11 23:59:11+08:00,2022-10-11 23:59:11+08:00,PA,70000,60.0,12.07,13.06
2023-09-29 19:26:09+08:00,2023-09-29 19:26:09+08:00,ME,164380,73.0,10.0,3.0
2022-11-29 18:50:30+08:00,2022-11-29 18:50:30+08:00,PA,32000,58.0,8.06,1.06
2021-09-13 19:32:07+08:00,2021-09-13 19:32:07+08:00,NJ,60000,53.0,8.0,13.06
2022-03-22 02:27:03+08:00,2022-03-22 02:27:03+08:00,NY,41950,28.06,10.07,10.0
2021-11-15 21:23:03+08:00,2021-11-15 21:23:03+08:00,NH,45000,53.0,8.06,5.0
2021-12-02 16:46:23+08:00,2021-12-02 16:46:23+08:00,GA,56834,42.0,8.06,7.0
2023-04-28 00:13:58+08:00,2023-04-28 00:13:58+08:00,ME,119000,48.0,9.11,8.0
2023-11-16 22:35:49+08:00,2023-11-16 22:35:49+08:00,NJ,74500,55.0,11.1,4.02
2021-08-02 15:40:54+08:00,2021-08-02 15:40:54+08:00,GA,24350,45.06,8.06,13.0
2022-03-22 20:44:26+08:00,2022-03-22 20:44:26+08:00,PA,44197,40.0,8.06,13.06
2023-01-24 21:23:31+08:00,2023-01-24 21:23:31+08:00,GA,75000,53.0,8.06,13.06
2022-01-04 19:11:37+08:00,2022-01-04 19:11:37+08:00,PA,55000,47.03,8.07,13.06
2023-04-07 01:11:02+08:00,2023-04-07 01:11:02+08:00,NY,35000,48.0,8.06,1.0
2023-01-17 23:59:04+08:00,2023-01-17 23:59:04+08:00,ME,79000,53.0,9.06,13.0
2021-10-06 21:40:25+08:00,2021-10-06 21:40:25+08:00,ME,40000,53.0,8.06,3.0
2023-03-20 20:14:36+08:00,2023-03-20 20:14:36+08:00,PA,53080,53.0,8.07,13.06
2021-08-12 22:30:26+08:00,2021-08-12 22:30:26+08:00,NJ,161660,34.0,12.0,11.01
2022-05-31 17:40:08+08:00,2022-05-31 17:40:08+08:00,,158400,58.0,9.1,13.01
2023-09-12 21:52:51+08:00,2023-09-12 21:52:51+08:00,NJ,110800,55.0,11.02,4.09
2021-09-10 17:25:25+08:00,2021-09-10 17:25:25+08:00,NY,49100,52.02,8.06,2.01
2023-05-18 00:35:24+08:00,2023-05-18 00:35:24+08:00,,158400,57.07,9.1,13.01
