dob_violation_number,issue_date,respondent_city,ecb_violation_status,violation_description,category,count,avg_value,total_value,max_value
081209CSTFAA12,20090812,NEW YORK,RESOLVE,"WORK WITHOUT A PERMIT! ILLEGAL WORK NOTED; AT BUILDING SIDE YARD SETBACK FOUND WITH STEEL STRUCTURE WITH IRON COLUMN AND PLATFORM WITH IRON FENCE AND ENCLOSURE @ 9'-6"" HEIGHT ADJACENT AND 1 TO RAMP 2 LEFT OF EN",Low Penalty,2,500.0,1000.0,500
091709ASTFGM03,20090917,BROOKLYN,RESOLVE,FAILURE TO COMPLY W/ COMMS ORDER TOCORRECT ECB #34776482L FOR CLASS A  APT IN CELLAR NO RECORD OF CORRECTION W/ DOB REM: COMPLY W/ ORDER,High Penalty,1,12000.0,12000.0,12000
042199P7SF3,19990421,BRONX,RESOLVE,GAS BEING SUPPLIED TO BUILDING (APT. A4) WITHOUT INSPECTION AND CERTI-FICATION BY THIS DEPARTMENT. FOUND GAS ON AND WHAT APPEARS TO BE NEW  LOCKWING GAS COCK IN OPEN POSITION. REMEDY: FILE FOR REQUIRED PERMITS,Medium Penalty,1,2500.0,2500.0,2500
092209ASTFJM07,20090922,NY,RESOLVE,FAILURE TO COMPLY W/THE COMMISSIONER'S ORDER TO OBTAIN A PERMIT PER VECB # 34766271M ISSUED ON 3/03/09 FOR WORK W/O PERMIT AT BSMT INSTALLEDROUGHING AND PIPING TO SUPPORT GAS STOVE RESIDENTIAL SINK & 3PC BATH,High Penalty,1,12000.0,12000.0,12000
091109ASTFAA03,20090911,BK,RESOLVE,UNLAWFUL ACTS.FAILURE TO COMPLY W/AN ORDER OF THE COMMISSIONER.RESPONDENT FAILED TO COMPLY W/THE COMMISSIONER ORDER TO CORRECT THE CONDITIONCITED IN PRIOR NOT W/ECB #34612046Y FOR CREATED A CLASS A APT W/ECB,High Penalty,1,12000.0,12000.0,12000
102809ASTFJH04,20091028,FLUSHING,RESOLVE,"UNLAWFUL ACTS FAIL RO COMPLY W/ AN ORDER OF THE COMM'S NOTED:RESP FAILED TO CORRECT THE CONDITIONS CITED IN THE PRIOR NOV#34737069X,HAVING REMOVED WATER & WATSE LINES & GAS LINES @ 2ND FLR W/O A PERMIT.NO RECOR",High Penalty,1,12000.0,12000.0,12000
012696LL1080NRF,19960126,NY,RESOLVE,EXIT PASSAGE 1 DOOR TOTAL OBSTRUCTION AT BASEMENT LEVEL EXIT PASSAGEWAY FROM STORE TOTAL OBSTRUCTION DEFECT NOTED AT EXIT DOOR BLOCKED WITH STORE MERCHANDISE ON OUTSIDE OF DOOR ON INSIDE OF DOOR SHELVER,Low Penalty,1,480.0,480.0,480
101708LL1198,20081017,NY,RESOLVE,FAILURE TO FILE AN AMENDED 5TH ROUND REPORT ACCEPTABLE TO THIS DEPARTMENT INDICATING CORRECTION OF UNSAFE CONDITIONS DESCRIBED IN INITIAL LOCAL LAW 11/98 REPORT. REMEDY: FILE AN AMENDED REPORT FOLLOWING REMEDIA,Low Penalty,6,0.0,0.0,0
102309A13MA08,20091023,QNS,RESOLVE,FAILURE TO COMPLY W/ THE COMMS ORDER TO OBTAIN A PERMIT PER VIOLATION #34651192Y ISSUED 5/23/08 FOR WORK W/O PERMIT CELLAR LVL REM: OBTAIN PERMIT,Medium Penalty,1,2400.0,2400.0,2400
081209CSTFAA12,20090812,NY,RESOLVE,"WORK WITHOUT A PERMIT! ILLEGAL WORK NOTED; AT BUILDING SIDE YARD SETBACK FOUND WITH STEEL STRUCTURE WITH IRON COLUMN AND PLATFORM WITH IRON FENCE AND ENCLOSURE @ 9'-6"" HEIGHT ADJACENT AND 1 TO RAMP 2 LEFT OF EN",Low Penalty,2,500.0,1000.0,500
101409ASTFMS01,20091014,NY,RESOLVE,FAILURE TO COMPLY W/COMMISSIONER'S ORDER TO CORRECT VIO # 34734734N   FOR WORK W/O PERMIT AT BSMT INSTALLED 1 ILLEGAL CLASS 'A'APT NO RECORDOF CORRECTION REMEDY:COMPLY W/COMM'S ORDER AND OBTAIN PERMIT,Medium Penalty,1,2400.0,2400.0,2400
092409ASTFNS41,20090924,BROOKLYN,RESOLVE,FAILURE TO COMPLY W/ COMM ORDER TO CORRECT CONDITIONS CITED IN NOV 34776287X FOR WORK DONE W/O A PERMIT CREATED BTRM ETC AT CELLAR REM: CORRECT VIOLATION 34776287X,Medium Penalty,1,2400.0,2400.0,2400
072809CSSU1202,20090728,BK,RESOLVE,BC3314.4.2 FAILURE TO MAINTAIN SUPPORTED SCAFFOLD NOTED SCAFFOLD EXP 1 9TH FL SETBACK APPROX 110H IS MISSING GUARDRAILS TOE BOARDS AND HAS DEBRIS STREWN AN PLANKS THAT ARE NOT SECURE REMEDY: MAINTAIN SUPPORTED,Medium Penalty,1,1600.0,1600.0,1600
120909ASTFNS03,20091209,NY,RESOLVE,FAILURE TO COMPLY W/THE COMMISSIONER'S ORDER TO CORRECT CONDITIONS CITED IN NOV 34761135P FOR WORK DONE W/O A PERMIT REMEDY:CORRECT CONDITIONS CITED.,Low Penalty,1,0.0,0.0,0
110909C01AM02,20091109,BK,RESOLVE,"WORK W/O A PERMIT. NOTED: CELLAR OF 2 STYS BLDG IS CONVERTED TO A CLASS 'A' APT W/3 PC BATHROOM AND KITCHEN W/GAS STOVE, 1 BEDROOM W/O PERMIT. REMEDY: OBTAIN PERMIT OR RESTORE PREMISES TO PRIOR LEGAL CONDITION.",Low Penalty,1,0.0,0.0,0
022309E1041C01,20090223,NY,RESOLVE,67X10.67X CAR PHONE,Low Penalty,1,250.0,250.0,250
110609ASTFJM02,20091106,BKLYN,RESOLVE,"FAILURE TO COMPLY W/THE COMMISSIONER'S ORDER TO OBTAIN A PERMIT PER ECB#34775932P,ISSUED ON 06/10/2009, FOR WORK W/O PERMIT:@ CELLAR,INSTALLED ROUGHING & PIPING TO SUPPORT RESIDENTIAL SINK,GAS STOVE, & 3PC BATH",High Penalty,1,12000.0,12000.0,12000
010909C12HS03,20090109,NY,RESOLVE,WORK W/O A PERMIT WORK NOTED:AT REAR OF TEH PREMISES ERRECTED A WOODEN SHED & ATTACHED TO THE HOUSE SHED IS APPROX. 12'W X 14'L X 10'H SHED HAS SHINGLES ON THE ROOF & GUTTER & LEADER ATTACHED TO THE ROOF SHED I,Low Penalty,1,0.0,0.0,0
121009ASTFJH03,20091210,JAMAICA,RESOLVE,"UNLAWFUL ACTS. FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER. NOTED: RESPONDENT FAILED TO CORRECT THE CONDITIONS CITED IN THE PRIOR NOV #34791734Y,HAVING CONSTRUCTED IN THE CELLAR FULL HEIGHT PARTITIONS",High Penalty,1,24000.0,24000.0,24000
032008C01WO02,20080320,BK,RESOLVE,FAILURE TO MAINTAIN BLDG NOTED AT BOTH SIDES OF MAIN ROOF AREA ROOF SHINGLES ARE BLOWING OFF ONTO ADJACENT PROPERTIES OVER HANGS ARE COMPLETELY ROTTED AT REAR OF BLDG BLDG PRESENT CONSITION COULD BE DANGEROUS,Medium Penalty,1,2500.0,2500.0,2500
072109C05KB02,20090721,QN,RESOLVE,WORK W/O A PERMIT. NOTED: AT REAR OF BUILDING AT 2ND FLR LEVEL ERECTEDA DECK. APPROX SIZE 10'X 15'. THE STRUCTURES ARE STEEL POSTS & WOOD JOISTS THE DECK IS ATTACHED TO THE BUILDING. AT 2ND FLR REPLACED A WINDO,Low Penalty,1,800.0,800.0,800
091109ASTFAA06,20090911,BK,RESOLVE,UNLAWFUL ACTS. FAILURE TO COMPLY W/AN ORDER OF THE COMMISSIONER. RESPONDENT FAILED TO CORRECT THE CONDITIONS CITED IN PRIOR NOV ECB 34757744Z FOR WORK W/O A PERMITT FOR ILLEGGAL ADDITION AT REAR OF BLDG APPROX,Medium Penalty,1,2400.0,2400.0,2400
010610A13JNG05,20100106,JAMAICA,RESOLVE,"UNLAWFUL ACTS.FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER     TO FILE A CERTIFICATE OF CORRECTION W/DOB FOR NOV 34431124H ISSUED ON 2/27/04. AT TIME OF INSPECTION, CERTIFICATION STATUS W/OVERDUE COMPLIA",High Penalty,4,12000.0,48000.0,12000
081709CSTFCS02,20090817,MANH,RESOLVE,FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER'S TO OBTAIN PERMITS FOR PARTITIONS AND WORK IN BASEMENT OF ABOVE PREMISES US PER N.O.V #34700528R. REM: COMPLY WITH COMMISSIONER'S ORDER.,High Penalty,1,12000.0,12000.0,12000
092909ASTFJH05,20090929,BK,RESOLVE,"FAILURE TO COMPLY W/AN ORDER OF THE COMMISSIONER. NOTED: RESPONDENT FAILED TO CORRECT THE CONDITIONS CITED IN THE PRIOR NOV #34640434Y, HAVING CONSTRUCTED FULL HEIGHT PARTITIONS IN THE CELLAR, THEREBY CREATING",High Penalty,1,24000.0,24000.0,24000
072409CSSU1204,20090724,NY,RESOLVE,"UNLAWFUL ACTS-FAILURE TO COMPLY WITH A COMMISSIONER'S ORDER TO CORRECTVIOLATION #34624437J, ISSUED ON 05/05/08, ISSUED FOR THE ILLEGAL STORAGE OF A SHIPPING CONTAINER, DEBRIS BOX DUMPSTERS, A COMMERCIAL DUMP TR",Medium Penalty,1,2400.0,2400.0,2400
112409ASTFJH07,20091124,BK,RESOLVE,"UNLAWFUL ACTS.FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER     NOTED: RESPONDENT FAILED TO CORRECT THE CONDITIONS CITED IN THE PRIOR NOV 34711295Z HAVING CONSTRUCTED FULL HEIGHT PARTITIONS ON EACH FL 1,2",High Penalty,1,24000.0,24000.0,24000
080708C18JL02,20080807,BK,RESOLVE,WORK W/O A PERMIT WORK NOTED REMOVED GARAGE DOOR ERECTED A MASONRY WALL INSTALL A DOOR APPROX 3X7 AND ALSO A WINDOW REMEDY: OBTAIN A PERMIT OR RESTORE TO PRIOR LEGAL CONDITION,Medium Penalty,2,4000.0,8000.0,4000
081909ASTFGM04,20090819,BK,RESOLVE,"FAILURE TO COMPLY W/COMMISSIONER'S ORDER TO CORRECT ECB #34757630K FORILLEGAL EXTENSION AT REAR YARD. NO RECORD OF CORRECTION W/DOB. REMEDY:COMPLY W/ORDER, OBTAIN PERMIT.",High Penalty,1,12000.0,12000.0,12000
102709ASTFGM03,20091027,QNS,RESOLVE,FAIL TO CORRECT ECB # 34719370X FOR ILLEGAL EXTENSION AT REAR NO RECORD OF CORRECTION W/DOB. REMEDY: COMPLY W/ORDER.,High Penalty,1,24000.0,24000.0,24000
072409CSSU1204,20090724,NY,RESOLVE,"FAILURE TO MAINTAIN SUPPORTED SCAFFOLD. NOTED: APPRX 70'HIGH SCAFFOLD AT EXP #'S 1,4 HAS UNSECURE AND MISSING PLANKS GUARDRAILS TOEBOARDS AND HAS UNSECURE MATERIAL AND DEBRIS OVERHEAD OF WORKERS. REMEDY: MAINTA",Medium Penalty,1,1600.0,1600.0,1600
021710A07SA11,20100217,QNS,RESOLVE,"FAILURE TO COMPLY W/AN ORDER OF THE COMMISSIONER TO FILE C/C FOR NOV 34637647K/030508C07SA02, STATUS: OVERDUE COMPLIANCE REMEDY: COMPLY W/COMMISSIONER'S ORDER.",Medium Penalty,2,2400.0,4800.0,2400
112409ASTFJH07,20091124,BK,RESOLVE,FAILURE TO COMPLY W/COMM'S ORDER TO CORRECT VIO#34711295Z FOR WORK W/OPERMIT.NO RECORD OF CORRECTION.REM:COMPLY W/COMM'S ORDER & OBTAIN PERMIT,High Penalty,1,12000.0,12000.0,12000
010610A13JNG05,20100106,JAMAICA,RESOLVE,"UNLAWFUL ACTS.FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER     TO FILE A CERTIFICATE OF CORRECTION W/DOB FOR NOV 34229827P ISSUED ON 12/3/99. AT TIME OF INSPECTION, CERTIFICATION STATUS WITH ""OVERDUE COM",High Penalty,4,12000.0,48000.0,12000
103009ASTFCS02,20091030,PALISADES PARK,RESOLVE,UNLAWFUL ACTS. FAILURE TO COMPLY W/ AN ORDER OF THE COMMISSIONER. NOTE: RESPONDENT FAILED TO CORRECT THE CONDITIONS CITED IN THE PRIOR NOC 34755136X FOR WORK W/O A PERMIT @ 2ND FL EAST WALL CREATED AN OPENING,High Penalty,1,12000.0,12000.0,12000
090309C07SA04,20090903,QN,RESOLVE,UNLAWFUL ACTS. FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER TO FILE A CERTIFICATE OF CORRECTION WITH DEPT OF BLDG FOR NOTICE OF VIOLATION #34620815J/103107C07SA03 COMP STATUS OVER DUE COMP.,Medium Penalty,1,2400.0,2400.0,2400
063003C03AP01,20030630,SI,RESOLVE,WORK W/ O PERMIT WORK NOTED SCREEN ROOM CONSTRUCTED AND WOOD DECK AT REAR OF HOUSE SCREEN ROOM APPROX 25X15 DECK APPROX 25X25 REMEDY OBTAIN A PERMIT OR RESTORE PREMISE TO PRIOR LEGAL CONDITION,Low Penalty,1,250.0,250.0,250
052009CSSSTDL020,20090520,RIDGEWOOD,RESOLVE,SEC. 3307.5.1 27-1009 WATCH PERSON AT THE TIME OF INSPECTION NO CONSTRUCTION ACTIVITY IN PROGRESS GATE LOCKED NO WATCH PERSON PRESENT. TIME OF INSP. 9:45 - 10:10. REMEDY: PROVIDE WATCH PERSON AS PER N.Y.C. BUIL,Low Penalty,1,0.0,0.0,0
042908CSTFMS03,20080429,BK,RESOLVE,"FAILURE TO PROVIDE CONTRACTORS SIGN. NOTE: PERMIT HOLDER AT SITE OF ALTERATION/DEMOLITION NOW W/O THE REQUIRED DOB CONTRACTORS SIGN W/NAME, ADDRESS, PHONE NUMBERS OF OWNER & CONTRACTOR. REMEDY: PROVIDE",Low Penalty,1,500.0,500.0,500
110308C05RM01,20081103,BK,RESOLVE,FAILURE TO MAINTAIN BLDG WALLS OR APPURTENANCES NOTED DEFECT 3 STY WOOD FRAME FROM EXTERIOR AT 2ND FL AND 3RD FL BLDG APPEARS TO BE OUT OF PLUMBAND LEANING APPROX 23 INC TOWARD EAST REMEDY: MAINTAIN BLDG,Low Penalty,1,1000.0,1000.0,1000
111209C11TS07,20091112,BROOKLYN,RESOLVE,FAILURE TO MAINTAIN BUILDING IN A CODE-COMPLAINT MANNER.FAILURE TO RETAIN PROPERTY'S OWN WATERCOURSE.AT TIME OF INSPECTION OBSERVED AT REAR OF PREMISES GUTTER & DOWN SPOUT FROM GARAGE ROOF NOT PROPERLY CONNECTE,Low Penalty,1,0.0,0.0,0
